cell_id,Gymnobucco calvus,Gymnobucco calvus calvus/congicus,Gymnobucco calvus vernayi
8454e9bffffffff,1.0,0.0,0.0
8458919ffffffff,1.0,0.0,0.0
845896dffffffff,1.0,0.0,0.0
8458b27ffffffff,1.0,0.0,0.0
8458c3dffffffff,3.0,0.0,0.0
8458d01ffffffff,1.0,0.0,0.0
8458d03ffffffff,1.0,0.0,0.0
8458d13ffffffff,1.0,0.0,0.0
8458d23ffffffff,7.0,0.0,0.0
8458d33ffffffff,14.0,0.0,0.0
8458d35ffffffff,5.0,0.0,0.0
8458d37ffffffff,4.0,0.0,0.0
8458db5ffffffff,1.0,0.0,0.0
8458de5ffffffff,3.0,0.0,0.0
846a925ffffffff,1.0,0.0,0.0
8475085ffffffff,2.0,0.0,0.0
8475087ffffffff,2.0,1.0,0.0
84750c5ffffffff,4.0,0.0,0.0
84750cdffffffff,1.0,0.0,0.0
84750d1ffffffff,342.0,29.0,0.0
84750d3ffffffff,2.0,0.0,0.0
84750d7ffffffff,3.0,0.0,0.0
84750d9ffffffff,9.0,0.0,0.0
84750ddffffffff,11.0,0.0,0.0
8475191ffffffff,6.0,0.0,0.0
84751d7ffffffff,3.0,0.0,0.0
8475295ffffffff,175.0,7.0,0.0
847529bffffffff,1.0,0.0,0.0
84752a3ffffffff,3.0,0.0,0.0
84752a5ffffffff,3.0,0.0,0.0
84752abffffffff,30.0,0.0,0.0
84752adffffffff,4.0,0.0,0.0
84752b5ffffffff,76.0,6.0,0.0
84752b7ffffffff,1.0,0.0,0.0
84752dbffffffff,3.0,0.0,0.0
84752e9ffffffff,4.0,0.0,0.0
847584dffffffff,2.0,0.0,0.0
84758cdffffffff,1.0,0.0,0.0
8475a07ffffffff,15.0,0.0,0.0
8475a11ffffffff,1.0,0.0,0.0
8475a29ffffffff,1.0,0.0,0.0
8475a81ffffffff,2.0,0.0,0.0
8475a83ffffffff,5.0,0.0,0.0
8475ae7ffffffff,1.0,0.0,0.0
8475b01ffffffff,1.0,0.0,0.0
8475b05ffffffff,1.0,0.0,0.0
8475b07ffffffff,2.0,0.0,0.0
8475b0dffffffff,7.0,0.0,0.0
8475b39ffffffff,1.0,0.0,0.0
8482125ffffffff,3.0,0.0,0.0
848218dffffffff,1.0,0.0,0.0
8482367ffffffff,1.0,0.0,0.0
84828b5ffffffff,1.0,0.0,0.0
84828d1ffffffff,23.0,0.0,0.0
8482a09ffffffff,6.0,0.0,0.0
8482a0bffffffff,3.0,0.0,0.0
8482a55ffffffff,4.0,0.0,0.0
8482a81ffffffff,7.0,0.0,0.0
8482a83ffffffff,1.0,0.0,0.0
8482a8dffffffff,2.0,0.0,0.0
8482d23ffffffff,2.0,0.0,0.0
8482d27ffffffff,22.0,0.0,0.0
8482d37ffffffff,1.0,0.0,0.0
8482d3dffffffff,44.0,0.0,0.0
8482db5ffffffff,2.0,0.0,0.0
8483137ffffffff,1.0,0.0,0.0
848313dffffffff,10.0,0.0,0.0
8483151ffffffff,11.0,0.0,0.0
8483337ffffffff,1.0,0.0,0.0
8483a89ffffffff,3.0,0.0,0.0
8483a8dffffffff,1.0,0.0,0.0
8483ac3ffffffff,15.0,0.0,0.0
8483ac7ffffffff,1.0,0.0,0.0
