cell_id,Corypha africana,Corypha africana [africana Group],Corypha africana tropicalis
826ac7fffffffff,549.0,54.0,0.0
826acffffffffff,76.0,13.0,0.0
826adffffffffff,50.0,0.0,0.0
826aeffffffffff,20.0,2.0,0.0
827a4ffffffffff,3.0,0.0,0.0
827a6ffffffffff,1896.0,0.0,0.0
828327fffffffff,14.0,8.0,0.0
82960ffffffffff,3.0,0.0,0.0
829617fffffffff,1.0,0.0,0.0
829627fffffffff,19.0,0.0,0.0
82962ffffffffff,32.0,10.0,0.0
829677fffffffff,18.0,0.0,0.0
829687fffffffff,3.0,0.0,0.0
829697fffffffff,531.0,0.0,0.0
82969ffffffffff,27.0,0.0,0.0
8296b7fffffffff,2.0,0.0,0.0
82970ffffffffff,17.0,1.0,0.0
82971ffffffffff,47.0,0.0,0.0
829727fffffffff,4.0,0.0,0.0
82972ffffffffff,60.0,0.0,0.0
829737fffffffff,5.0,0.0,0.0
829747fffffffff,203.0,4.0,0.0
82974ffffffffff,173.0,47.0,0.0
829757fffffffff,128.0,12.0,0.0
82975ffffffffff,72.0,1.0,0.0
829777fffffffff,21.0,0.0,0.0
82978ffffffffff,1.0,0.0,0.0
82979ffffffffff,3.0,0.0,0.0
82ac87fffffffff,155.0,12.0,0.0
82ac97fffffffff,3.0,2.0,0.0
82aca7fffffffff,9.0,0.0,0.0
82acb7fffffffff,8.0,0.0,0.0
82ad9ffffffffff,4.0,0.0,0.0
82ada7fffffffff,2.0,0.0,0.0
82adaffffffffff,1.0,1.0,0.0
82bc0ffffffffff,1.0,0.0,0.0
82bc1ffffffffff,11.0,4.0,0.0
82bc47fffffffff,4.0,0.0,0.0
82bc57fffffffff,9.0,1.0,0.0
82bc77fffffffff,69.0,2.0,0.0
82bc8ffffffffff,93.0,35.0,0.0
82bc9ffffffffff,3.0,0.0,0.0
82bcc7fffffffff,394.0,92.0,0.0
82bccffffffffff,19.0,0.0,0.0
82bcd7fffffffff,474.0,76.0,0.0
82bcdffffffffff,457.0,54.0,0.0
82bce7fffffffff,224.0,89.0,0.0
82bceffffffffff,73.0,14.0,0.0
82bcf7fffffffff,937.0,200.0,0.0
