cell_id,Myiarchus phaeocephalus,Myiarchus phaeocephalus phaeocephalus,Myiarchus phaeocephalus interior
8366d0fffffffff,2.0,0.0,0.0
8366d2fffffffff,5.0,0.0,0.0
838f08fffffffff,11.0,0.0,0.0
838f09fffffffff,41.0,0.0,0.0
838f0dfffffffff,426.0,39.0,0.0
838f28fffffffff,63.0,5.0,0.0
838f29fffffffff,6.0,0.0,0.0
838f2afffffffff,384.0,5.0,0.0
838f2bfffffffff,387.0,34.0,0.0
838f2cfffffffff,8.0,0.0,0.0
838f2efffffffff,76.0,11.0,0.0
838f50fffffffff,106.0,0.0,0.0
838f54fffffffff,131.0,0.0,0.0
838f55fffffffff,25.0,0.0,0.0
838f70fffffffff,2.0,0.0,0.0
838f72fffffffff,17.0,2.0,0.0
838f73fffffffff,3.0,0.0,0.0
