cell_id,Fraseria olivascens,Fraseria olivascens olivascens,Fraseria olivascens nimbae
8458d33ffffffff,1.0,0.0,0.0
8458db7ffffffff,1.0,0.0,0.0
8475085ffffffff,22.0,0.0,0.0
8475087ffffffff,4.0,0.0,0.0
847509dffffffff,1.0,0.0,0.0
84750d1ffffffff,33.0,2.0,0.0
84750d9ffffffff,1.0,0.0,0.0
8475295ffffffff,3.0,0.0,0.0
847529bffffffff,5.0,0.0,0.0
84752b5ffffffff,1.0,0.0,0.0
84752d3ffffffff,1.0,0.0,0.0
84758c9ffffffff,1.0,0.0,0.0
8475a81ffffffff,4.0,0.0,0.0
84828adffffffff,1.0,0.0,0.0
84828d1ffffffff,7.0,0.0,0.0
8482951ffffffff,2.0,0.0,0.0
8482a09ffffffff,1.0,0.0,0.0
8482a81ffffffff,1.0,0.0,0.0
8482a83ffffffff,1.0,1.0,0.0
8482ab3ffffffff,3.0,0.0,0.0
8482d37ffffffff,1.0,0.0,0.0
