cell_id,Pteroglossus torquatus,Pteroglossus torquatus [torquatus Group],Pteroglossus torquatus sanguineus,Pteroglossus torquatus erythropygius
844505bffffffff,2.0,0.0,0.0,0.0
84450bdffffffff,2.0,0.0,0.0,0.0
8445203ffffffff,2.0,2.0,0.0,0.0
8445207ffffffff,2.0,2.0,0.0,0.0
844520bffffffff,1.0,1.0,0.0,0.0
844520dffffffff,4.0,0.0,0.0,0.0
8445215ffffffff,2.0,0.0,0.0,0.0
8445217ffffffff,1.0,0.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0,0.0
8445257ffffffff,16.0,6.0,0.0,0.0
8445261ffffffff,8.0,0.0,0.0,0.0
844526bffffffff,8.0,0.0,0.0,0.0
8445281ffffffff,2.0,0.0,0.0,0.0
84452e1ffffffff,12.0,2.0,0.0,0.0
84452e7ffffffff,4.0,0.0,0.0,0.0
8445649ffffffff,2.0,0.0,0.0,0.0
8445721ffffffff,5.0,0.0,0.0,0.0
8449961ffffffff,10.0,0.0,0.0,0.0
8449963ffffffff,7.0,0.0,0.0,0.0
8449969ffffffff,3.0,0.0,0.0,0.0
846610bffffffff,4.0,0.0,0.0,0.0
8466113ffffffff,22.0,0.0,22.0,0.0
84661b1ffffffff,4.0,0.0,4.0,0.0
84661c3ffffffff,4.0,0.0,0.0,0.0
84661c7ffffffff,2.0,0.0,2.0,0.0
84661ebffffffff,10.0,0.0,5.0,0.0
8466a05ffffffff,7.0,0.0,0.0,0.0
8466a1dffffffff,3.0,0.0,0.0,0.0
8466a57ffffffff,2.0,0.0,0.0,0.0
8466b49ffffffff,5.0,4.0,0.0,0.0
8466b4dffffffff,5.0,0.0,0.0,0.0
8466b5bffffffff,6.0,0.0,0.0,0.0
8466d31ffffffff,5.0,0.0,0.0,5.0
8466d35ffffffff,13.0,0.0,0.0,13.0
8466d3dffffffff,4.0,0.0,0.0,2.0
8466f03ffffffff,1.0,0.0,0.0,0.0
8466f0bffffffff,2.0,0.0,2.0,0.0
8467427ffffffff,3.0,0.0,0.0,0.0
84675c7ffffffff,2.0,0.0,0.0,0.0
84675cbffffffff,4.0,0.0,0.0,0.0
84679a1ffffffff,9.0,5.0,0.0,0.0
84679a5ffffffff,27.0,15.0,0.0,0.0
84679b7ffffffff,1.0,1.0,0.0,0.0
846d21dffffffff,17.0,0.0,0.0,0.0
846d22bffffffff,2.0,2.0,0.0,0.0
846d231ffffffff,2.0,0.0,0.0,0.0
846d291ffffffff,1.0,0.0,0.0,0.0
846d295ffffffff,2.0,0.0,0.0,0.0
846d2b9ffffffff,5.0,0.0,0.0,0.0
846d2c9ffffffff,1.0,0.0,0.0,0.0
846d30dffffffff,2.0,2.0,0.0,0.0
846d315ffffffff,4.0,0.0,0.0,0.0
846d35dffffffff,3.0,0.0,0.0,0.0
846d361ffffffff,2.0,0.0,0.0,0.0
846d645ffffffff,2.0,0.0,0.0,0.0
846d64dffffffff,2.0,0.0,0.0,0.0
846d66bffffffff,6.0,0.0,0.0,0.0
846d68bffffffff,4.0,4.0,0.0,0.0
846d697ffffffff,1.0,0.0,0.0,0.0
846d699ffffffff,1.0,1.0,0.0,0.0
846d69bffffffff,1.0,1.0,0.0,0.0
846d69dffffffff,17.0,14.0,0.0,0.0
846d6bbffffffff,2.0,0.0,0.0,0.0
846d6d1ffffffff,1.0,0.0,0.0,0.0
846d75dffffffff,1.0,0.0,0.0,0.0
848f0d1ffffffff,2.0,0.0,0.0,2.0
848f0dbffffffff,4.0,0.0,0.0,4.0
