cell_id,Phaethornis malaris,Phaethornis malaris malaris/insolitus,Phaethornis malaris [moorei Group],Phaethornis malaris margarettae
835f02fffffffff,1.0,0.0,0.0,0.0
835f03fffffffff,3.0,0.0,0.0,0.0
835f10fffffffff,5.0,1.0,0.0,0.0
835f12fffffffff,6.0,0.0,0.0,0.0
835f13fffffffff,4.0,0.0,0.0,0.0
835f16fffffffff,6.0,0.0,0.0,0.0
836641fffffffff,47.0,0.0,0.0,0.0
836648fffffffff,9.0,0.0,0.0,0.0
83664efffffffff,1.0,0.0,0.0,0.0
836652fffffffff,4.0,0.0,0.0,0.0
836656fffffffff,8.0,0.0,0.0,0.0
83665afffffffff,198.0,0.0,30.0,0.0
83665bfffffffff,48.0,0.0,0.0,0.0
83665efffffffff,2.0,0.0,0.0,0.0
836663fffffffff,3.0,0.0,0.0,0.0
836672fffffffff,7.0,0.0,0.0,0.0
8366c0fffffffff,4.0,0.0,0.0,0.0
8366c2fffffffff,99.0,0.0,0.0,0.0
8366c3fffffffff,2.0,0.0,2.0,0.0
8366c5fffffffff,1.0,0.0,0.0,0.0
8366c6fffffffff,3.0,0.0,0.0,0.0
8366c9fffffffff,7.0,0.0,4.0,0.0
8366cefffffffff,23.0,0.0,5.0,0.0
8366d1fffffffff,133.0,0.0,3.0,0.0
8366d8fffffffff,46.0,0.0,12.0,0.0
8366dafffffffff,58.0,0.0,0.0,0.0
8366dcfffffffff,562.0,0.0,78.0,0.0
8366ddfffffffff,70.0,0.0,4.0,0.0
8366defffffffff,215.0,0.0,11.0,0.0
8366e0fffffffff,2.0,0.0,0.0,0.0
8366e1fffffffff,9.0,0.0,0.0,0.0
8366e3fffffffff,1.0,0.0,0.0,0.0
8366e5fffffffff,11.0,0.0,0.0,0.0
8366e8fffffffff,16.0,0.0,0.0,0.0
8366e9fffffffff,2.0,0.0,0.0,0.0
8366eafffffffff,13.0,0.0,0.0,0.0
8366ecfffffffff,137.0,0.0,6.0,0.0
8366eefffffffff,38.0,0.0,0.0,0.0
838068fffffffff,2.0,0.0,0.0,0.0
838069fffffffff,1.0,0.0,0.0,0.0
83806bfffffffff,4.0,0.0,0.0,0.0
838114fffffffff,1.0,0.0,0.0,1.0
838116fffffffff,2.0,0.0,0.0,0.0
838132fffffffff,36.0,0.0,0.0,33.0
838a01fffffffff,2.0,0.0,0.0,0.0
838a05fffffffff,4.0,0.0,0.0,0.0
838a10fffffffff,6.0,0.0,0.0,0.0
838a15fffffffff,7.0,0.0,0.0,0.0
838a1afffffffff,23.0,0.0,0.0,0.0
838a21fffffffff,3.0,0.0,0.0,0.0
838a31fffffffff,8.0,0.0,0.0,0.0
838a33fffffffff,1.0,0.0,0.0,0.0
838a41fffffffff,2.0,0.0,0.0,0.0
838a45fffffffff,61.0,0.0,9.0,0.0
838a4bfffffffff,2.0,0.0,0.0,0.0
838a5afffffffff,1.0,0.0,0.0,0.0
838a63fffffffff,26.0,0.0,0.0,0.0
838a68fffffffff,20.0,0.0,0.0,0.0
838a69fffffffff,52.0,0.0,0.0,0.0
838a6dfffffffff,172.0,0.0,0.0,0.0
838a80fffffffff,1.0,0.0,0.0,0.0
838a83fffffffff,3.0,0.0,0.0,0.0
838aa9fffffffff,2.0,0.0,0.0,0.0
838af0fffffffff,11.0,0.0,0.0,0.0
838af1fffffffff,2.0,0.0,0.0,0.0
838af4fffffffff,16.0,0.0,0.0,0.0
838b0cfffffffff,1.0,0.0,0.0,0.0
838b20fffffffff,17.0,0.0,0.0,0.0
838b21fffffffff,5.0,0.0,0.0,0.0
838b22fffffffff,46.0,0.0,0.0,0.0
838b23fffffffff,7.0,0.0,0.0,0.0
838b2afffffffff,4.0,0.0,0.0,0.0
838b2bfffffffff,3.0,0.0,0.0,0.0
838b2cfffffffff,18.0,0.0,0.0,0.0
838b2dfffffffff,2.0,0.0,0.0,0.0
838b2efffffffff,4.0,0.0,0.0,0.0
838b40fffffffff,29.0,0.0,0.0,0.0
838b42fffffffff,7.0,0.0,0.0,0.0
838b44fffffffff,43.0,0.0,0.0,0.0
838b46fffffffff,11.0,0.0,0.0,0.0
838b4afffffffff,1.0,0.0,0.0,0.0
838b4efffffffff,4.0,0.0,0.0,0.0
838b51fffffffff,2.0,0.0,0.0,0.0
838b52fffffffff,2.0,0.0,0.0,0.0
838b61fffffffff,305.0,0.0,0.0,0.0
838b62fffffffff,4.0,0.0,0.0,0.0
838b63fffffffff,89.0,0.0,0.0,0.0
838b68fffffffff,2.0,0.0,0.0,0.0
838b69fffffffff,13.0,0.0,0.0,0.0
838b6cfffffffff,3.0,0.0,0.0,0.0
838b6efffffffff,51.0,0.0,0.0,0.0
838b71fffffffff,51.0,0.0,0.0,0.0
838b74fffffffff,56.0,0.0,0.0,0.0
838b75fffffffff,29.0,0.0,0.0,0.0
838e64fffffffff,16.0,0.0,0.0,0.0
838f40fffffffff,215.0,0.0,21.0,0.0
838f41fffffffff,1.0,0.0,0.0,0.0
838f42fffffffff,4.0,0.0,0.0,0.0
838f43fffffffff,6.0,0.0,1.0,0.0
838f44fffffffff,3.0,0.0,0.0,0.0
838f46fffffffff,400.0,0.0,56.0,0.0
838f48fffffffff,24.0,0.0,0.0,0.0
838f4afffffffff,27.0,0.0,0.0,0.0
838f61fffffffff,11.0,0.0,0.0,0.0
838f63fffffffff,3.0,0.0,0.0,0.0
838f65fffffffff,23.0,0.0,0.0,0.0
838f6bfffffffff,17.0,0.0,0.0,0.0
838f71fffffffff,8.0,0.0,0.0,0.0
838f72fffffffff,39.0,0.0,13.0,0.0
838f73fffffffff,4.0,0.0,0.0,0.0
838f74fffffffff,22.0,0.0,0.0,0.0
838f76fffffffff,4.0,0.0,0.0,0.0
83a596fffffffff,4.0,0.0,0.0,3.0
83b324fffffffff,12.0,0.0,0.0,0.0
83b325fffffffff,34.0,0.0,0.0,0.0
