cell_id,Upupa epops,Upupa epops [epops Group],Upupa epops senegalensis/waibeli,Upupa epops africana
82075ffffffffff,2.0,0.0,0.0,0.0
820777fffffffff,2.0,0.0,0.0,0.0
820887fffffffff,8.0,2.0,0.0,0.0
82089ffffffffff,6.0,0.0,0.0,0.0
8208b7fffffffff,2.0,0.0,0.0,0.0
82099ffffffffff,1.0,0.0,0.0,0.0
8209a7fffffffff,4.0,0.0,0.0,0.0
821127fffffffff,1.0,0.0,0.0,0.0
821597fffffffff,2.0,0.0,0.0,0.0
82180ffffffffff,4.0,0.0,0.0,0.0
82182ffffffffff,7.0,3.0,0.0,0.0
82184ffffffffff,6.0,0.0,0.0,0.0
82185ffffffffff,7.0,0.0,0.0,0.0
82186ffffffffff,2.0,0.0,0.0,0.0
821877fffffffff,6.0,0.0,0.0,0.0
82190ffffffffff,4.0,0.0,0.0,0.0
821927fffffffff,2.0,0.0,0.0,0.0
82192ffffffffff,1.0,1.0,0.0,0.0
821947fffffffff,37.0,8.0,0.0,0.0
82194ffffffffff,35.0,12.0,0.0,0.0
82195ffffffffff,20.0,2.0,0.0,0.0
82196ffffffffff,20.0,7.0,0.0,0.0
821977fffffffff,3.0,0.0,0.0,0.0
821e07fffffffff,2.0,0.0,0.0,0.0
821e0ffffffffff,12.0,0.0,0.0,0.0
821e17fffffffff,3.0,0.0,0.0,0.0
821e1ffffffffff,3.0,1.0,0.0,0.0
821e27fffffffff,1.0,0.0,0.0,0.0
821e2ffffffffff,1.0,0.0,0.0,0.0
821e37fffffffff,4.0,0.0,0.0,0.0
821e57fffffffff,3.0,0.0,0.0,0.0
821e5ffffffffff,11.0,0.0,0.0,0.0
821e6ffffffffff,4.0,0.0,0.0,0.0
821ea7fffffffff,10.0,6.0,0.0,0.0
821ec7fffffffff,9.0,0.0,0.0,0.0
821ecffffffffff,13.0,0.0,0.0,0.0
821ee7fffffffff,3.0,1.0,0.0,0.0
821eeffffffffff,7.0,0.0,0.0,0.0
821ef7fffffffff,9.0,2.0,0.0,0.0
821f07fffffffff,6.0,3.0,0.0,0.0
821f1ffffffffff,3.0,0.0,0.0,0.0
821f27fffffffff,4.0,0.0,0.0,0.0
821f2ffffffffff,16.0,5.0,0.0,0.0
821f37fffffffff,6.0,0.0,0.0,0.0
821f57fffffffff,2.0,2.0,0.0,0.0
821f77fffffffff,1.0,0.0,0.0,0.0
821f8ffffffffff,1.0,0.0,0.0,0.0
821f9ffffffffff,5.0,0.0,0.0,0.0
821fa7fffffffff,6.0,2.0,0.0,0.0
821faffffffffff,7.0,0.0,0.0,0.0
822037fffffffff,2.0,0.0,0.0,0.0
8220e7fffffffff,1.0,0.0,0.0,0.0
82240ffffffffff,2.0,0.0,0.0,0.0
82244ffffffffff,3.0,3.0,0.0,0.0
822457fffffffff,3.0,0.0,0.0,0.0
822517fffffffff,6.0,6.0,0.0,0.0
822557fffffffff,1.0,0.0,0.0,0.0
82255ffffffffff,3.0,3.0,0.0,0.0
822c07fffffffff,3.0,2.0,0.0,0.0
822c0ffffffffff,7.0,5.0,0.0,0.0
822c1ffffffffff,2.0,2.0,0.0,0.0
822c27fffffffff,21.0,19.0,0.0,0.0
822c2ffffffffff,19.0,19.0,0.0,0.0
822c4ffffffffff,5.0,3.0,0.0,0.0
822c57fffffffff,85.0,0.0,0.0,0.0
822c5ffffffffff,11.0,0.0,0.0,0.0
822c97fffffffff,1.0,0.0,0.0,0.0
822ce7fffffffff,9.0,0.0,0.0,0.0
822d17fffffffff,1.0,0.0,0.0,0.0
822d37fffffffff,2.0,0.0,0.0,0.0
822d67fffffffff,2.0,0.0,0.0,0.0
822da7fffffffff,6.0,0.0,0.0,0.0
822daffffffffff,3.0,0.0,0.0,0.0
822db7fffffffff,13.0,7.0,0.0,0.0
822e6ffffffffff,2.0,0.0,0.0,0.0
823087fffffffff,4.0,0.0,0.0,0.0
82309ffffffffff,30.0,16.0,0.0,0.0
8230c7fffffffff,2.0,0.0,0.0,0.0
8230e7fffffffff,13.0,7.0,0.0,0.0
82344ffffffffff,2.0,2.0,0.0,0.0
82346ffffffffff,6.0,6.0,0.0,0.0
823867fffffffff,20.0,0.0,0.0,0.0
823877fffffffff,11.0,1.0,0.0,0.0
823907fffffffff,547.0,321.0,0.0,0.0
82390ffffffffff,17.0,15.0,0.0,0.0
823917fffffffff,53.0,7.0,0.0,0.0
82391ffffffffff,13.0,6.0,0.0,0.0
823927fffffffff,37.0,0.0,0.0,0.0
82392ffffffffff,66.0,11.0,0.0,0.0
823937fffffffff,23.0,2.0,0.0,0.0
823947fffffffff,56.0,56.0,0.0,0.0
823957fffffffff,16.0,13.0,0.0,0.0
82395ffffffffff,4.0,4.0,0.0,0.0
823967fffffffff,5.0,5.0,0.0,0.0
823977fffffffff,264.0,137.0,0.0,0.0
823c07fffffffff,3.0,3.0,0.0,0.0
823c17fffffffff,13.0,13.0,0.0,0.0
823c1ffffffffff,16.0,0.0,0.0,0.0
823c37fffffffff,2.0,2.0,0.0,0.0
823c5ffffffffff,6.0,3.0,0.0,0.0
823c87fffffffff,7.0,0.0,0.0,0.0
823c8ffffffffff,10.0,0.0,0.0,0.0
823c9ffffffffff,2.0,0.0,0.0,0.0
823ca7fffffffff,2.0,0.0,0.0,0.0
823caffffffffff,9.0,0.0,0.0,0.0
823cb7fffffffff,4.0,0.0,0.0,0.0
823cc7fffffffff,1.0,0.0,0.0,0.0
823ce7fffffffff,2.0,0.0,0.0,0.0
823ceffffffffff,1.0,1.0,0.0,0.0
823cf7fffffffff,61.0,0.0,0.0,0.0
823d07fffffffff,17.0,1.0,0.0,0.0
823d17fffffffff,31.0,24.0,0.0,0.0
823d27fffffffff,2.0,2.0,0.0,0.0
823d37fffffffff,11.0,9.0,0.0,0.0
823d87fffffffff,37.0,17.0,0.0,0.0
823d8ffffffffff,8.0,5.0,0.0,0.0
823da7fffffffff,37.0,21.0,0.0,0.0
823daffffffffff,40.0,40.0,0.0,0.0
823db7fffffffff,15.0,0.0,0.0,0.0
823e6ffffffffff,9.0,7.0,0.0,0.0
823f4ffffffffff,2.0,2.0,0.0,0.0
823f6ffffffffff,3.0,0.0,0.0,0.0
823f77fffffffff,4.0,0.0,0.0,0.0
824107fffffffff,3.0,0.0,0.0,0.0
82411ffffffffff,8.0,0.0,0.0,0.0
82416ffffffffff,2.0,0.0,0.0,0.0
8241a7fffffffff,8.0,0.0,0.0,0.0
8241b7fffffffff,2.0,1.0,0.0,0.0
824257fffffffff,10.0,4.0,0.0,0.0
82425ffffffffff,8.0,4.0,0.0,0.0
8242c7fffffffff,10.0,4.0,0.0,0.0
8242cffffffffff,12.0,3.0,0.0,0.0
8242dffffffffff,3.0,3.0,0.0,0.0
824387fffffffff,1.0,0.0,0.0,0.0
8243affffffffff,1.0,1.0,0.0,0.0
824b9ffffffffff,6.0,0.0,0.0,0.0
824ba7fffffffff,9.0,2.0,0.0,0.0
824baffffffffff,2.0,1.0,0.0,0.0
825537fffffffff,1.0,0.0,0.0,0.0
8258a7fffffffff,2.0,0.0,2.0,0.0
825907fffffffff,9.0,0.0,0.0,0.0
82592ffffffffff,3.0,0.0,0.0,0.0
825967fffffffff,1.0,0.0,0.0,0.0
825977fffffffff,17.0,2.0,0.0,0.0
826007fffffffff,332.0,10.0,0.0,0.0
826017fffffffff,57.0,8.0,0.0,0.0
82601ffffffffff,1.0,0.0,0.0,0.0
826027fffffffff,20.0,0.0,0.0,0.0
826037fffffffff,114.0,41.0,0.0,0.0
82608ffffffffff,5.0,0.0,0.0,0.0
826097fffffffff,5.0,2.0,0.0,0.0
8260affffffffff,64.0,4.0,0.0,0.0
8260b7fffffffff,3.0,2.0,0.0,0.0
82618ffffffffff,67.0,26.0,0.0,0.0
8261affffffffff,1.0,1.0,0.0,0.0
8264a7fffffffff,2.0,0.0,0.0,0.0
826507fffffffff,10.0,0.0,0.0,0.0
82650ffffffffff,2.0,0.0,0.0,0.0
82651ffffffffff,1.0,0.0,0.0,0.0
827a47fffffffff,4.0,2.0,2.0,0.0
827a4ffffffffff,1.0,0.0,0.0,0.0
827a5ffffffffff,2.0,2.0,0.0,0.0
827a6ffffffffff,7.0,3.0,2.0,2.0
827adffffffffff,1.0,0.0,1.0,0.0
