cell_id,Myiarchus swainsoni,Myiarchus swainsoni phaeonotus,Myiarchus swainsoni [swainsoni Group]
836656fffffffff,4.0,0.0,4.0
83665afffffffff,2.0,2.0,0.0
8366c5fffffffff,4.0,0.0,0.0
8366cdfffffffff,1.0,1.0,0.0
8366dcfffffffff,39.0,0.0,0.0
8366ddfffffffff,2.0,0.0,0.0
8366e0fffffffff,1.0,0.0,0.0
8366e1fffffffff,2.0,0.0,0.0
838af6fffffffff,2.0,0.0,0.0
83a800fffffffff,1.0,0.0,0.0
83a801fffffffff,1.0,0.0,0.0
83a80cfffffffff,2.0,0.0,0.0
83a810fffffffff,2.0,0.0,0.0
83a813fffffffff,2.0,0.0,0.0
83a814fffffffff,8.0,0.0,0.0
83a818fffffffff,2.0,0.0,0.0
83a819fffffffff,2.0,0.0,0.0
83a81cfffffffff,8.0,0.0,0.0
83a81dfffffffff,2.0,0.0,0.0
83a81efffffffff,30.0,0.0,0.0
83a8e4fffffffff,4.0,0.0,0.0
83a90cfffffffff,6.0,0.0,0.0
83a919fffffffff,2.0,0.0,0.0
83a940fffffffff,2.0,0.0,0.0
83a941fffffffff,4.0,0.0,0.0
83a942fffffffff,2.0,0.0,0.0
83a945fffffffff,2.0,0.0,0.0
83a946fffffffff,12.0,0.0,0.0
83a94efffffffff,7.0,0.0,0.0
83a950fffffffff,36.0,0.0,0.0
83a953fffffffff,38.0,0.0,0.0
83a955fffffffff,4.0,0.0,0.0
83a95afffffffff,1.0,0.0,0.0
83a95dfffffffff,1.0,0.0,0.0
83a95efffffffff,5.0,0.0,0.0
83a961fffffffff,14.0,0.0,0.0
83a962fffffffff,2.0,0.0,0.0
83a964fffffffff,1.0,0.0,0.0
83a965fffffffff,1.0,0.0,0.0
83a96afffffffff,1.0,0.0,0.0
83a96cfffffffff,1.0,0.0,0.0
83a96efffffffff,5.0,0.0,0.0
83a972fffffffff,1.0,0.0,0.0
83b248fffffffff,7.0,0.0,0.0
83b249fffffffff,21.0,0.0,0.0
83b24afffffffff,3.0,0.0,0.0
83b24bfffffffff,3.0,0.0,0.0
83b24cfffffffff,2.0,0.0,0.0
83b24dfffffffff,128.0,0.0,0.0
83b251fffffffff,1.0,0.0,1.0
83b268fffffffff,6.0,0.0,0.0
83b269fffffffff,8.0,0.0,0.0
83b26afffffffff,4.0,0.0,0.0
83b26bfffffffff,43.0,0.0,0.0
83b26dfffffffff,12.0,0.0,0.0
83b2e9fffffffff,3.0,0.0,0.0
83b2ebfffffffff,2.0,0.0,0.0
83b2ecfffffffff,4.0,0.0,0.0
83b342fffffffff,1.0,0.0,0.0
83b346fffffffff,11.0,0.0,0.0
83b358fffffffff,2.0,0.0,0.0
83c2c4fffffffff,1.0,0.0,0.0
83c2c5fffffffff,2.0,0.0,0.0
83c2c9fffffffff,11.0,0.0,0.0
83c2cdfffffffff,36.0,0.0,0.0
83c2cefffffffff,1.0,0.0,0.0
83c2e0fffffffff,1.0,0.0,0.0
83c2e2fffffffff,14.0,0.0,0.0
83c2e3fffffffff,11.0,0.0,0.0
83c2e9fffffffff,5.0,0.0,0.0
83c2f1fffffffff,1.0,0.0,0.0
83c329fffffffff,2.0,0.0,0.0
83c32dfffffffff,6.0,0.0,0.0
83c350fffffffff,2.0,0.0,0.0
83c373fffffffff,2.0,0.0,0.0
83c375fffffffff,4.0,0.0,0.0
83ce93fffffffff,2.0,0.0,0.0
83ce96fffffffff,4.0,0.0,0.0
83ce98fffffffff,2.0,0.0,0.0
