cell_id,Edolisoma mindanense,Edolisoma mindanense lecroyae,Edolisoma mindanense elusum,Edolisoma mindanense mindanense/ripleyi,Edolisoma mindanense everetti
846842bffffffff,2.0,0.0,0.0,0.0,0.0
8468447ffffffff,12.0,0.0,0.0,0.0,0.0
84684e5ffffffff,142.0,0.0,0.0,0.0,0.0
846856bffffffff,1.0,0.0,0.0,0.0,0.0
84685c7ffffffff,1.0,0.0,0.0,0.0,0.0
84685d5ffffffff,2.0,0.0,0.0,0.0,0.0
84685dbffffffff,2.0,0.0,0.0,0.0,0.0
84685e1ffffffff,1.0,0.0,0.0,0.0,0.0
84685e9ffffffff,32.0,0.0,0.0,0.0,0.0
84686e9ffffffff,12.0,0.0,0.0,0.0,0.0
8469439ffffffff,8.0,0.0,0.0,0.0,0.0
846943bffffffff,1.0,0.0,0.0,0.0,0.0
8469583ffffffff,2.0,0.0,0.0,0.0,0.0
846958bffffffff,19.0,0.0,0.0,0.0,0.0
846969dffffffff,1.0,0.0,0.0,0.0,0.0
