cell_id,Campephilus haematogaster,Campephilus haematogaster splendens,Campephilus haematogaster haematogaster
836608fffffffff,4.0,0.0,0.0
83660afffffffff,2.0,0.0,0.0
836611fffffffff,5.0,2.0,0.0
83661cfffffffff,25.0,1.0,0.0
83661efffffffff,1.0,0.0,0.0
8366a0fffffffff,3.0,0.0,0.0
8366a5fffffffff,35.0,0.0,0.0
8366b5fffffffff,2.0,0.0,0.0
8366c0fffffffff,24.0,0.0,0.0
8366d0fffffffff,14.0,0.0,0.0
8366defffffffff,2.0,0.0,0.0
8366e3fffffffff,2.0,0.0,0.0
8366e5fffffffff,5.0,0.0,0.0
838b69fffffffff,3.0,0.0,0.0
