cell_id,Dendropicos griseocephalus,Dendropicos griseocephalus ruwenzori,Dendropicos griseocephalus kilimensis,Dendropicos griseocephalus griseocephalus
826ac7fffffffff,4.0,0.0,0.0,0.0
826acffffffffff,2.0,0.0,0.0,0.0
826adffffffffff,212.0,0.0,0.0,0.0
827a67fffffffff,1.0,0.0,0.0,0.0
827b4ffffffffff,74.0,0.0,0.0,0.0
828317fffffffff,3.0,1.0,0.0,0.0
828327fffffffff,3.0,0.0,0.0,0.0
828337fffffffff,14.0,0.0,0.0,0.0
829607fffffffff,25.0,5.0,0.0,0.0
82960ffffffffff,8.0,1.0,0.0,0.0
829617fffffffff,1.0,0.0,0.0,0.0
829627fffffffff,8.0,0.0,0.0,0.0
82962ffffffffff,11.0,0.0,0.0,0.0
82968ffffffffff,2.0,0.0,0.0,0.0
8296a7fffffffff,13.0,2.0,0.0,0.0
8296b7fffffffff,19.0,0.0,0.0,0.0
829707fffffffff,4.0,0.0,0.0,0.0
82972ffffffffff,169.0,0.0,0.0,37.0
829757fffffffff,21.0,0.0,0.0,0.0
82975ffffffffff,16.0,0.0,0.0,0.0
82978ffffffffff,13.0,0.0,0.0,0.0
82ad37fffffffff,150.0,0.0,0.0,43.0
82bc0ffffffffff,13.0,0.0,0.0,0.0
82bc1ffffffffff,19.0,0.0,0.0,1.0
82bc47fffffffff,168.0,0.0,0.0,27.0
82bc4ffffffffff,1.0,0.0,0.0,0.0
82bc57fffffffff,13.0,0.0,0.0,0.0
82bc6ffffffffff,154.0,0.0,0.0,46.0
82bc77fffffffff,40.0,0.0,0.0,2.0
82bcc7fffffffff,4.0,0.0,0.0,2.0
82bcd7fffffffff,158.0,0.0,0.0,45.0
82bce7fffffffff,228.0,0.0,0.0,66.0
82bcf7fffffffff,175.0,0.0,0.0,39.0
