cell_id,Cyornis unicolor,Cyornis unicolor unicolor,Cyornis unicolor diaoluoensis,Cyornis unicolor cyanopolia
843c027ffffffff,2.0,0.0,0.0,0.0
843c029ffffffff,11.0,0.0,0.0,0.0
843c02dffffffff,52.0,0.0,0.0,0.0
843c067ffffffff,39.0,0.0,0.0,0.0
843c0a5ffffffff,27.0,0.0,0.0,0.0
843c0a7ffffffff,2.0,0.0,0.0,0.0
843c0a9ffffffff,2.0,0.0,0.0,0.0
843c0adffffffff,14.0,0.0,0.0,0.0
843c0b5ffffffff,1.0,0.0,0.0,0.0
843c0b7ffffffff,1.0,0.0,0.0,0.0
843c159ffffffff,2.0,0.0,0.0,0.0
843c15bffffffff,1.0,0.0,0.0,0.0
843c199ffffffff,80.0,0.0,0.0,0.0
843c1d3ffffffff,22.0,0.0,0.0,0.0
843c315ffffffff,4.0,0.0,0.0,0.0
843c33bffffffff,2.0,0.0,0.0,0.0
843c431ffffffff,2.0,0.0,0.0,0.0
843c521ffffffff,13.0,0.0,0.0,0.0
843c525ffffffff,7.0,0.0,0.0,0.0
843c527ffffffff,122.0,0.0,0.0,0.0
843c52dffffffff,2.0,0.0,0.0,0.0
843c533ffffffff,24.0,0.0,0.0,0.0
843c581ffffffff,86.0,0.0,0.0,0.0
843c583ffffffff,3.0,0.0,0.0,0.0
843c585ffffffff,4.0,0.0,0.0,0.0
843c5a1ffffffff,90.0,0.0,0.0,0.0
843c5a9ffffffff,4.0,0.0,0.0,0.0
843c5adffffffff,16.0,0.0,0.0,0.0
843c5bdffffffff,86.0,0.0,0.0,0.0
843c5cbffffffff,1.0,0.0,0.0,0.0
843c5e3ffffffff,4.0,0.0,0.0,0.0
843c5ebffffffff,3.0,0.0,0.0,0.0
843cc51ffffffff,2.0,0.0,0.0,0.0
843cc55ffffffff,35.0,0.0,0.0,0.0
843cd8bffffffff,5.0,1.0,0.0,0.0
843cd93ffffffff,2.0,0.0,0.0,0.0
843cdbdffffffff,3.0,0.0,0.0,0.0
843ce15ffffffff,22.0,0.0,0.0,0.0
843ce19ffffffff,2.0,0.0,0.0,0.0
843ce41ffffffff,1.0,0.0,0.0,0.0
843ce45ffffffff,3.0,0.0,0.0,0.0
843ce4bffffffff,11.0,0.0,0.0,0.0
843ce4dffffffff,13.0,0.0,0.0,0.0
843ce51ffffffff,9.0,0.0,0.0,0.0
843ce55ffffffff,26.0,0.0,0.0,0.0
843ce57ffffffff,32.0,0.0,0.0,0.0
843ce59ffffffff,11.0,0.0,0.0,0.0
843ce5bffffffff,31.0,0.0,0.0,0.0
843ce5dffffffff,55.0,0.0,0.0,0.0
843ceb9ffffffff,2.0,0.0,0.0,0.0
843cebbffffffff,1.0,0.0,0.0,0.0
843cec1ffffffff,7.0,0.0,0.0,0.0
843cec3ffffffff,15.0,0.0,0.0,0.0
843cec9ffffffff,73.0,0.0,0.0,0.0
843ced5ffffffff,2.0,0.0,0.0,0.0
84404c5ffffffff,1.0,0.0,0.0,0.0
84404ddffffffff,18.0,0.0,0.0,0.0
84404e7ffffffff,2.0,0.0,0.0,0.0
8440619ffffffff,1.0,0.0,0.0,0.0
844061bffffffff,4.0,0.0,0.0,0.0
8440651ffffffff,1.0,0.0,0.0,0.0
8440653ffffffff,10.0,0.0,0.0,0.0
84406b7ffffffff,3.0,0.0,0.0,0.0
8440717ffffffff,2.0,0.0,0.0,0.0
8441437ffffffff,2.0,0.0,0.0,0.0
8441593ffffffff,3.0,0.0,0.0,0.0
84415a1ffffffff,2.0,0.0,0.0,0.0
8441651ffffffff,1.0,0.0,0.0,0.0
8441659ffffffff,1.0,0.0,0.0,0.0
84416bdffffffff,1.0,0.0,0.0,0.0
84416c5ffffffff,3.0,0.0,0.0,0.0
844170bffffffff,3.0,0.0,0.0,0.0
8441715ffffffff,1.0,0.0,0.0,0.0
8441719ffffffff,56.0,0.0,13.0,0.0
8464125ffffffff,2.0,0.0,0.0,0.0
8464161ffffffff,2.0,0.0,0.0,0.0
846416dffffffff,26.0,8.0,0.0,0.0
8464343ffffffff,8.0,0.0,0.0,5.0
8464821ffffffff,6.0,0.0,0.0,0.0
8464825ffffffff,21.0,11.0,0.0,0.0
846482bffffffff,34.0,10.0,0.0,0.0
84648c1ffffffff,1.0,0.0,0.0,0.0
846490dffffffff,4.0,0.0,0.0,0.0
8464911ffffffff,251.0,47.0,0.0,0.0
846491bffffffff,3.0,0.0,0.0,0.0
8464953ffffffff,1.0,0.0,0.0,0.0
8464983ffffffff,4.0,0.0,0.0,0.0
8464b25ffffffff,2.0,0.0,0.0,0.0
8465005ffffffff,24.0,0.0,0.0,0.0
846500bffffffff,23.0,0.0,0.0,0.0
846500dffffffff,2.0,0.0,0.0,0.0
8465029ffffffff,3.0,0.0,0.0,0.0
846502bffffffff,1.0,0.0,0.0,0.0
846502dffffffff,1.0,0.0,0.0,0.0
8465031ffffffff,2.0,0.0,0.0,0.0
8465033ffffffff,1.0,0.0,0.0,0.0
8465037ffffffff,2.0,0.0,0.0,0.0
8465039ffffffff,1.0,0.0,0.0,0.0
8465055ffffffff,68.0,0.0,0.0,0.0
8465057ffffffff,5.0,0.0,0.0,0.0
846505dffffffff,14.0,0.0,0.0,0.0
8465063ffffffff,4.0,0.0,0.0,0.0
8465099ffffffff,3.0,0.0,0.0,1.0
84650d1ffffffff,2.0,0.0,0.0,0.0
8465183ffffffff,2.0,0.0,0.0,1.0
8465189ffffffff,4.0,0.0,0.0,3.0
846518bffffffff,1.0,0.0,0.0,0.0
84651c1ffffffff,10.0,0.0,0.0,7.0
84651c9ffffffff,4.0,0.0,0.0,0.0
84651cbffffffff,2.0,0.0,0.0,2.0
84651cdffffffff,54.0,0.0,0.0,24.0
84651ddffffffff,1.0,0.0,0.0,0.0
8465221ffffffff,4.0,0.0,0.0,0.0
8465223ffffffff,4.0,0.0,0.0,0.0
8465229ffffffff,150.0,0.0,0.0,0.0
846556bffffffff,4.0,0.0,0.0,0.0
846592bffffffff,1.0,0.0,0.0,0.0
8465b61ffffffff,10.0,0.0,0.0,0.0
8465b67ffffffff,5.0,0.0,0.0,0.0
8465b6bffffffff,16.0,0.0,0.0,0.0
8468025ffffffff,2.0,0.0,0.0,0.0
8468111ffffffff,4.0,0.0,0.0,0.0
8468115ffffffff,3.0,0.0,0.0,0.0
8468119ffffffff,1.0,0.0,0.0,0.0
846811bffffffff,15.0,0.0,0.0,6.0
8468123ffffffff,6.0,0.0,0.0,0.0
8468125ffffffff,3.0,0.0,0.0,0.0
8468185ffffffff,1.0,0.0,0.0,0.0
8468189ffffffff,3.0,0.0,0.0,0.0
846818bffffffff,1.0,0.0,0.0,0.0
846818dffffffff,73.0,0.0,0.0,2.0
846819dffffffff,2.0,0.0,0.0,0.0
84681a9ffffffff,8.0,0.0,0.0,0.0
84681c3ffffffff,10.0,0.0,0.0,0.0
84681c5ffffffff,6.0,0.0,0.0,0.0
84681c7ffffffff,3.0,0.0,0.0,0.0
84681d5ffffffff,2.0,0.0,0.0,0.0
8469341ffffffff,7.0,0.0,0.0,0.0
8469345ffffffff,31.0,0.0,0.0,0.0
8469347ffffffff,2.0,0.0,0.0,0.0
846934dffffffff,1.0,0.0,0.0,0.0
848c101ffffffff,13.0,0.0,0.0,0.0
848c103ffffffff,53.0,0.0,0.0,0.0
848c147ffffffff,4.0,0.0,0.0,0.0
848c1a7ffffffff,6.0,0.0,0.0,0.0
848c961ffffffff,7.0,0.0,0.0,0.0
848c965ffffffff,1.0,0.0,0.0,0.0
848c967ffffffff,1.0,0.0,0.0,0.0
848cd55ffffffff,4.0,0.0,0.0,1.0
848cd5dffffffff,1.0,0.0,0.0,1.0
848d855ffffffff,2.0,0.0,0.0,0.0
848da25ffffffff,31.0,0.0,0.0,1.0
848da2dffffffff,1.0,0.0,0.0,0.0
