cell_id,Rallus longirostris,Rallus longirostris berryorum,Rallus longirostris cypereti,Rallus longirostris [longirostris Group]
825f0ffffffffff,5.0,0.0,0.0,0.0
825f4ffffffffff,4.0,0.0,0.0,0.0
825f5ffffffffff,1.0,0.0,0.0,0.0
826627fffffffff,7.0,0.0,0.0,0.0
8266d7fffffffff,11.0,0.0,2.0,0.0
826757fffffffff,15.0,0.0,0.0,0.0
826d67fffffffff,133.0,7.0,0.0,0.0
826d6ffffffffff,25.0,1.0,0.0,0.0
828187fffffffff,2.0,0.0,0.0,0.0
828f0ffffffffff,1.0,0.0,1.0,0.0
828f27fffffffff,1.0,0.0,0.0,0.0
828f2ffffffffff,9.0,0.0,3.0,0.0
82a817fffffffff,1.0,0.0,0.0,0.0
82a8a7fffffffff,7.0,0.0,0.0,0.0
