cell_id,Ortygornis sephaena,Ortygornis sephaena rovuma,Ortygornis sephaena [sephaena Group]
836a49fffffffff,3.0,0.0,0.0
836a4afffffffff,4.0,0.0,0.0
836a4bfffffffff,32.0,0.0,0.0
836a58fffffffff,106.0,0.0,0.0
836a5afffffffff,132.0,0.0,3.0
836ac0fffffffff,8.0,0.0,2.0
836ac1fffffffff,9.0,0.0,4.0
836ac3fffffffff,244.0,0.0,38.0
836ac8fffffffff,13.0,0.0,5.0
836ac9fffffffff,4.0,0.0,0.0
836acdfffffffff,3.0,0.0,0.0
836acefffffffff,638.0,0.0,56.0
836ad8fffffffff,1.0,0.0,0.0
836adcfffffffff,12.0,0.0,1.0
836addfffffffff,18.0,0.0,2.0
836ae8fffffffff,65.0,0.0,0.0
836aeafffffffff,84.0,0.0,7.0
836aebfffffffff,28.0,0.0,0.0
836aeefffffffff,42.0,0.0,7.0
837a40fffffffff,532.0,0.0,0.0
837a41fffffffff,265.0,0.0,1.0
837a43fffffffff,2.0,0.0,0.0
837a45fffffffff,17.0,0.0,0.0
837a46fffffffff,3.0,0.0,0.0
837a48fffffffff,53.0,0.0,0.0
837a4afffffffff,6.0,0.0,0.0
837a4bfffffffff,20.0,0.0,1.0
837a4cfffffffff,69.0,0.0,0.0
837a4dfffffffff,41.0,0.0,0.0
837a4efffffffff,2.0,0.0,0.0
837a53fffffffff,13.0,0.0,0.0
837a59fffffffff,2.0,0.0,0.0
837a5afffffffff,2.0,0.0,0.0
837a5cfffffffff,1.0,0.0,0.0
837a5efffffffff,2.0,0.0,0.0
837a60fffffffff,355.0,0.0,0.0
837a61fffffffff,233.0,0.0,0.0
837a63fffffffff,5.0,0.0,0.0
837a64fffffffff,183.0,0.0,0.0
837a65fffffffff,138.0,0.0,0.0
837a66fffffffff,16.0,0.0,0.0
837a68fffffffff,118.0,0.0,0.0
837a6afffffffff,14.0,0.0,0.0
837a6bfffffffff,3.0,0.0,0.0
837a6cfffffffff,12.0,0.0,0.0
837a6dfffffffff,87.0,0.0,0.0
837a6efffffffff,191.0,0.0,0.0
837a74fffffffff,3.0,0.0,0.0
837a75fffffffff,3.0,0.0,0.0
837ac1fffffffff,2.0,0.0,0.0
837ac8fffffffff,92.0,0.0,5.0
837accfffffffff,6.0,0.0,0.0
837acdfffffffff,22.0,0.0,2.0
837ad9fffffffff,138.0,0.0,17.0
837ae8fffffffff,49.0,0.0,0.0
837ae9fffffffff,85.0,0.0,7.0
837aeafffffffff,40.0,0.0,2.0
837aebfffffffff,3.0,0.0,0.0
837aedfffffffff,7.0,0.0,0.0
837aeefffffffff,3.0,0.0,0.0
837b4afffffffff,7.0,0.0,0.0
837b4bfffffffff,28.0,0.0,0.0
837b4dfffffffff,2.0,0.0,0.0
837b59fffffffff,74.0,0.0,0.0
837b5bfffffffff,10.0,0.0,0.0
837b6bfffffffff,7.0,0.0,0.0
838320fffffffff,3.0,0.0,0.0
839620fffffffff,32.0,0.0,4.0
839621fffffffff,15.0,0.0,6.0
839622fffffffff,1.0,0.0,0.0
839623fffffffff,21.0,0.0,3.0
839626fffffffff,22.0,0.0,0.0
839628fffffffff,3.0,0.0,3.0
83962cfffffffff,8.0,0.0,0.0
83962dfffffffff,8.0,0.0,5.0
83962efffffffff,2.0,0.0,2.0
839632fffffffff,1.0,0.0,0.0
839662fffffffff,1.0,0.0,0.0
839686fffffffff,2.0,0.0,0.0
839690fffffffff,358.0,0.0,4.0
839692fffffffff,417.0,0.0,16.0
839693fffffffff,74.0,0.0,0.0
83969afffffffff,9.0,0.0,0.0
8396a0fffffffff,2.0,0.0,0.0
8396a2fffffffff,21.0,0.0,0.0
8396b0fffffffff,8.0,0.0,0.0
8396b1fffffffff,85.0,0.0,0.0
8396b5fffffffff,5.0,0.0,0.0
8396b6fffffffff,15.0,0.0,0.0
839701fffffffff,3.0,0.0,0.0
839705fffffffff,10.0,0.0,0.0
839706fffffffff,4.0,0.0,0.0
83970cfffffffff,3.0,0.0,0.0
83970dfffffffff,4.0,0.0,0.0
839710fffffffff,22.0,4.0,0.0
839711fffffffff,19.0,0.0,0.0
839713fffffffff,3.0,0.0,0.0
839715fffffffff,5.0,0.0,0.0
839721fffffffff,2.0,0.0,2.0
839724fffffffff,1.0,0.0,0.0
839725fffffffff,10.0,0.0,0.0
839728fffffffff,104.0,0.0,24.0
839729fffffffff,36.0,0.0,0.0
83972afffffffff,2.0,0.0,0.0
83972cfffffffff,232.0,0.0,52.0
83972dfffffffff,18.0,0.0,6.0
83972efffffffff,163.0,0.0,39.0
839731fffffffff,5.0,0.0,0.0
839735fffffffff,4.0,0.0,0.0
839740fffffffff,6.0,0.0,0.0
839741fffffffff,45.0,0.0,0.0
839743fffffffff,167.0,0.0,3.0
839745fffffffff,3.0,0.0,0.0
839748fffffffff,3.0,0.0,0.0
83974afffffffff,85.0,0.0,26.0
83974bfffffffff,28.0,0.0,10.0
83974efffffffff,55.0,0.0,3.0
839750fffffffff,23.0,0.0,5.0
839751fffffffff,141.0,0.0,3.0
839754fffffffff,11.0,0.0,1.0
839755fffffffff,2.0,0.0,0.0
839758fffffffff,4.0,0.0,0.0
83975cfffffffff,127.0,0.0,10.0
83975dfffffffff,31.0,0.0,2.0
83975efffffffff,13.0,0.0,2.0
839768fffffffff,3.0,0.0,0.0
839770fffffffff,14.0,0.0,2.0
839772fffffffff,2.0,0.0,0.0
839773fffffffff,5.0,0.0,0.0
839774fffffffff,5.0,0.0,0.0
839775fffffffff,23.0,0.0,0.0
839776fffffffff,2.0,0.0,0.0
839791fffffffff,5.0,0.0,0.0
8397aafffffffff,2.0,0.0,0.0
83ac80fffffffff,1.0,0.0,0.0
83ac82fffffffff,31.0,0.0,14.0
83ac85fffffffff,2.0,0.0,0.0
83ac86fffffffff,82.0,0.0,31.0
83ac95fffffffff,5.0,0.0,0.0
83ac96fffffffff,19.0,0.0,2.0
83aca2fffffffff,2.0,0.0,0.0
83acb1fffffffff,15.0,0.0,0.0
83acb3fffffffff,21.0,0.0,0.0
83bc89fffffffff,58.0,0.0,21.0
83bc99fffffffff,4.0,0.0,0.0
83bcc3fffffffff,10.0,0.0,1.0
83bccafffffffff,27.0,0.0,0.0
83bcd0fffffffff,189.0,0.0,25.0
83bcd1fffffffff,23.0,0.0,0.0
83bcd2fffffffff,1487.0,0.0,247.0
83bcd3fffffffff,45.0,0.0,11.0
83bcd4fffffffff,4.0,0.0,0.0
83bcd6fffffffff,383.0,0.0,68.0
83bcd8fffffffff,38.0,0.0,8.0
83bcd9fffffffff,45.0,0.0,10.0
83bcdafffffffff,8.0,0.0,0.0
83bcdcfffffffff,377.0,0.0,72.0
83bcddfffffffff,121.0,0.0,23.0
83bcdefffffffff,166.0,0.0,30.0
83bcf0fffffffff,17.0,0.0,2.0
83bcf1fffffffff,2.0,0.0,0.0
83bcf2fffffffff,713.0,0.0,114.0
83bcf3fffffffff,7.0,0.0,2.0
83bcf6fffffffff,152.0,0.0,60.0
