cell_id,Pachycephala philippinensis,Pachycephala philippinensis fallax,Pachycephala philippinensis illex,Pachycephala philippinensis [philippinensis Group]
8468447ffffffff,2.0,0.0,0.0,0.0
84694e5ffffffff,2.0,0.0,0.0,2.0
