cell_id,Anser anser,Anser anser anser,Anser anser rubrirostris
82190ffffffffff,1753.0,146.0,0.0
821927fffffffff,217.0,19.0,0.0
82192ffffffffff,718.0,261.0,0.0
821947fffffffff,10829.0,1411.0,0.0
82194ffffffffff,8067.0,685.0,0.0
821957fffffffff,2031.0,247.0,0.0
82195ffffffffff,4129.0,284.0,0.0
82196ffffffffff,6494.0,713.0,0.0
821977fffffffff,1329.0,70.0,0.0
821aa7fffffffff,28.0,0.0,0.0
821e07fffffffff,3920.0,303.0,0.0
821e0ffffffffff,1844.0,74.0,0.0
821e17fffffffff,488.0,40.0,0.0
821e1ffffffffff,990.0,67.0,0.0
821e27fffffffff,746.0,13.0,0.0
821e2ffffffffff,203.0,2.0,0.0
821e37fffffffff,3582.0,55.0,0.0
821e47fffffffff,6.0,0.0,0.0
821e4ffffffffff,6.0,0.0,0.0
821e57fffffffff,50.0,1.0,0.0
821e5ffffffffff,355.0,23.0,0.0
821e67fffffffff,8.0,0.0,0.0
821e6ffffffffff,45.0,0.0,0.0
821e77fffffffff,15.0,0.0,0.0
821e87fffffffff,74.0,6.0,0.0
821ea7fffffffff,329.0,12.0,0.0
821eaffffffffff,23.0,0.0,0.0
821eb7fffffffff,48.0,0.0,0.0
821ec7fffffffff,206.0,10.0,1.0
821ecffffffffff,121.0,10.0,0.0
821ed7fffffffff,67.0,0.0,8.0
821edffffffffff,5.0,0.0,0.0
821ee7fffffffff,139.0,0.0,0.0
821eeffffffffff,146.0,8.0,0.0
821ef7fffffffff,20.0,0.0,0.0
821f07fffffffff,2497.0,365.0,0.0
821f0ffffffffff,447.0,4.0,0.0
821f17fffffffff,1682.0,70.0,0.0
821f1ffffffffff,1691.0,102.0,0.0
821f27fffffffff,855.0,148.0,0.0
821f2ffffffffff,1769.0,503.0,0.0
821f37fffffffff,1413.0,235.0,0.0
821f47fffffffff,36.0,0.0,0.0
821f4ffffffffff,21.0,0.0,0.0
821f57fffffffff,420.0,8.0,0.0
821f5ffffffffff,116.0,4.0,0.0
821f67fffffffff,87.0,7.0,0.0
821f6ffffffffff,4.0,0.0,0.0
821f77fffffffff,392.0,8.0,0.0
821f87fffffffff,1315.0,39.0,0.0
821f8ffffffffff,2363.0,577.0,0.0
821f97fffffffff,104.0,8.0,0.0
821f9ffffffffff,27.0,3.0,0.0
821fa7fffffffff,1521.0,74.0,0.0
821faffffffffff,4014.0,59.0,0.0
821fb7fffffffff,349.0,30.0,0.0
822017fffffffff,1.0,0.0,0.0
82204ffffffffff,23.0,0.0,0.0
82205ffffffffff,1.0,0.0,0.0
822087fffffffff,2.0,0.0,0.0
8220affffffffff,2.0,0.0,0.0
8220cffffffffff,6.0,0.0,0.0
8220e7fffffffff,8.0,0.0,6.0
8220effffffffff,8.0,0.0,0.0
82214ffffffffff,10.0,0.0,0.0
822157fffffffff,78.0,0.0,28.0
822177fffffffff,1.0,0.0,0.0
82219ffffffffff,9.0,0.0,4.0
822407fffffffff,46.0,0.0,0.0
82240ffffffffff,2.0,0.0,0.0
82242ffffffffff,80.0,0.0,0.0
822437fffffffff,40.0,0.0,0.0
82244ffffffffff,29.0,0.0,12.0
822467fffffffff,3.0,0.0,0.0
82246ffffffffff,2.0,0.0,0.0
822477fffffffff,3.0,0.0,0.0
822487fffffffff,15.0,0.0,6.0
82248ffffffffff,51.0,0.0,6.0
82249ffffffffff,4.0,0.0,0.0
8224affffffffff,2.0,0.0,0.0
8224c7fffffffff,2.0,0.0,0.0
8224d7fffffffff,7.0,0.0,0.0
822507fffffffff,6.0,0.0,0.0
822517fffffffff,156.0,0.0,0.0
82251ffffffffff,5.0,0.0,0.0
822557fffffffff,2.0,0.0,0.0
82255ffffffffff,9.0,0.0,0.0
8225a7fffffffff,48.0,0.0,2.0
8225affffffffff,29.0,0.0,0.0
8225b7fffffffff,9.0,0.0,0.0
82260ffffffffff,4.0,0.0,0.0
822647fffffffff,2.0,0.0,0.0
822657fffffffff,80.0,0.0,0.0
822667fffffffff,17.0,0.0,0.0
82266ffffffffff,117.0,0.0,0.0
82268ffffffffff,108.0,0.0,0.0
822697fffffffff,409.0,0.0,0.0
82269ffffffffff,34.0,0.0,0.0
8226affffffffff,38.0,0.0,0.0
8226cffffffffff,5.0,0.0,0.0
8226d7fffffffff,42.0,0.0,0.0
8226dffffffffff,78.0,0.0,0.0
822747fffffffff,1.0,0.0,0.0
82274ffffffffff,516.0,0.0,0.0
822757fffffffff,3.0,0.0,0.0
82275ffffffffff,102.0,0.0,0.0
822817fffffffff,3.0,0.0,0.0
82281ffffffffff,76.0,0.0,0.0
822837fffffffff,824.0,0.0,0.0
822887fffffffff,13.0,0.0,0.0
8228b7fffffffff,62.0,0.0,0.0
8228f7fffffffff,60.0,0.0,0.0
822997fffffffff,51.0,0.0,0.0
8229a7fffffffff,339.0,0.0,0.0
8229affffffffff,295.0,0.0,0.0
8229b7fffffffff,89.0,0.0,0.0
822a17fffffffff,113.0,0.0,0.0
822a37fffffffff,5.0,0.0,0.0
822a87fffffffff,19.0,0.0,0.0
822a8ffffffffff,327.0,0.0,0.0
822a97fffffffff,206.0,0.0,0.0
822aa7fffffffff,23.0,0.0,0.0
822aaffffffffff,7.0,0.0,0.0
822ab7fffffffff,128.0,0.0,0.0
822ad7fffffffff,67.0,0.0,0.0
822af7fffffffff,7.0,0.0,0.0
822b8ffffffffff,8.0,0.0,0.0
822b9ffffffffff,98.0,0.0,0.0
822c07fffffffff,84.0,0.0,0.0
822c0ffffffffff,127.0,0.0,0.0
822c17fffffffff,20.0,0.0,0.0
822c1ffffffffff,15.0,0.0,0.0
822c27fffffffff,3.0,0.0,0.0
822c2ffffffffff,19.0,0.0,0.0
822c37fffffffff,3.0,0.0,0.0
822c4ffffffffff,2.0,0.0,0.0
822c67fffffffff,19.0,0.0,0.0
822c77fffffffff,5.0,0.0,0.0
822c87fffffffff,12.0,0.0,0.0
822c8ffffffffff,27.0,0.0,0.0
822caffffffffff,6.0,0.0,0.0
822cc7fffffffff,193.0,0.0,0.0
822cd7fffffffff,62.0,0.0,0.0
822ce7fffffffff,68.0,3.0,3.0
822cf7fffffffff,117.0,0.0,0.0
822d07fffffffff,18.0,0.0,0.0
822d17fffffffff,89.0,0.0,0.0
822d1ffffffffff,8.0,0.0,0.0
822d2ffffffffff,6.0,0.0,0.0
822d37fffffffff,90.0,0.0,0.0
822d5ffffffffff,31.0,0.0,0.0
822d67fffffffff,21.0,0.0,0.0
822d77fffffffff,23.0,0.0,0.0
822da7fffffffff,10.0,0.0,0.0
822daffffffffff,2.0,0.0,0.0
822db7fffffffff,10.0,0.0,0.0
823017fffffffff,2.0,0.0,0.0
823087fffffffff,4.0,0.0,0.0
823097fffffffff,4.0,0.0,0.0
82309ffffffffff,18.0,0.0,0.0
8230c7fffffffff,2.0,0.0,0.0
8230e7fffffffff,11.0,0.0,0.0
82310ffffffffff,1.0,0.0,0.0
823117fffffffff,5.0,0.0,5.0
823127fffffffff,7.0,0.0,0.0
82312ffffffffff,3.0,0.0,0.0
823187fffffffff,66.0,0.0,4.0
82318ffffffffff,43.0,0.0,0.0
8231a7fffffffff,4.0,0.0,0.0
8231affffffffff,49.0,0.0,0.0
823427fffffffff,128.0,0.0,0.0
823437fffffffff,15.0,0.0,0.0
823447fffffffff,5.0,0.0,0.0
82344ffffffffff,13.0,0.0,0.0
82346ffffffffff,14.0,0.0,0.0
82351ffffffffff,160.0,0.0,0.0
