cell_id,Ptilopachus petrosus,Ptilopachus petrosus petrosus,Ptilopachus petrosus major
835408fffffffff,6.0,0.0,0.0
83540bfffffffff,2.0,0.0,0.0
835419fffffffff,1.0,0.0,0.0
83541afffffffff,74.0,15.0,0.0
83541bfffffffff,62.0,0.0,0.0
835440fffffffff,14.0,0.0,0.0
835444fffffffff,1.0,0.0,0.0
83544dfffffffff,1.0,0.0,0.0
83546bfffffffff,1.0,0.0,0.0
8354a9fffffffff,109.0,10.0,0.0
8354adfffffffff,24.0,2.0,0.0
8354e0fffffffff,3.0,0.0,0.0
8354e2fffffffff,4.0,0.0,0.0
8354e4fffffffff,142.0,18.0,0.0
8354e5fffffffff,51.0,12.0,0.0
8354e9fffffffff,1.0,0.0,0.0
8354f4fffffffff,14.0,2.0,0.0
8354f5fffffffff,4.0,0.0,0.0
83580bfffffffff,2.0,0.0,0.0
835858fffffffff,1.0,0.0,0.0
83585afffffffff,2.0,0.0,0.0
835894fffffffff,1.0,0.0,0.0
835896fffffffff,8.0,1.0,0.0
8358a4fffffffff,9.0,0.0,0.0
8358a6fffffffff,6.0,0.0,0.0
8358aefffffffff,1.0,0.0,0.0
8358b2fffffffff,1.0,0.0,0.0
8358b5fffffffff,8.0,0.0,0.0
8358cdfffffffff,5.0,0.0,0.0
8358e2fffffffff,88.0,0.0,0.0
8358e6fffffffff,33.0,0.0,0.0
8358ebfffffffff,1.0,0.0,0.0
8358f4fffffffff,1.0,0.0,0.0
8358f5fffffffff,33.0,0.0,0.0
835982fffffffff,4.0,0.0,0.0
83598bfffffffff,1.0,0.0,0.0
835990fffffffff,1.0,0.0,0.0
835991fffffffff,2.0,0.0,0.0
835993fffffffff,2.0,0.0,0.0
83599afffffffff,2.0,2.0,0.0
83599efffffffff,6.0,0.0,0.0
836a10fffffffff,3.0,0.0,0.0
836a5afffffffff,25.0,0.0,0.0
836aeefffffffff,3.0,0.0,0.0
836bb6fffffffff,2.0,0.0,0.0
837520fffffffff,368.0,35.0,0.0
837521fffffffff,2.0,0.0,0.0
837529fffffffff,119.0,9.0,0.0
837531fffffffff,3.0,0.0,0.0
837532fffffffff,1.0,0.0,0.0
837536fffffffff,4.0,0.0,0.0
837574fffffffff,1.0,0.0,0.0
837a40fffffffff,7.0,0.0,0.0
837a41fffffffff,2.0,0.0,0.0
837a48fffffffff,37.0,0.0,0.0
837a4bfffffffff,5.0,0.0,0.0
