cell_id,Thalassarche melanophris,Thalassarche melanophris melanophris,Thalassarche melanophris impavida
83099efffffffff,1.0,0.0,0.0
8309a5fffffffff,2.0,0.0,0.0
831870fffffffff,2.0,0.0,0.0
831940fffffffff,6.0,0.0,0.0
831946fffffffff,181.0,8.0,0.0
831f05fffffffff,2.0,0.0,0.0
831f20fffffffff,1.0,0.0,0.0
831f2efffffffff,2.0,0.0,0.0
831f33fffffffff,2.0,0.0,0.0
832af1fffffffff,2.0,0.0,0.0
8366a2fffffffff,2.0,0.0,2.0
838e62fffffffff,1.0,0.0,0.0
838e75fffffffff,2.0,0.0,0.0
83a814fffffffff,21.0,0.0,0.0
83a835fffffffff,12.0,0.0,0.0
83a918fffffffff,1.0,0.0,0.0
83a98bfffffffff,26.0,0.0,0.0
83ad34fffffffff,28.0,14.0,0.0
83ad36fffffffff,6.0,1.0,0.0
83b299fffffffff,2.0,0.0,0.0
83b2c0fffffffff,9.0,0.0,0.0
83b2c4fffffffff,32.0,0.0,0.0
83b2dafffffffff,6.0,4.0,2.0
83b2defffffffff,11.0,4.0,0.0
83ba1afffffffff,9.0,0.0,9.0
83ba1cfffffffff,14.0,0.0,7.0
83ba24fffffffff,1.0,0.0,1.0
83bb0afffffffff,1.0,1.0,0.0
83bb28fffffffff,2.0,0.0,0.0
83bb29fffffffff,46.0,37.0,0.0
83bb2dfffffffff,22.0,12.0,1.0
83bb53fffffffff,39.0,15.0,20.0
83bb56fffffffff,7.0,7.0,0.0
83be08fffffffff,2.0,0.0,0.0
83be0cfffffffff,4.0,1.0,3.0
83be0dfffffffff,3.0,3.0,0.0
83be0efffffffff,20.0,6.0,3.0
83be1afffffffff,1.0,1.0,0.0
83be1dfffffffff,6.0,2.0,1.0
83be29fffffffff,3.0,0.0,3.0
83be63fffffffff,2.0,0.0,0.0
83be68fffffffff,4.0,0.0,0.0
83beabfffffffff,20.0,16.0,2.0
83beaefffffffff,1.0,0.0,1.0
83bf4cfffffffff,5.0,5.0,0.0
83bf5bfffffffff,2.0,0.0,1.0
83bf6bfffffffff,2.0,0.0,0.0
83bf8bfffffffff,2.0,0.0,0.0
83c203fffffffff,25.0,0.0,0.0
83c211fffffffff,14.0,14.0,0.0
83c214fffffffff,7.0,7.0,0.0
83c215fffffffff,15.0,15.0,0.0
83c21cfffffffff,23.0,0.0,0.0
83c220fffffffff,5.0,0.0,0.0
83c222fffffffff,5.0,0.0,0.0
83c223fffffffff,10.0,0.0,0.0
83c224fffffffff,9.0,0.0,0.0
83c233fffffffff,3.0,0.0,0.0
83c2f0fffffffff,6.0,0.0,0.0
83c2f1fffffffff,18.0,0.0,0.0
83c2f2fffffffff,55.0,5.0,0.0
83c2f3fffffffff,25.0,0.0,0.0
83c2f6fffffffff,2.0,0.0,0.0
83c305fffffffff,5.0,0.0,0.0
83c306fffffffff,3.0,0.0,0.0
83c30afffffffff,10.0,0.0,0.0
83c30efffffffff,2.0,0.0,0.0
83c316fffffffff,6.0,0.0,0.0
83c31dfffffffff,4.0,0.0,0.0
83c320fffffffff,17.0,0.0,0.0
83c323fffffffff,2.0,0.0,0.0
83c32afffffffff,3.0,0.0,0.0
83c32efffffffff,22.0,0.0,0.0
83c330fffffffff,22.0,0.0,0.0
83c331fffffffff,29.0,0.0,0.0
83c332fffffffff,33.0,0.0,0.0
83c333fffffffff,18.0,0.0,0.0
83c3a4fffffffff,7.0,7.0,0.0
83c984fffffffff,2.0,0.0,2.0
83c986fffffffff,17.0,13.0,2.0
83c993fffffffff,6.0,4.0,0.0
83c99efffffffff,2.0,0.0,0.0
83c9b0fffffffff,29.0,2.0,21.0
83c9b1fffffffff,4.0,0.0,4.0
83cc40fffffffff,2.0,2.0,0.0
83cc44fffffffff,2.0,2.0,0.0
83ce10fffffffff,4.0,4.0,0.0
83ce13fffffffff,3.0,3.0,0.0
83ce15fffffffff,9.0,0.0,0.0
83ce89fffffffff,3.0,3.0,0.0
83ce8cfffffffff,5.0,0.0,0.0
83ceadfffffffff,3.0,3.0,0.0
83ced6fffffffff,3.0,3.0,0.0
83cf11fffffffff,5.0,0.0,0.0
83cf9efffffffff,2.0,0.0,0.0
83d6a9fffffffff,1.0,1.0,0.0
83d6d1fffffffff,1.0,1.0,0.0
83da00fffffffff,25.0,0.0,25.0
83da01fffffffff,17.0,2.0,4.0
83da02fffffffff,2.0,0.0,2.0
83da06fffffffff,18.0,0.0,16.0
83da09fffffffff,8.0,0.0,8.0
83da0afffffffff,11.0,0.0,9.0
83da0cfffffffff,14.0,0.0,11.0
83da11fffffffff,2.0,0.0,2.0
83da13fffffffff,14.0,0.0,14.0
83da1afffffffff,13.0,0.0,12.0
83da1cfffffffff,3.0,0.0,3.0
83da32fffffffff,17.0,0.0,12.0
83da33fffffffff,2.0,0.0,2.0
83da73fffffffff,2.0,2.0,0.0
83da84fffffffff,57.0,36.0,18.0
83da8cfffffffff,2.0,0.0,2.0
83da93fffffffff,7.0,0.0,7.0
83da9cfffffffff,1.0,0.0,0.0
83daa4fffffffff,5.0,0.0,3.0
83daa9fffffffff,2.0,0.0,2.0
83daadfffffffff,2.0,0.0,2.0
83dab2fffffffff,1.0,0.0,0.0
83dab5fffffffff,1.0,0.0,1.0
83db8afffffffff,2.0,0.0,2.0
83db8bfffffffff,2.0,0.0,2.0
83db8dfffffffff,16.0,0.0,15.0
83db8efffffffff,4.0,0.0,2.0
83de08fffffffff,2.0,0.0,0.0
83de0afffffffff,8.0,4.0,0.0
83de0bfffffffff,4.0,0.0,0.0
83de19fffffffff,10.0,2.0,0.0
83de1afffffffff,5.0,0.0,0.0
83de1bfffffffff,2.0,2.0,0.0
83de23fffffffff,3.0,3.0,0.0
83de24fffffffff,2.0,2.0,0.0
83de48fffffffff,11.0,0.0,0.0
83de49fffffffff,3.0,0.0,0.0
83de4efffffffff,3.0,0.0,0.0
83de59fffffffff,8.0,8.0,0.0
83de5dfffffffff,10.0,10.0,0.0
83de62fffffffff,29.0,11.0,0.0
83de6bfffffffff,6.0,0.0,0.0
83de70fffffffff,2.0,0.0,0.0
83de71fffffffff,2.0,2.0,0.0
83de72fffffffff,2.0,0.0,0.0
83de80fffffffff,6.0,0.0,0.0
83de82fffffffff,6.0,0.0,0.0
83de95fffffffff,11.0,0.0,0.0
83dea4fffffffff,5.0,5.0,0.0
83dea5fffffffff,5.0,5.0,0.0
83dea8fffffffff,2.0,0.0,0.0
83dea9fffffffff,8.0,0.0,0.0
83deaafffffffff,6.0,0.0,0.0
83deabfffffffff,2.0,0.0,0.0
83deb0fffffffff,5.0,0.0,0.0
83deb5fffffffff,4.0,0.0,0.0
83df04fffffffff,2.0,2.0,0.0
83df05fffffffff,2.0,2.0,0.0
83df09fffffffff,2.0,0.0,0.0
83df0dfffffffff,7.0,3.0,0.0
83df1efffffffff,11.0,8.0,0.0
83df26fffffffff,2.0,0.0,0.0
83df28fffffffff,1.0,0.0,0.0
83df29fffffffff,6.0,0.0,0.0
83df2afffffffff,2.0,2.0,0.0
83df2bfffffffff,2.0,2.0,0.0
83df40fffffffff,1.0,0.0,0.0
83df42fffffffff,3.0,2.0,0.0
83df43fffffffff,1.0,0.0,0.0
83df44fffffffff,29.0,8.0,0.0
83df45fffffffff,10.0,2.0,0.0
83df46fffffffff,2.0,0.0,0.0
83df59fffffffff,2.0,0.0,0.0
83df5dfffffffff,3.0,2.0,0.0
83df62fffffffff,3.0,2.0,0.0
83df68fffffffff,28.0,0.0,0.0
83df6dfffffffff,3.0,0.0,0.0
83df6efffffffff,2.0,0.0,0.0
83df71fffffffff,19.0,16.0,0.0
83df72fffffffff,3.0,3.0,0.0
83df75fffffffff,3.0,3.0,0.0
83df80fffffffff,1.0,0.0,0.0
83df81fffffffff,1.0,0.0,0.0
83df8cfffffffff,2.0,2.0,0.0
83df9bfffffffff,6.0,2.0,0.0
