cell_id,Chondrohierax uncinatus,Chondrohierax uncinatus uncinatus,Chondrohierax uncinatus mirus
834505fffffffff,4.0,0.0,0.0
83450dfffffffff,3.0,0.0,0.0
834520fffffffff,13.0,0.0,0.0
834521fffffffff,404.0,0.0,0.0
834523fffffffff,1.0,0.0,0.0
834524fffffffff,21.0,0.0,0.0
834525fffffffff,5.0,0.0,0.0
834528fffffffff,5.0,0.0,0.0
83452afffffffff,19.0,0.0,0.0
83452efffffffff,88.0,0.0,0.0
834535fffffffff,2.0,0.0,0.0
834836fffffffff,4.0,1.0,0.0
834882fffffffff,10.0,0.0,0.0
834886fffffffff,1.0,0.0,0.0
8348b1fffffffff,265.0,13.0,0.0
8348b2fffffffff,8.0,0.0,0.0
8348b3fffffffff,989.0,19.0,0.0
834982fffffffff,4.0,0.0,0.0
834986fffffffff,3.0,0.0,0.0
834994fffffffff,2.0,0.0,0.0
834995fffffffff,5.0,0.0,0.0
834996fffffffff,31.0,0.0,0.0
8349a9fffffffff,2.0,2.0,0.0
8349b3fffffffff,10.0,0.0,0.0
8349b6fffffffff,2.0,0.0,0.0
835e66fffffffff,13.0,0.0,10.0
835e71fffffffff,4.0,0.0,0.0
835f42fffffffff,5.0,0.0,0.0
835f43fffffffff,1.0,0.0,0.0
835f58fffffffff,1.0,0.0,0.0
835f59fffffffff,1.0,0.0,0.0
835f5bfffffffff,2.0,0.0,0.0
836610fffffffff,68.0,3.0,0.0
836613fffffffff,23.0,0.0,0.0
836616fffffffff,3.0,0.0,0.0
83661bfffffffff,5.0,0.0,0.0
83661dfffffffff,1.0,1.0,0.0
836620fffffffff,3.0,0.0,0.0
83665afffffffff,1.0,0.0,0.0
83665bfffffffff,1.0,0.0,0.0
8366a0fffffffff,2.0,0.0,0.0
8366a1fffffffff,4.0,0.0,0.0
8366a3fffffffff,2.0,0.0,0.0
8366a5fffffffff,39.0,1.0,0.0
8366aefffffffff,1.0,0.0,0.0
8366b4fffffffff,84.0,0.0,0.0
8366b5fffffffff,1.0,0.0,0.0
8366c2fffffffff,34.0,0.0,0.0
8366d0fffffffff,14.0,0.0,0.0
8366d1fffffffff,3.0,0.0,0.0
8366d2fffffffff,4.0,0.0,0.0
8366d3fffffffff,17.0,6.0,0.0
8366defffffffff,2.0,0.0,0.0
8366e6fffffffff,2.0,0.0,0.0
8366f0fffffffff,33.0,2.0,0.0
8366f1fffffffff,5.0,0.0,0.0
83674cfffffffff,7.0,0.0,0.0
83675afffffffff,3.0,0.0,0.0
83675cfffffffff,3.0,0.0,0.0
83679afffffffff,5.0,0.0,0.0
83679bfffffffff,3.0,0.0,0.0
836d21fffffffff,2.0,0.0,0.0
836d23fffffffff,10.0,0.0,0.0
836d28fffffffff,10.0,0.0,0.0
836d2afffffffff,5.0,0.0,0.0
836d2bfffffffff,12.0,0.0,0.0
836d2dfffffffff,11.0,0.0,0.0
836d32fffffffff,2.0,0.0,0.0
836d34fffffffff,2.0,0.0,0.0
836d35fffffffff,3.0,0.0,0.0
836d64fffffffff,10.0,0.0,0.0
836d66fffffffff,2.0,0.0,0.0
836d69fffffffff,21.0,2.0,0.0
836d6dfffffffff,1.0,0.0,0.0
838130fffffffff,2.0,0.0,0.0
838136fffffffff,3.0,0.0,0.0
838a05fffffffff,1.0,1.0,0.0
838a31fffffffff,2.0,0.0,0.0
838af6fffffffff,3.0,0.0,0.0
838b0cfffffffff,2.0,0.0,0.0
838f0dfffffffff,13.0,0.0,0.0
838f2afffffffff,2.0,0.0,0.0
838f40fffffffff,3.0,3.0,0.0
838f50fffffffff,1.0,1.0,0.0
838f72fffffffff,3.0,0.0,0.0
838f73fffffffff,2.0,2.0,0.0
83a8a9fffffffff,1.0,1.0,0.0
83a946fffffffff,9.0,0.0,0.0
83a94cfffffffff,3.0,0.0,0.0
83a94efffffffff,3.0,0.0,0.0
83a953fffffffff,8.0,0.0,0.0
83a96cfffffffff,4.0,0.0,0.0
83b274fffffffff,6.0,0.0,0.0
83b275fffffffff,2.0,0.0,0.0
83b276fffffffff,2.0,0.0,0.0
83b342fffffffff,89.0,0.0,0.0
83b351fffffffff,2.0,0.0,0.0
83b358fffffffff,2.0,0.0,0.0
83b35cfffffffff,7.0,0.0,0.0
