cell_id,Buteogallus urubitinga,Buteogallus urubitinga ridgwayi,Buteogallus urubitinga urubitinga
834424fffffffff,5.0,0.0,0.0
834501fffffffff,30.0,0.0,0.0
834505fffffffff,43.0,0.0,0.0
834508fffffffff,22.0,0.0,0.0
834509fffffffff,78.0,19.0,0.0
83450afffffffff,91.0,0.0,0.0
83450bfffffffff,249.0,5.0,0.0
83450cfffffffff,21.0,0.0,0.0
83450dfffffffff,66.0,4.0,0.0
83450efffffffff,54.0,0.0,0.0
834520fffffffff,13.0,0.0,0.0
834521fffffffff,146.0,0.0,0.0
834522fffffffff,173.0,0.0,0.0
834523fffffffff,115.0,0.0,0.0
834524fffffffff,66.0,0.0,0.0
834525fffffffff,49.0,0.0,0.0
834526fffffffff,23.0,0.0,0.0
834528fffffffff,55.0,0.0,0.0
834529fffffffff,2.0,0.0,0.0
83452afffffffff,1288.0,0.0,0.0
83452bfffffffff,36.0,0.0,0.0
83452cfffffffff,43.0,0.0,0.0
83452dfffffffff,45.0,3.0,0.0
83452efffffffff,1543.0,0.0,0.0
834531fffffffff,3.0,0.0,0.0
834532fffffffff,22.0,0.0,0.0
834534fffffffff,5.0,0.0,0.0
834535fffffffff,11.0,0.0,0.0
834536fffffffff,21.0,0.0,0.0
834564fffffffff,5.0,0.0,0.0
834572fffffffff,33.0,2.0,0.0
834574fffffffff,1.0,0.0,0.0
834576fffffffff,12.0,0.0,0.0
834806fffffffff,3.0,0.0,0.0
83480efffffffff,3.0,0.0,0.0
83481dfffffffff,4.0,0.0,0.0
834832fffffffff,11.0,0.0,0.0
834833fffffffff,30.0,0.0,0.0
834836fffffffff,581.0,6.0,0.0
834992fffffffff,11.0,0.0,0.0
834993fffffffff,3.0,1.0,0.0
834996fffffffff,242.0,4.0,0.0
834998fffffffff,38.0,0.0,0.0
8349a8fffffffff,8.0,0.0,0.0
8349a9fffffffff,5.0,0.0,0.0
8349aefffffffff,2.0,0.0,0.0
8349b1fffffffff,4.0,0.0,0.0
8349b5fffffffff,7.0,0.0,0.0
835f00fffffffff,1.0,0.0,0.0
835f01fffffffff,3.0,0.0,0.0
835f03fffffffff,31.0,0.0,0.0
835f06fffffffff,4.0,0.0,0.0
835f08fffffffff,69.0,0.0,0.0
835f09fffffffff,70.0,0.0,0.0
835f0bfffffffff,39.0,0.0,0.0
835f0dfffffffff,8.0,0.0,0.0
835f0efffffffff,14.0,0.0,0.0
835f10fffffffff,2.0,0.0,0.0
835f11fffffffff,1.0,0.0,0.0
835f12fffffffff,18.0,0.0,0.0
835f13fffffffff,16.0,0.0,0.0
835f14fffffffff,4.0,0.0,0.0
835f16fffffffff,1.0,0.0,0.0
835f1cfffffffff,15.0,0.0,0.0
835f1dfffffffff,5.0,0.0,0.0
835f1efffffffff,5.0,0.0,0.0
835f22fffffffff,5.0,0.0,0.0
835f28fffffffff,4.0,0.0,0.0
835f29fffffffff,192.0,0.0,0.0
835f2bfffffffff,382.0,0.0,0.0
835f2dfffffffff,38.0,0.0,0.0
835f33fffffffff,1.0,0.0,0.0
835f40fffffffff,8.0,0.0,0.0
835f41fffffffff,1.0,0.0,0.0
835f42fffffffff,6.0,0.0,0.0
835f43fffffffff,4.0,0.0,0.0
835f46fffffffff,1.0,0.0,0.0
835f48fffffffff,3.0,0.0,0.0
835f4afffffffff,28.0,0.0,0.0
835f4bfffffffff,5.0,0.0,0.0
835f4efffffffff,7.0,0.0,0.0
835f54fffffffff,3.0,0.0,0.0
835f5bfffffffff,371.0,0.0,0.0
835f5dfffffffff,1.0,0.0,0.0
835f68fffffffff,20.0,0.0,0.0
835f70fffffffff,1.0,0.0,0.0
835f71fffffffff,2.0,0.0,0.0
835f75fffffffff,4.0,0.0,0.0
835f76fffffffff,8.0,0.0,0.0
836600fffffffff,7.0,0.0,0.0
836602fffffffff,47.0,0.0,0.0
836603fffffffff,2.0,0.0,0.0
836604fffffffff,6.0,0.0,0.0
836605fffffffff,7.0,0.0,0.0
836606fffffffff,138.0,0.0,0.0
836608fffffffff,30.0,0.0,0.0
83660afffffffff,21.0,0.0,0.0
83660dfffffffff,4.0,0.0,0.0
83660efffffffff,111.0,0.0,0.0
836610fffffffff,180.0,0.0,0.0
836611fffffffff,43.0,0.0,0.0
836612fffffffff,3.0,0.0,0.0
836613fffffffff,155.0,0.0,0.0
836615fffffffff,12.0,0.0,0.0
836616fffffffff,104.0,0.0,0.0
836618fffffffff,2.0,0.0,0.0
836619fffffffff,16.0,0.0,0.0
83661afffffffff,20.0,0.0,0.0
83661cfffffffff,7.0,0.0,0.0
83661efffffffff,12.0,0.0,0.0
836620fffffffff,104.0,0.0,0.0
836621fffffffff,24.0,0.0,0.0
836622fffffffff,87.0,0.0,2.0
836623fffffffff,2.0,0.0,0.0
836625fffffffff,17.0,0.0,2.0
836628fffffffff,14.0,0.0,0.0
83662cfffffffff,21.0,0.0,0.0
83662efffffffff,12.0,0.0,0.0
836631fffffffff,29.0,0.0,0.0
836641fffffffff,278.0,0.0,1.0
836643fffffffff,3.0,0.0,0.0
836644fffffffff,7.0,0.0,0.0
836645fffffffff,7.0,0.0,0.0
836648fffffffff,2.0,0.0,0.0
836651fffffffff,2.0,0.0,0.0
836652fffffffff,40.0,0.0,0.0
836653fffffffff,2.0,0.0,0.0
836654fffffffff,99.0,0.0,0.0
836656fffffffff,61.0,0.0,0.0
83665afffffffff,11.0,0.0,0.0
83665bfffffffff,7.0,0.0,0.0
83665efffffffff,1.0,0.0,0.0
836660fffffffff,7.0,0.0,0.0
836663fffffffff,27.0,0.0,0.0
836664fffffffff,11.0,0.0,0.0
836666fffffffff,2.0,0.0,0.0
83666afffffffff,2.0,0.0,0.0
83666cfffffffff,7.0,0.0,0.0
83666efffffffff,13.0,0.0,0.0
836670fffffffff,27.0,0.0,0.0
836671fffffffff,7.0,0.0,0.0
836672fffffffff,86.0,0.0,0.0
836673fffffffff,19.0,0.0,0.0
836674fffffffff,4.0,0.0,0.0
836675fffffffff,80.0,0.0,0.0
836676fffffffff,2.0,0.0,0.0
836684fffffffff,2.0,0.0,0.0
8366a0fffffffff,42.0,0.0,0.0
8366a1fffffffff,69.0,0.0,0.0
8366a2fffffffff,5.0,0.0,0.0
8366a3fffffffff,18.0,0.0,0.0
8366a5fffffffff,663.0,0.0,0.0
8366a6fffffffff,16.0,0.0,0.0
8366adfffffffff,2.0,0.0,0.0
8366aefffffffff,2.0,0.0,0.0
8366b0fffffffff,105.0,0.0,0.0
8366b1fffffffff,1.0,0.0,0.0
8366b4fffffffff,144.0,0.0,0.0
8366b5fffffffff,220.0,0.0,0.0
8366b6fffffffff,26.0,0.0,0.0
8366c0fffffffff,3.0,0.0,0.0
8366c1fffffffff,4.0,0.0,0.0
8366c2fffffffff,24.0,0.0,0.0
8366cdfffffffff,3.0,0.0,0.0
8366cefffffffff,12.0,0.0,0.0
8366d0fffffffff,6.0,0.0,0.0
8366d1fffffffff,1.0,0.0,0.0
8366d2fffffffff,2.0,0.0,0.0
8366d8fffffffff,36.0,0.0,2.0
8366dafffffffff,1.0,0.0,0.0
8366dbfffffffff,14.0,0.0,0.0
8366dcfffffffff,84.0,0.0,3.0
8366ddfffffffff,33.0,0.0,0.0
8366defffffffff,31.0,0.0,0.0
8366e1fffffffff,3.0,0.0,0.0
8366e4fffffffff,5.0,0.0,0.0
8366e5fffffffff,56.0,0.0,0.0
8366e8fffffffff,5.0,0.0,0.0
8366e9fffffffff,4.0,0.0,0.0
8366ecfffffffff,74.0,0.0,0.0
8366eefffffffff,8.0,0.0,0.0
8366f0fffffffff,2.0,0.0,0.0
836741fffffffff,22.0,0.0,0.0
836742fffffffff,30.0,0.0,0.0
836743fffffffff,86.0,0.0,0.0
83674afffffffff,51.0,0.0,0.0
83674cfffffffff,82.0,0.0,2.0
83674dfffffffff,2.0,0.0,0.0
83674efffffffff,54.0,0.0,0.0
836751fffffffff,22.0,0.0,0.0
836752fffffffff,132.0,0.0,0.0
836753fffffffff,131.0,0.0,0.0
836755fffffffff,9.0,0.0,0.0
836756fffffffff,5.0,0.0,0.0
836758fffffffff,10.0,0.0,0.0
836759fffffffff,53.0,0.0,0.0
83675afffffffff,21.0,0.0,0.0
83675bfffffffff,18.0,0.0,0.0
83675cfffffffff,66.0,0.0,0.0
83675dfffffffff,3.0,0.0,0.0
83675efffffffff,6.0,0.0,0.0
83676bfffffffff,5.0,0.0,0.0
83678bfffffffff,2.0,0.0,0.0
836790fffffffff,5.0,0.0,0.0
836793fffffffff,3.0,0.0,0.0
836794fffffffff,2.0,0.0,0.0
836796fffffffff,7.0,0.0,0.0
83679afffffffff,35.0,0.0,0.0
83679bfffffffff,105.0,0.0,0.0
8367b2fffffffff,5.0,0.0,0.0
836d04fffffffff,24.0,0.0,0.0
836d05fffffffff,162.0,9.0,0.0
836d06fffffffff,3.0,0.0,0.0
836d14fffffffff,2.0,0.0,0.0
836d15fffffffff,39.0,6.0,0.0
836d20fffffffff,18.0,0.0,0.0
836d21fffffffff,31.0,2.0,0.0
836d22fffffffff,3.0,0.0,0.0
836d23fffffffff,4.0,0.0,0.0
836d24fffffffff,27.0,0.0,0.0
836d25fffffffff,52.0,0.0,0.0
836d26fffffffff,4.0,0.0,0.0
836d28fffffffff,2.0,0.0,0.0
836d29fffffffff,4.0,0.0,0.0
