cell_id,Cantorchilus nigricapillus,Cantorchilus nigricapillus [castaneus Group],Cantorchilus nigricapillus nigricapillus/connectens
8466021ffffffff,4.0,0.0,0.0
8466033ffffffff,2.0,0.0,0.0
8466037ffffffff,2.0,0.0,0.0
8466067ffffffff,1.0,0.0,1.0
8466087ffffffff,1.0,0.0,0.0
846608dffffffff,46.0,0.0,0.0
84660a5ffffffff,1.0,0.0,0.0
84660a7ffffffff,46.0,0.0,2.0
84660e5ffffffff,1.0,0.0,0.0
8466103ffffffff,1.0,0.0,0.0
8466105ffffffff,18.0,3.0,0.0
8466107ffffffff,64.0,5.0,0.0
846610dffffffff,5.0,0.0,0.0
8466113ffffffff,33.0,0.0,0.0
8466117ffffffff,12.0,0.0,0.0
8466129ffffffff,55.0,6.0,0.0
8466131ffffffff,97.0,16.0,0.0
8466135ffffffff,8.0,2.0,0.0
8466137ffffffff,1.0,1.0,0.0
8466139ffffffff,208.0,9.0,0.0
846613bffffffff,23.0,0.0,0.0
846613dffffffff,40.0,3.0,0.0
8466161ffffffff,2.0,0.0,0.0
8466163ffffffff,562.0,51.0,0.0
8466165ffffffff,347.0,63.0,0.0
8466167ffffffff,27.0,5.0,0.0
846616bffffffff,1.0,0.0,0.0
8466181ffffffff,8.0,0.0,0.0
8466183ffffffff,2.0,0.0,0.0
8466185ffffffff,4.0,0.0,0.0
8466187ffffffff,1.0,0.0,0.0
8466189ffffffff,1.0,0.0,0.0
846618dffffffff,1.0,0.0,0.0
8466191ffffffff,192.0,0.0,1.0
8466193ffffffff,511.0,0.0,13.0
8466197ffffffff,41.0,0.0,0.0
8466199ffffffff,72.0,0.0,0.0
846619bffffffff,987.0,0.0,16.0
846619dffffffff,13.0,0.0,1.0
84661a3ffffffff,2.0,0.0,0.0
84661a5ffffffff,187.0,0.0,3.0
84661a7ffffffff,55.0,0.0,0.0
84661adffffffff,86.0,0.0,0.0
84661b1ffffffff,743.0,0.0,83.0
84661b3ffffffff,25.0,0.0,0.0
84661b7ffffffff,53.0,0.0,0.0
84661b9ffffffff,673.0,0.0,1.0
84661bbffffffff,50.0,0.0,0.0
84661bdffffffff,84.0,0.0,0.0
84661c3ffffffff,7.0,0.0,0.0
84661c9ffffffff,11.0,0.0,0.0
84661cbffffffff,5.0,0.0,0.0
84661cdffffffff,131.0,0.0,0.0
84661d1ffffffff,101.0,0.0,0.0
84661d3ffffffff,5.0,0.0,0.0
84661d5ffffffff,4.0,0.0,0.0
84661d7ffffffff,35.0,0.0,0.0
84661d9ffffffff,18.0,0.0,0.0
84661ddffffffff,43.0,0.0,2.0
84661ebffffffff,182.0,0.0,0.0
8466a01ffffffff,99.0,0.0,0.0
8466a05ffffffff,59.0,3.0,0.0
8466a09ffffffff,6.0,0.0,0.0
8466a0bffffffff,2459.0,214.0,0.0
8466a2dffffffff,2.0,2.0,0.0
8466a51ffffffff,892.0,93.0,0.0
8466a55ffffffff,155.0,7.0,0.0
8466a57ffffffff,273.0,14.0,0.0
8466a59ffffffff,49.0,0.0,0.0
8466a5bffffffff,195.0,25.0,0.0
8466a5dffffffff,175.0,22.0,0.0
8466a61ffffffff,4.0,0.0,0.0
8466a63ffffffff,37.0,1.0,0.0
8466a65ffffffff,1142.0,71.0,0.0
8466a67ffffffff,7.0,0.0,0.0
8466a9bffffffff,14.0,0.0,0.0
8466ad9ffffffff,3.0,0.0,0.0
8466b49ffffffff,1721.0,0.0,0.0
8466b4bffffffff,86.0,0.0,0.0
8466b4dffffffff,680.0,0.0,0.0
8466b59ffffffff,158.0,13.0,0.0
8466b5bffffffff,277.0,9.0,0.0
8466d01ffffffff,19.0,0.0,3.0
8466d03ffffffff,56.0,0.0,0.0
8466d05ffffffff,26.0,0.0,3.0
8466d07ffffffff,125.0,0.0,12.0
8466d0bffffffff,1399.0,0.0,26.0
8466d0dffffffff,135.0,0.0,10.0
8466d23ffffffff,181.0,0.0,29.0
8466d25ffffffff,9.0,0.0,0.0
8466d27ffffffff,23.0,0.0,2.0
8466d31ffffffff,3135.0,0.0,399.0
8466d35ffffffff,1679.0,0.0,295.0
8466d37ffffffff,124.0,0.0,22.0
8466d39ffffffff,8.0,0.0,1.0
8466d3dffffffff,62.0,0.0,10.0
8466d47ffffffff,3.0,0.0,0.0
8466d51ffffffff,7.0,0.0,0.0
8466d53ffffffff,2.0,0.0,0.0
8466d55ffffffff,46.0,0.0,0.0
8466e05ffffffff,1.0,0.0,0.0
8466e0dffffffff,4.0,0.0,0.0
8466e21ffffffff,1.0,0.0,0.0
8466e2bffffffff,3.0,0.0,0.0
8466e45ffffffff,16.0,0.0,0.0
8466e47ffffffff,2.0,0.0,0.0
8466e63ffffffff,22.0,0.0,0.0
8466e65ffffffff,1.0,0.0,0.0
8466e67ffffffff,7.0,0.0,0.0
8466e69ffffffff,273.0,0.0,0.0
8466e6bffffffff,6.0,0.0,0.0
8466f01ffffffff,78.0,0.0,0.0
8466f03ffffffff,1251.0,0.0,35.0
8466f0bffffffff,937.0,0.0,44.0
8466f1dffffffff,1301.0,0.0,47.0
8466f33ffffffff,1.0,0.0,0.0
8466f35ffffffff,90.0,0.0,0.0
8466f37ffffffff,3.0,0.0,0.0
8466f47ffffffff,1.0,0.0,0.0
8466f57ffffffff,293.0,0.0,0.0
8466f59ffffffff,9.0,0.0,0.0
8466f5dffffffff,2.0,0.0,0.0
84678b3ffffffff,1.0,0.0,0.0
8467903ffffffff,3.0,0.0,0.0
8467909ffffffff,7.0,0.0,0.0
846790bffffffff,13.0,0.0,0.0
846790dffffffff,7.0,0.0,0.0
8467915ffffffff,4.0,0.0,0.0
8467923ffffffff,2.0,0.0,0.0
8467931ffffffff,6.0,0.0,0.0
8467933ffffffff,8.0,0.0,0.0
8467937ffffffff,17.0,0.0,0.0
846793bffffffff,15.0,0.0,0.0
8467949ffffffff,3.0,0.0,0.0
8467961ffffffff,39.0,0.0,0.0
8467963ffffffff,22.0,0.0,0.0
8467967ffffffff,2.0,0.0,0.0
8467969ffffffff,23.0,0.0,0.0
84679a1ffffffff,321.0,0.0,0.0
84679a3ffffffff,63.0,0.0,0.0
84679a5ffffffff,3595.0,0.0,0.0
84679a7ffffffff,429.0,0.0,0.0
84679adffffffff,92.0,0.0,0.0
84679b3ffffffff,313.0,23.0,0.0
84679b5ffffffff,180.0,0.0,0.0
84679b7ffffffff,968.0,0.0,0.0
84679e5ffffffff,5.0,0.0,0.0
846d681ffffffff,214.0,0.0,0.0
846d683ffffffff,3.0,0.0,0.0
846d689ffffffff,189.0,0.0,0.0
846d68bffffffff,2556.0,0.0,0.0
846d68dffffffff,27.0,0.0,0.0
846d691ffffffff,249.0,0.0,0.0
846d699ffffffff,716.0,0.0,0.0
846d69bffffffff,1834.0,0.0,0.0
