cell_id,Tyrannus savana,Tyrannus savana savana,Tyrannus savana monachus,Tyrannus savana sanctaemartae,Tyrannus savana circumdatus
820e4ffffffffff,11.0,0.0,0.0,0.0,0.0
821aa7fffffffff,6.0,0.0,0.0,0.0,0.0
82260ffffffffff,3.0,2.0,0.0,0.0,0.0
82265ffffffffff,1.0,0.0,0.0,0.0,0.0
822667fffffffff,86.0,0.0,0.0,0.0,0.0
82266ffffffffff,11.0,0.0,0.0,0.0,0.0
822687fffffffff,72.0,7.0,0.0,0.0,0.0
8226cffffffffff,19.0,0.0,0.0,0.0,0.0
822747fffffffff,38.0,0.0,0.0,0.0,0.0
82274ffffffffff,106.0,0.0,0.0,0.0,0.0
822757fffffffff,13.0,0.0,0.0,0.0,0.0
82275ffffffffff,27.0,0.0,0.0,0.0,0.0
82276ffffffffff,59.0,0.0,0.0,0.0,0.0
822777fffffffff,1.0,0.0,0.0,0.0,0.0
822837fffffffff,4.0,0.0,0.0,0.0,0.0
8228b7fffffffff,2.0,0.0,0.0,0.0,0.0
822a17fffffffff,175.0,2.0,0.0,0.0,0.0
822a37fffffffff,76.0,4.0,0.0,0.0,0.0
822aaffffffffff,100.0,4.0,0.0,0.0,0.0
822ab7fffffffff,6.0,0.0,0.0,0.0,0.0
822af7fffffffff,59.0,0.0,0.0,0.0,0.0
822b07fffffffff,16.0,0.0,0.0,0.0,0.0
822b27fffffffff,4.0,0.0,0.0,0.0,0.0
822b37fffffffff,3.0,0.0,0.0,0.0,0.0
822b87fffffffff,4.0,0.0,0.0,0.0,0.0
822b8ffffffffff,1.0,0.0,0.0,0.0,0.0
822b9ffffffffff,38.0,0.0,0.0,0.0,0.0
822ba7fffffffff,29.0,0.0,0.0,0.0,0.0
822baffffffffff,5.0,0.0,0.0,0.0,0.0
822bb7fffffffff,2.0,0.0,0.0,0.0,0.0
824417fffffffff,15.0,0.0,0.0,0.0,0.0
82441ffffffffff,64.0,5.0,0.0,0.0,0.0
824447fffffffff,104.0,0.0,1.0,0.0,0.0
824457fffffffff,21.0,0.0,0.0,0.0,0.0
82445ffffffffff,48.0,0.0,0.0,0.0,0.0
82446ffffffffff,173.0,2.0,2.0,0.0,0.0
824477fffffffff,41.0,0.0,0.0,0.0,0.0
824487fffffffff,8.0,0.0,0.0,0.0,0.0
8244a7fffffffff,16.0,0.0,0.0,0.0,0.0
8244affffffffff,176.0,2.0,0.0,0.0,0.0
8244dffffffffff,31.0,3.0,0.0,0.0,0.0
8244e7fffffffff,11.0,1.0,0.0,0.0,0.0
824507fffffffff,36.0,0.0,0.0,0.0,0.0
82450ffffffffff,7.0,0.0,0.0,0.0,0.0
824527fffffffff,37.0,1.0,0.0,0.0,0.0
82452ffffffffff,89.0,4.0,3.0,0.0,0.0
824897fffffffff,81.0,0.0,0.0,0.0,0.0
82489ffffffffff,80.0,0.0,0.0,0.0,0.0
8248b7fffffffff,450.0,0.0,23.0,0.0,0.0
8248f7fffffffff,5.0,0.0,0.0,0.0,0.0
824997fffffffff,8.0,0.0,0.0,0.0,0.0
824cc7fffffffff,7.0,0.0,0.0,0.0,0.0
824ceffffffffff,10.0,0.0,0.0,0.0,0.0
825e5ffffffffff,2.0,0.0,0.0,0.0,0.0
825e67fffffffff,51.0,0.0,0.0,0.0,0.0
825e77fffffffff,6.0,0.0,0.0,0.0,0.0
825f0ffffffffff,2.0,0.0,0.0,0.0,0.0
825f1ffffffffff,2.0,0.0,0.0,0.0,0.0
825f2ffffffffff,12.0,0.0,0.0,0.0,0.0
825f5ffffffffff,16.0,0.0,0.0,0.0,0.0
826617fffffffff,168.0,0.0,0.0,0.0,0.0
82661ffffffffff,4.0,0.0,0.0,0.0,0.0
826627fffffffff,2.0,0.0,0.0,2.0,0.0
82662ffffffffff,3.0,0.0,0.0,0.0,0.0
826657fffffffff,10.0,0.0,0.0,0.0,0.0
826667fffffffff,4.0,2.0,2.0,0.0,0.0
8266a7fffffffff,40.0,0.0,0.0,0.0,0.0
8266b7fffffffff,10.0,2.0,0.0,0.0,0.0
8266c7fffffffff,1.0,0.0,0.0,0.0,0.0
8266cffffffffff,1.0,0.0,0.0,0.0,0.0
8266d7fffffffff,22.0,0.0,0.0,0.0,0.0
8266dffffffffff,3.0,0.0,0.0,0.0,0.0
8266e7fffffffff,11.0,0.0,0.0,0.0,0.0
8266f7fffffffff,8.0,0.0,0.0,0.0,0.0
826747fffffffff,224.0,3.0,9.0,0.0,0.0
82674ffffffffff,9.0,0.0,0.0,0.0,0.0
826757fffffffff,1.0,0.0,0.0,0.0,0.0
82675ffffffffff,3.0,0.0,3.0,0.0,0.0
826777fffffffff,26.0,0.0,0.0,0.0,0.0
826787fffffffff,2.0,0.0,0.0,0.0,0.0
82679ffffffffff,1.0,0.0,0.0,0.0,0.0
826d27fffffffff,28.0,0.0,20.0,0.0,0.0
826d2ffffffffff,34.0,0.0,0.0,0.0,0.0
826d37fffffffff,59.0,0.0,4.0,0.0,0.0
826d67fffffffff,5.0,0.0,0.0,0.0,0.0
826d6ffffffffff,30.0,0.0,0.0,0.0,0.0
828a07fffffffff,6.0,0.0,0.0,0.0,0.0
828a27fffffffff,2.0,0.0,0.0,0.0,0.0
828a47fffffffff,2.0,2.0,0.0,0.0,0.0
828a6ffffffffff,7.0,0.0,0.0,0.0,0.0
828adffffffffff,2.0,2.0,0.0,0.0,0.0
828af7fffffffff,9.0,0.0,0.0,0.0,2.0
828b57fffffffff,4.0,0.0,0.0,0.0,0.0
828b67fffffffff,3.0,0.0,0.0,0.0,0.0
828ba7fffffffff,2.0,0.0,0.0,0.0,0.0
828e47fffffffff,2.0,0.0,0.0,0.0,0.0
828e67fffffffff,22.0,0.0,0.0,0.0,0.0
828f0ffffffffff,3.0,0.0,0.0,0.0,0.0
828f2ffffffffff,8.0,0.0,0.0,0.0,0.0
828f57fffffffff,8.0,0.0,0.0,0.0,0.0
828f67fffffffff,2.0,0.0,0.0,0.0,0.0
828f6ffffffffff,4.0,0.0,0.0,0.0,0.0
828f77fffffffff,8.0,0.0,0.0,0.0,0.0
82a807fffffffff,1.0,1.0,0.0,0.0,0.0
82a817fffffffff,2.0,2.0,0.0,0.0,0.0
82a81ffffffffff,22.0,2.0,0.0,0.0,0.0
82a837fffffffff,2.0,0.0,0.0,0.0,0.0
82a85ffffffffff,5.0,0.0,0.0,0.0,0.0
82a88ffffffffff,3.0,0.0,0.0,0.0,0.0
82a8affffffffff,9.0,9.0,0.0,0.0,0.0
82a91ffffffffff,2.0,0.0,0.0,0.0,0.0
82a92ffffffffff,9.0,4.0,0.0,0.0,0.0
