cell_id,Aethopyga siparaja,Aethopyga siparaja [seheriae Group],Aethopyga siparaja [siparaja Group],Aethopyga siparaja flavostriata/beccarii
823c0ffffffffff,6.0,1.0,0.0,0.0
823c17fffffffff,8.0,8.0,0.0,0.0
823c1ffffffffff,14.0,0.0,2.0,0.0
823c37fffffffff,8.0,8.0,0.0,0.0
823c5ffffffffff,17.0,0.0,0.0,0.0
823c87fffffffff,4.0,0.0,0.0,0.0
823c97fffffffff,143.0,0.0,0.0,0.0
823caffffffffff,20.0,0.0,0.0,0.0
823cb7fffffffff,14.0,0.0,0.0,0.0
823cc7fffffffff,2.0,0.0,0.0,0.0
823ce7fffffffff,9.0,1.0,2.0,0.0
823ceffffffffff,8.0,0.0,0.0,0.0
823d17fffffffff,19.0,0.0,0.0,0.0
823d37fffffffff,7.0,0.0,0.0,0.0
823daffffffffff,7.0,7.0,0.0,0.0
82411ffffffffff,1.0,0.0,0.0,0.0
82416ffffffffff,4.0,0.0,0.0,0.0
826097fffffffff,2.0,0.0,0.0,0.0
82642ffffffffff,120.0,0.0,0.0,0.0
8264a7fffffffff,3.0,0.0,0.0,0.0
826507fffffffff,12.0,0.0,0.0,0.0
82651ffffffffff,76.0,0.0,0.0,0.0
826527fffffffff,108.0,0.0,0.0,0.0
82658ffffffffff,2.0,0.0,0.0,0.0
82681ffffffffff,6.0,0.0,4.0,0.0
8268cffffffffff,1.0,0.0,0.0,1.0
