cell_id,Onychorhynchus coronatus,Onychorhynchus coronatus mexicanus/fraterculus,Onychorhynchus coronatus occidentalis,Onychorhynchus coronatus coronatus/castelnaui
84664e1ffffffff,2.0,0.0,0.0,2.0
84664e9ffffffff,2.0,0.0,0.0,2.0
84665a3ffffffff,2.0,0.0,0.0,0.0
84665abffffffff,10.0,0.0,0.0,2.0
84665bdffffffff,13.0,0.0,0.0,7.0
84666b9ffffffff,2.0,0.0,0.0,0.0
8466a01ffffffff,1.0,0.0,0.0,0.0
8466a0bffffffff,2.0,2.0,0.0,0.0
8466a31ffffffff,2.0,0.0,0.0,0.0
8466a33ffffffff,42.0,0.0,0.0,0.0
8466a51ffffffff,217.0,27.0,0.0,0.0
8466a55ffffffff,5.0,0.0,0.0,0.0
8466a57ffffffff,2.0,0.0,0.0,0.0
8466a59ffffffff,2.0,0.0,0.0,0.0
8466a5bffffffff,12.0,0.0,0.0,0.0
8466a5dffffffff,4.0,0.0,0.0,0.0
8466b01ffffffff,9.0,0.0,0.0,0.0
8466b09ffffffff,12.0,0.0,0.0,0.0
8466b0bffffffff,38.0,0.0,0.0,0.0
8466b43ffffffff,9.0,0.0,0.0,0.0
8466b45ffffffff,17.0,0.0,0.0,0.0
8466b47ffffffff,2.0,0.0,0.0,0.0
8466b49ffffffff,8.0,0.0,0.0,0.0
8466b4bffffffff,15.0,0.0,0.0,0.0
8466b53ffffffff,13.0,0.0,0.0,0.0
8466b55ffffffff,199.0,0.0,0.0,0.0
8466b57ffffffff,3.0,0.0,0.0,0.0
8466b59ffffffff,13.0,2.0,0.0,0.0
8466b5bffffffff,3.0,0.0,0.0,0.0
8466d81ffffffff,13.0,0.0,0.0,8.0
8466dc3ffffffff,18.0,0.0,0.0,3.0
8466dc7ffffffff,2.0,0.0,0.0,0.0
8466dcbffffffff,1.0,0.0,0.0,0.0
8466dd3ffffffff,2.0,0.0,0.0,0.0
8466e49ffffffff,2.0,0.0,0.0,0.0
8466e8dffffffff,2.0,0.0,0.0,0.0
8466e9dffffffff,5.0,0.0,0.0,0.0
8466eadffffffff,5.0,0.0,0.0,5.0
8466ecbffffffff,3.0,0.0,0.0,0.0
8466eedffffffff,2.0,0.0,0.0,0.0
8467945ffffffff,2.0,0.0,0.0,0.0
8467961ffffffff,20.0,0.0,0.0,0.0
8467963ffffffff,11.0,0.0,0.0,0.0
84679a1ffffffff,13.0,0.0,0.0,0.0
84679a3ffffffff,5.0,0.0,0.0,0.0
84679a5ffffffff,159.0,0.0,0.0,0.0
84679a7ffffffff,43.0,0.0,0.0,0.0
84679b3ffffffff,14.0,2.0,0.0,0.0
84679b5ffffffff,10.0,0.0,0.0,0.0
84679b7ffffffff,12.0,0.0,0.0,0.0
846d04bffffffff,6.0,4.0,0.0,0.0
846d059ffffffff,5.0,0.0,0.0,0.0
846d05bffffffff,11.0,10.0,0.0,0.0
846d203ffffffff,26.0,0.0,0.0,0.0
846d219ffffffff,1.0,0.0,0.0,0.0
846d21bffffffff,11.0,2.0,0.0,0.0
846d21dffffffff,79.0,13.0,0.0,0.0
846d223ffffffff,21.0,2.0,0.0,0.0
846d22bffffffff,3.0,0.0,0.0,0.0
846d23dffffffff,27.0,5.0,0.0,0.0
846d257ffffffff,7.0,3.0,0.0,0.0
846d2c1ffffffff,28.0,22.0,0.0,0.0
846d2c3ffffffff,18.0,0.0,0.0,0.0
846d2c5ffffffff,4.0,0.0,0.0,0.0
846d2c9ffffffff,253.0,71.0,0.0,0.0
846d2cbffffffff,18.0,6.0,0.0,0.0
846d2d1ffffffff,10.0,0.0,0.0,0.0
846d2d3ffffffff,2.0,0.0,0.0,0.0
846d2d5ffffffff,2.0,0.0,0.0,0.0
846d2dbffffffff,6.0,0.0,0.0,0.0
846d2ddffffffff,14.0,0.0,0.0,0.0
846d2e5ffffffff,9.0,7.0,0.0,0.0
846d30dffffffff,25.0,1.0,0.0,0.0
846d319ffffffff,8.0,0.0,0.0,0.0
846d31bffffffff,4.0,0.0,0.0,0.0
846d35dffffffff,4.0,2.0,0.0,0.0
846d653ffffffff,11.0,0.0,0.0,0.0
846d681ffffffff,130.0,0.0,0.0,0.0
846d683ffffffff,3.0,0.0,0.0,0.0
846d685ffffffff,31.0,0.0,0.0,0.0
846d689ffffffff,12.0,0.0,0.0,0.0
846d68bffffffff,380.0,0.0,0.0,0.0
846d68dffffffff,53.0,0.0,0.0,0.0
846d691ffffffff,20.0,0.0,0.0,0.0
846d693ffffffff,18.0,0.0,0.0,0.0
846d695ffffffff,4.0,0.0,0.0,0.0
846d697ffffffff,1210.0,0.0,0.0,0.0
846d699ffffffff,39.0,0.0,0.0,0.0
846d69bffffffff,28.0,0.0,0.0,0.0
846d69dffffffff,37.0,0.0,0.0,0.0
846d6abffffffff,2.0,0.0,0.0,0.0
846d6b1ffffffff,1.0,0.0,0.0,0.0
846d6b9ffffffff,14.0,0.0,0.0,0.0
846d6bbffffffff,295.0,0.0,0.0,0.0
846d6bdffffffff,12.0,0.0,0.0,0.0
846d6c3ffffffff,4.0,0.0,0.0,0.0
846d6d1ffffffff,7.0,0.0,0.0,0.0
846d6d3ffffffff,29.0,0.0,0.0,0.0
846d6d5ffffffff,35.0,0.0,0.0,0.0
846d6d7ffffffff,5.0,0.0,0.0,0.0
8480469ffffffff,26.0,0.0,0.0,14.0
8480493ffffffff,1.0,0.0,0.0,0.0
8480619ffffffff,2.0,0.0,0.0,0.0
8480625ffffffff,2.0,0.0,0.0,0.0
8480643ffffffff,8.0,0.0,0.0,8.0
8480655ffffffff,6.0,0.0,0.0,2.0
84806b7ffffffff,1.0,0.0,0.0,1.0
8480745ffffffff,4.0,0.0,0.0,0.0
8481431ffffffff,2.0,0.0,0.0,1.0
84814adffffffff,31.0,0.0,0.0,8.0
84814d1ffffffff,1.0,0.0,0.0,1.0
84814d5ffffffff,23.0,0.0,0.0,20.0
84814e3ffffffff,3.0,0.0,0.0,0.0
84814e5ffffffff,9.0,0.0,0.0,0.0
84814e7ffffffff,22.0,0.0,0.0,4.0
8481583ffffffff,7.0,0.0,0.0,0.0
84815a1ffffffff,1.0,0.0,0.0,1.0
84815abffffffff,1.0,0.0,0.0,0.0
84815d3ffffffff,2.0,0.0,0.0,0.0
84815d9ffffffff,34.0,0.0,0.0,11.0
84815dbffffffff,3.0,0.0,0.0,0.0
8481637ffffffff,3.0,0.0,0.0,0.0
848a003ffffffff,1.0,0.0,0.0,1.0
848a055ffffffff,1.0,0.0,0.0,1.0
848a069ffffffff,1.0,0.0,0.0,1.0
848a109ffffffff,6.0,0.0,0.0,0.0
848a155ffffffff,6.0,0.0,0.0,0.0
848a157ffffffff,3.0,0.0,0.0,1.0
848a1a7ffffffff,3.0,0.0,0.0,3.0
848a217ffffffff,2.0,0.0,0.0,0.0
848a21bffffffff,2.0,0.0,0.0,0.0
848a2cdffffffff,2.0,0.0,0.0,2.0
848a313ffffffff,1.0,0.0,0.0,1.0
848a317ffffffff,5.0,0.0,0.0,0.0
848a337ffffffff,2.0,0.0,0.0,2.0
848a451ffffffff,12.0,0.0,0.0,1.0
848a459ffffffff,8.0,0.0,0.0,4.0
848a45bffffffff,7.0,0.0,0.0,3.0
848a45dffffffff,6.0,0.0,0.0,0.0
848a565ffffffff,2.0,0.0,0.0,2.0
