cell_id,Lampornis amethystinus,Lampornis amethystinus [amethystinus Group],Lampornis amethystinus margaritae
832ba5fffffffff,7.0,0.0,0.0
834524fffffffff,3.0,0.0,0.0
834836fffffffff,3.0,0.0,0.0
8348a2fffffffff,8.0,0.0,0.0
834986fffffffff,1.0,0.0,0.0
834991fffffffff,1.0,1.0,0.0
834994fffffffff,2.0,0.0,0.0
834995fffffffff,14.0,0.0,0.0
834996fffffffff,12.0,0.0,0.0
834998fffffffff,1.0,1.0,0.0
83499cfffffffff,4.0,0.0,0.0
8349a8fffffffff,5.0,3.0,0.0
8349aafffffffff,2.0,2.0,0.0
8349b1fffffffff,2.0,0.0,1.0
8349b2fffffffff,16.0,0.0,0.0
836d05fffffffff,1.0,0.0,0.0
836d21fffffffff,2.0,0.0,0.0
836d23fffffffff,15.0,1.0,0.0
836d28fffffffff,33.0,9.0,0.0
836d29fffffffff,14.0,10.0,0.0
836d2afffffffff,1.0,0.0,0.0
836d30fffffffff,12.0,5.0,0.0
836d32fffffffff,2.0,1.0,0.0
836d33fffffffff,71.0,0.0,69.0
836d34fffffffff,10.0,0.0,0.0
836d36fffffffff,3.0,0.0,0.0
