cell_id,Aegolius funereus,Aegolius funereus [funereus Group],Aegolius funereus richardsoni
820817fffffffff,2.0,0.0,0.0
82081ffffffffff,1.0,0.0,0.0
820887fffffffff,16.0,6.0,0.0
82088ffffffffff,2.0,0.0,0.0
82089ffffffffff,7.0,0.0,0.0
8208a7fffffffff,9.0,3.0,0.0
8208affffffffff,1.0,0.0,0.0
8208c7fffffffff,4.0,2.0,0.0
8208cffffffffff,6.0,0.0,0.0
8208d7fffffffff,32.0,8.0,0.0
8208dffffffffff,13.0,0.0,0.0
8208e7fffffffff,1.0,0.0,0.0
8208effffffffff,2.0,0.0,0.0
8208f7fffffffff,8.0,0.0,0.0
820997fffffffff,10.0,0.0,0.0
82099ffffffffff,4.0,0.0,0.0
820a37fffffffff,7.0,0.0,0.0
820c27fffffffff,4.0,0.0,0.0
820c2ffffffffff,2.0,0.0,0.0
820c47fffffffff,10.0,0.0,0.0
820c57fffffffff,25.0,0.0,0.0
820c5ffffffffff,32.0,0.0,0.0
820c67fffffffff,15.0,0.0,0.0
820c77fffffffff,127.0,0.0,0.0
820d4ffffffffff,1.0,0.0,0.0
820d57fffffffff,1.0,0.0,0.0
820d5ffffffffff,138.0,0.0,0.0
820e4ffffffffff,35.0,0.0,0.0
820e5ffffffffff,6.0,0.0,0.0
820e67fffffffff,2.0,0.0,0.0
820e87fffffffff,8.0,0.0,0.0
820ecffffffffff,9.0,0.0,0.0
820ed7fffffffff,1.0,0.0,0.0
820edffffffffff,2.0,0.0,0.0
8210effffffffff,5.0,0.0,0.0
821127fffffffff,1.0,0.0,0.0
82112ffffffffff,2.0,2.0,0.0
821217fffffffff,3.0,0.0,0.0
82121ffffffffff,7.0,0.0,0.0
82122ffffffffff,2.0,0.0,0.0
821247fffffffff,4.0,0.0,0.0
82124ffffffffff,2.0,0.0,0.0
82125ffffffffff,12.0,0.0,0.0
82126ffffffffff,1.0,0.0,0.0
821277fffffffff,2.0,0.0,0.0
821287fffffffff,2.0,0.0,0.0
8212a7fffffffff,2.0,0.0,0.0
8212affffffffff,10.0,0.0,0.0
8212c7fffffffff,49.0,0.0,0.0
8212cffffffffff,11.0,0.0,0.0
8212d7fffffffff,28.0,0.0,0.0
8212dffffffffff,30.0,0.0,0.0
8212e7fffffffff,2.0,0.0,0.0
8212effffffffff,4.0,0.0,0.0
8212f7fffffffff,13.0,0.0,0.0
821357fffffffff,1.0,0.0,0.0
821387fffffffff,165.0,0.0,0.0
82138ffffffffff,13.0,0.0,0.0
821397fffffffff,3.0,0.0,0.0
82139ffffffffff,2.0,0.0,0.0
8213a7fffffffff,2.0,0.0,0.0
8213b7fffffffff,37.0,0.0,0.0
82159ffffffffff,2.0,0.0,0.0
821617fffffffff,3.0,0.0,0.0
821e07fffffffff,32.0,0.0,0.0
821e0ffffffffff,5.0,0.0,0.0
821e17fffffffff,23.0,0.0,0.0
821e27fffffffff,66.0,0.0,0.0
821e37fffffffff,67.0,0.0,0.0
821eaffffffffff,3.0,0.0,0.0
821ec7fffffffff,44.0,0.0,0.0
821ef7fffffffff,4.0,0.0,0.0
821f07fffffffff,3.0,0.0,0.0
821f17fffffffff,4.0,0.0,0.0
821f1ffffffffff,2.0,0.0,0.0
821f2ffffffffff,3.0,0.0,0.0
821f47fffffffff,3.0,0.0,0.0
821f5ffffffffff,3.0,0.0,0.0
821f67fffffffff,2.0,0.0,0.0
821f6ffffffffff,9.0,0.0,0.0
821f77fffffffff,6.0,0.0,0.0
821f87fffffffff,5.0,0.0,0.0
821f8ffffffffff,6.0,0.0,0.0
821f97fffffffff,34.0,2.0,0.0
821f9ffffffffff,10.0,0.0,0.0
821fa7fffffffff,9.0,5.0,0.0
821faffffffffff,14.0,0.0,0.0
82201ffffffffff,2.0,0.0,0.0
8220e7fffffffff,12.0,0.0,0.0
822687fffffffff,90.0,0.0,0.0
822707fffffffff,74.0,0.0,0.0
82270ffffffffff,293.0,0.0,0.0
822717fffffffff,8.0,0.0,0.0
82272ffffffffff,3.0,0.0,0.0
822757fffffffff,259.0,0.0,0.0
822767fffffffff,19.0,0.0,0.0
82276ffffffffff,6.0,0.0,0.0
822777fffffffff,12.0,0.0,0.0
822887fffffffff,3.0,0.0,0.0
82288ffffffffff,2.0,0.0,0.0
822897fffffffff,36.0,0.0,0.0
82289ffffffffff,21.0,0.0,0.0
8228d7fffffffff,9.0,0.0,0.0
822b17fffffffff,41.0,0.0,0.0
822b27fffffffff,15.0,0.0,0.0
822b37fffffffff,12.0,0.0,0.0
822b87fffffffff,37.0,0.0,0.0
822b97fffffffff,25.0,0.0,0.0
822ba7fffffffff,9.0,0.0,0.0
822baffffffffff,198.0,0.0,0.0
822bb7fffffffff,48.0,0.0,0.0
823967fffffffff,103.0,0.0,0.0
823977fffffffff,31.0,0.0,0.0
