cell_id,Trachylaemus goffinii,Trachylaemus goffinii goffinii,Trachylaemus goffinii togoensis
835883fffffffff,1.0,0.0,0.0
837501fffffffff,1.0,0.0,0.0
837508fffffffff,69.0,9.0,0.0
83750cfffffffff,9.0,0.0,0.0
83750dfffffffff,310.0,51.0,0.0
837518fffffffff,3.0,0.0,0.0
837519fffffffff,5.0,0.0,0.0
837529fffffffff,42.0,6.0,0.0
83752afffffffff,13.0,0.0,0.0
83752bfffffffff,26.0,4.0,0.0
83752dfffffffff,6.0,0.0,0.0
837576fffffffff,1.0,0.0,0.0
837586fffffffff,1.0,0.0,0.0
83758cfffffffff,1.0,0.0,0.0
8375a0fffffffff,1.0,0.0,0.0
8375b0fffffffff,2.0,2.0,0.0
8375b3fffffffff,1.0,0.0,0.0
