cell_id,Rhodopechys sanguineus,Rhodopechys sanguineus alienus,Rhodopechys sanguineus sanguineus
822087fffffffff,5.0,0.0,0.0
8220e7fffffffff,25.0,0.0,12.0
8220f7fffffffff,2.0,0.0,0.0
822c07fffffffff,101.0,0.0,27.0
822c0ffffffffff,8.0,0.0,0.0
822c17fffffffff,20.0,0.0,1.0
822c1ffffffffff,9.0,0.0,1.0
822c27fffffffff,26.0,0.0,3.0
822c2ffffffffff,4.0,0.0,0.0
822c37fffffffff,16.0,0.0,1.0
822caffffffffff,3.0,0.0,3.0
822cc7fffffffff,14.0,0.0,0.0
822ccffffffffff,6.0,0.0,1.0
822cd7fffffffff,18.0,0.0,3.0
822cf7fffffffff,110.0,0.0,37.0
822d17fffffffff,146.0,0.0,27.0
822d1ffffffffff,3.0,0.0,0.0
822da7fffffffff,11.0,0.0,0.0
822daffffffffff,28.0,0.0,2.0
822db7fffffffff,175.0,0.0,34.0
823987fffffffff,300.0,165.0,0.0
82398ffffffffff,21.0,8.0,0.0
823f6ffffffffff,19.0,0.0,4.0
82430ffffffffff,2.0,0.0,0.0
824327fffffffff,8.0,0.0,3.0
824377fffffffff,1.0,0.0,0.0
