cell_id,Passerella iliaca,Passerella iliaca [unalaschcensis Group],Passerella iliaca [megarhyncha Group],Passerella iliaca [schistacea Group],Passerella iliaca iliaca/zaboria,Passerella iliaca [unalaschcensis Group] x zaboria
840c015ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c021ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c033ffffffff,35.0,0.0,0.0,0.0,14.0,0.0
840c037ffffffff,12.0,0.0,0.0,0.0,2.0,0.0
840c03bffffffff,59.0,0.0,0.0,0.0,13.0,0.0
840c04bffffffff,51.0,0.0,0.0,0.0,2.0,0.0
840c051ffffffff,2.0,0.0,0.0,0.0,2.0,0.0
840c061ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c063ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c0b1ffffffff,55.0,0.0,0.0,0.0,2.0,0.0
840c0b3ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
840c141ffffffff,785.0,0.0,0.0,0.0,341.0,0.0
840c143ffffffff,1145.0,0.0,0.0,0.0,498.0,0.0
840c145ffffffff,162.0,0.0,0.0,0.0,105.0,0.0
840c147ffffffff,1918.0,0.0,0.0,0.0,881.0,0.0
840c149ffffffff,170.0,0.0,0.0,0.0,64.0,0.0
840c14bffffffff,360.0,0.0,0.0,0.0,164.0,0.0
840c14dffffffff,68.0,0.0,0.0,0.0,28.0,0.0
840c15dffffffff,349.0,0.0,0.0,0.0,150.0,0.0
840c185ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840c1b1ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
840c1b5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c1d7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c1e1ffffffff,266.0,0.0,0.0,0.0,0.0,0.0
840c213ffffffff,28.0,0.0,0.0,0.0,0.0,0.0
840c217ffffffff,26.0,0.0,0.0,0.0,0.0,0.0
840c22dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c231ffffffff,41.0,0.0,0.0,0.0,6.0,0.0
840c251ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c265ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c297ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c2a9ffffffff,54.0,0.0,0.0,0.0,10.0,0.0
840c2cdffffffff,38.0,0.0,0.0,0.0,0.0,0.0
840c305ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840c309ffffffff,27.0,0.0,0.0,0.0,18.0,0.0
840c323ffffffff,7.0,0.0,0.0,0.0,3.0,0.0
840c335ffffffff,275.0,0.0,0.0,0.0,15.0,0.0
840c341ffffffff,17.0,0.0,0.0,0.0,15.0,0.0
840c343ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c347ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c349ffffffff,12.0,0.0,0.0,0.0,8.0,0.0
840c34bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840c359ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c415ffffffff,569.0,454.0,0.0,0.0,0.0,0.0
840c421ffffffff,15.0,6.0,0.0,0.0,0.0,0.0
840c425ffffffff,68.0,31.0,0.0,0.0,0.0,0.0
840c427ffffffff,72.0,14.0,0.0,0.0,0.0,0.0
840c429ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
840c42dffffffff,1006.0,449.0,0.0,0.0,7.0,0.0
840c441ffffffff,76.0,28.0,0.0,0.0,0.0,0.0
840c443ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c44bffffffff,19.0,0.0,0.0,0.0,2.0,0.0
840c451ffffffff,30.0,9.0,0.0,0.0,0.0,0.0
840c455ffffffff,70.0,23.0,0.0,0.0,4.0,0.0
840c461ffffffff,115.0,33.0,0.0,0.0,0.0,0.0
840c465ffffffff,323.0,132.0,0.0,0.0,0.0,0.0
840c467ffffffff,27.0,8.0,0.0,0.0,0.0,0.0
840c46dffffffff,48.0,16.0,0.0,0.0,0.0,0.0
840c503ffffffff,265.0,92.0,0.0,0.0,0.0,0.0
840c507ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
840c50bffffffff,53.0,15.0,0.0,0.0,0.0,0.0
840c511ffffffff,27.0,5.0,0.0,0.0,0.0,0.0
840c515ffffffff,23.0,2.0,0.0,0.0,0.0,0.0
840c51dffffffff,905.0,320.0,0.0,0.0,0.0,0.0
840c523ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840c52dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c54bffffffff,121.0,0.0,0.0,0.0,18.0,0.0
840c551ffffffff,18.0,4.0,0.0,0.0,0.0,0.0
840c555ffffffff,30.0,1.0,0.0,0.0,0.0,0.0
840c55bffffffff,65.0,6.0,0.0,0.0,0.0,0.0
840c55dffffffff,15.0,0.0,0.0,0.0,0.0,0.0
840c567ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c5a1ffffffff,44.0,8.0,0.0,0.0,0.0,0.0
840c5a5ffffffff,605.0,247.0,0.0,0.0,0.0,0.0
840c5a7ffffffff,84.0,43.0,0.0,0.0,0.0,0.0
840c5adffffffff,434.0,160.0,0.0,0.0,0.0,0.0
840c609ffffffff,14.0,0.0,0.0,0.0,6.0,0.0
840c60dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840c617ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
