cell_id,Setophaga coronata,Setophaga coronata coronata,Setophaga coronata auduboni,Setophaga coronata nigrifrons,Setophaga coronata goldmani,Setophaga coronata coronata x auduboni
83075dfffffffff,6.0,4.0,0.0,0.0,0.0,0.0
8309a6fffffffff,8.0,4.0,0.0,0.0,0.0,0.0
830c14fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
830c33fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c41fffffffff,87.0,68.0,0.0,0.0,0.0,0.0
830c42fffffffff,4.0,2.0,0.0,0.0,0.0,0.0
830c44fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
830c46fffffffff,5.0,5.0,0.0,0.0,0.0,0.0
830c50fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
830c51fffffffff,3.0,1.0,0.0,0.0,0.0,0.0
830c54fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
830c55fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
830c5afffffffff,10.0,6.0,0.0,0.0,0.0,0.0
830c70fffffffff,7.0,7.0,0.0,0.0,0.0,0.0
830c71fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830c73fffffffff,21.0,8.0,0.0,0.0,0.0,0.0
830c74fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
830ca4fffffffff,29.0,19.0,0.0,0.0,0.0,0.0
830cecfffffffff,8.0,6.0,0.0,0.0,0.0,0.0
830d03fffffffff,23.0,20.0,2.0,0.0,0.0,0.0
830d09fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
830d40fffffffff,10.0,5.0,5.0,0.0,0.0,0.0
830d44fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
830d49fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
830d52fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
830d53fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
830d56fffffffff,3.0,3.0,0.0,0.0,0.0,0.0
830d58fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
830d59fffffffff,5.0,5.0,0.0,0.0,0.0,0.0
830d5afffffffff,5.0,1.0,0.0,0.0,0.0,0.0
830d5bfffffffff,1.0,1.0,0.0,0.0,0.0,0.0
830d5efffffffff,5.0,5.0,0.0,0.0,0.0,0.0
830d62fffffffff,75.0,0.0,0.0,0.0,0.0,0.0
830d71fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
830d72fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
830e45fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830e48fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830e49fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830e4afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830e4bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830e4dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830e5bfffffffff,7.0,0.0,0.0,0.0,0.0,1.0
830e80fffffffff,32.0,32.0,0.0,0.0,0.0,0.0
830e94fffffffff,3.0,3.0,0.0,0.0,0.0,0.0
830e96fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
830e9afffffffff,2.0,2.0,0.0,0.0,0.0,0.0
830ec0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830ec5fffffffff,25.0,3.0,0.0,0.0,0.0,0.0
830eccfffffffff,10.0,10.0,0.0,0.0,0.0,0.0
830ed8fffffffff,4.0,2.0,0.0,0.0,0.0,0.0
830ee8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830eeafffffffff,116.0,27.0,0.0,0.0,0.0,0.0
830eeefffffffff,4.0,0.0,0.0,0.0,0.0,0.0
831214fffffffff,2.0,0.0,2.0,0.0,0.0,0.0
831230fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831243fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831250fffffffff,9.0,9.0,0.0,0.0,0.0,0.0
831251fffffffff,7.0,6.0,0.0,0.0,0.0,0.0
831253fffffffff,6.0,6.0,0.0,0.0,0.0,0.0
831259fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
83125bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83125dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831280fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831286fffffffff,9.0,0.0,2.0,0.0,0.0,0.0
831289fffffffff,15.0,0.0,0.0,0.0,0.0,2.0
83128bfffffffff,361.0,203.0,76.0,0.0,0.0,0.0
83128dfffffffff,8.0,0.0,2.0,0.0,0.0,0.0
831290fffffffff,15.0,12.0,2.0,0.0,0.0,0.0
831294fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8312adfffffffff,2.0,0.0,0.0,0.0,0.0,2.0
8312b0fffffffff,22.0,3.0,5.0,0.0,0.0,1.0
8312b4fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
8312b6fffffffff,9.0,9.0,0.0,0.0,0.0,0.0
8312c0fffffffff,4.0,2.0,1.0,0.0,0.0,1.0
8312c1fffffffff,21.0,6.0,1.0,0.0,0.0,4.0
8312c2fffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8312c3fffffffff,5.0,2.0,1.0,0.0,0.0,0.0
8312c8fffffffff,4.0,2.0,0.0,0.0,0.0,0.0
8312c9fffffffff,3.0,0.0,0.0,0.0,0.0,2.0
8312cafffffffff,9.0,3.0,2.0,0.0,0.0,0.0
8312cbfffffffff,16.0,5.0,9.0,0.0,0.0,0.0
8312ccfffffffff,39.0,3.0,3.0,0.0,0.0,3.0
8312cdfffffffff,4.0,1.0,0.0,0.0,0.0,0.0
8312cefffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8312d0fffffffff,4.0,0.0,2.0,0.0,0.0,2.0
8312d1fffffffff,11.0,1.0,0.0,0.0,0.0,10.0
8312d2fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
8312d4fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8312d5fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
8312d6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312d8fffffffff,2.0,0.0,2.0,0.0,0.0,0.0
8312d9fffffffff,6.0,2.0,4.0,0.0,0.0,0.0
8312dbfffffffff,13.0,8.0,2.0,0.0,0.0,0.0
8312dcfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8312ddfffffffff,39.0,5.0,5.0,0.0,0.0,0.0
8312defffffffff,8.0,3.0,4.0,0.0,0.0,1.0
8312e2fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8312e8fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8312eafffffffff,8.0,2.0,0.0,0.0,0.0,0.0
8312ebfffffffff,8.0,0.0,5.0,0.0,0.0,2.0
8312ecfffffffff,9.0,4.0,3.0,0.0,0.0,2.0
8312eefffffffff,4.0,2.0,0.0,0.0,0.0,0.0
8312f1fffffffff,4.0,0.0,1.0,0.0,0.0,0.0
8312f2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8312f6fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831311fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831329fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
831349fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831352fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
831380fffffffff,6.0,4.0,0.0,0.0,0.0,0.0
831382fffffffff,18.0,11.0,2.0,0.0,0.0,0.0
831383fffffffff,443.0,278.0,2.0,0.0,0.0,1.0
831386fffffffff,49.0,33.0,4.0,0.0,0.0,0.0
831389fffffffff,1.0,0.0,1.0,0.0,0.0,0.0
83138cfffffffff,80.0,25.0,0.0,0.0,0.0,0.0
831390fffffffff,4.0,4.0,0.0,0.0,0.0,0.0
831393fffffffff,3.0,1.0,0.0,0.0,0.0,0.0
