cell_id,Lonchura punctulata,Lonchura punctulata punctulata,Lonchura punctulata [nisoria Group]
82209ffffffffff,16.0,0.0,0.0
822837fffffffff,20.0,5.0,0.0
822917fffffffff,3568.0,0.0,0.0
82291ffffffffff,162.0,62.0,0.0
8229a7fffffffff,30488.0,746.0,0.0
8229affffffffff,1578.0,0.0,0.0
823087fffffffff,5.0,0.0,0.0
823097fffffffff,3.0,0.0,0.0
82309ffffffffff,131.0,0.0,9.0
823907fffffffff,47.0,0.0,0.0
823917fffffffff,302.0,0.0,0.0
823937fffffffff,49.0,0.0,0.0
823c07fffffffff,406.0,100.0,0.0
823c0ffffffffff,92.0,0.0,11.0
823c17fffffffff,181.0,2.0,0.0
823c1ffffffffff,317.0,0.0,0.0
823c37fffffffff,165.0,0.0,0.0
823c57fffffffff,64.0,0.0,0.0
823c5ffffffffff,302.0,0.0,0.0
823c87fffffffff,252.0,0.0,0.0
823c8ffffffffff,636.0,0.0,0.0
823c97fffffffff,465.0,0.0,0.0
823c9ffffffffff,25.0,0.0,0.0
823ca7fffffffff,98.0,0.0,0.0
823caffffffffff,523.0,8.0,0.0
823cb7fffffffff,3483.0,0.0,0.0
823cc7fffffffff,383.0,0.0,0.0
823ccffffffffff,34.0,0.0,0.0
823cd7fffffffff,2.0,0.0,0.0
823cdffffffffff,131.0,0.0,17.0
823ce7fffffffff,607.0,0.0,2.0
823ceffffffffff,552.0,0.0,0.0
823cf7fffffffff,1834.0,24.0,0.0
823d17fffffffff,2844.0,0.0,0.0
823d1ffffffffff,27.0,0.0,0.0
823d37fffffffff,357.0,0.0,0.0
823d87fffffffff,335.0,0.0,0.0
823d8ffffffffff,464.0,0.0,0.0
823d97fffffffff,331.0,0.0,0.0
823d9ffffffffff,519.0,0.0,0.0
823da7fffffffff,1081.0,0.0,0.0
823daffffffffff,1040.0,0.0,0.0
823db7fffffffff,225.0,0.0,0.0
82400ffffffffff,4.0,0.0,0.0
82401ffffffffff,5.0,0.0,0.0
824027fffffffff,18.0,0.0,0.0
82402ffffffffff,119.0,0.0,0.0
824037fffffffff,4.0,0.0,0.0
824047fffffffff,7.0,0.0,0.0
82404ffffffffff,193.0,0.0,0.0
824057fffffffff,2.0,0.0,0.0
82405ffffffffff,5.0,0.0,1.0
824067fffffffff,66.0,0.0,0.0
82406ffffffffff,16.0,0.0,2.0
824077fffffffff,10.0,0.0,0.0
8240a7fffffffff,2.0,0.0,0.0
8240c7fffffffff,3.0,0.0,0.0
8240e7fffffffff,42.0,0.0,0.0
824107fffffffff,14.0,0.0,0.0
82410ffffffffff,2.0,0.0,0.0
824117fffffffff,14.0,0.0,0.0
82411ffffffffff,2248.0,0.0,0.0
824147fffffffff,26.0,0.0,3.0
82414ffffffffff,83.0,0.0,5.0
824157fffffffff,28.0,0.0,0.0
82415ffffffffff,65.0,0.0,0.0
824167fffffffff,24.0,0.0,2.0
82416ffffffffff,109.0,0.0,10.0
824177fffffffff,83.0,0.0,0.0
824187fffffffff,40.0,0.0,0.0
82418ffffffffff,8.0,0.0,0.0
824197fffffffff,185.0,0.0,0.0
82419ffffffffff,11.0,0.0,0.0
8241a7fffffffff,878.0,0.0,138.0
8241affffffffff,1.0,0.0,0.0
8241b7fffffffff,122.0,0.0,0.0
82424ffffffffff,118.0,0.0,0.0
824257fffffffff,2.0,0.0,0.0
82425ffffffffff,11.0,0.0,0.0
82426ffffffffff,124.0,0.0,0.0
8242c7fffffffff,265.0,0.0,0.0
8242cffffffffff,640.0,0.0,0.0
8242d7fffffffff,5.0,0.0,0.0
8242dffffffffff,1455.0,0.0,0.0
8242e7fffffffff,5.0,0.0,0.0
8242effffffffff,76.0,0.0,0.0
82438ffffffffff,16.0,0.0,0.0
8243a7fffffffff,2.0,0.0,0.0
8243affffffffff,62.0,0.0,0.0
82441ffffffffff,4.0,0.0,0.0
824437fffffffff,221.0,6.0,0.0
824457fffffffff,1649.0,66.0,0.0
82446ffffffffff,2561.0,9.0,0.0
8244a7fffffffff,903.0,0.0,0.0
82450ffffffffff,94.0,0.0,0.0
82451ffffffffff,2.0,0.0,0.0
824587fffffffff,1.0,0.0,0.0
82458ffffffffff,156.0,1.0,0.0
824597fffffffff,17.0,0.0,0.0
82459ffffffffff,20.0,0.0,0.0
8245b7fffffffff,111.0,0.0,0.0
82464ffffffffff,3800.0,0.0,524.0
824897fffffffff,8.0,0.0,0.0
824a27fffffffff,69.0,0.0,11.0
824b1ffffffffff,5.0,0.0,0.0
824b37fffffffff,16.0,0.0,0.0
824b87fffffffff,2012.0,0.0,49.0
824ba7fffffffff,18110.0,0.0,834.0
824baffffffffff,8.0,0.0,0.0
824bb7fffffffff,11401.0,0.0,893.0
824c8ffffffffff,91.0,0.0,0.0
824c97fffffffff,6.0,0.0,0.0
824c9ffffffffff,2.0,0.0,0.0
824cc7fffffffff,1327.0,0.0,0.0
824cd7fffffffff,261.0,0.0,0.0
824ceffffffffff,869.0,0.0,0.0
824cf7fffffffff,89.0,0.0,0.0
82524ffffffffff,15.0,0.0,0.0
82536ffffffffff,2.0,0.0,0.0
825d17fffffffff,3055.0,0.0,181.0
825e47fffffffff,45.0,0.0,0.0
825e4ffffffffff,35.0,0.0,0.0
825e5ffffffffff,404.0,0.0,0.0
826007fffffffff,2630.0,0.0,0.0
826017fffffffff,17329.0,0.0,0.0
82601ffffffffff,1636.0,0.0,0.0
826027fffffffff,520.0,0.0,0.0
826037fffffffff,9273.0,0.0,0.0
826087fffffffff,312.0,0.0,0.0
82608ffffffffff,8544.0,0.0,0.0
826097fffffffff,641.0,0.0,0.0
82609ffffffffff,1023.0,0.0,0.0
8260a7fffffffff,881.0,0.0,0.0
8260affffffffff,2017.0,0.0,0.0
8260b7fffffffff,2617.0,0.0,0.0
8260f7fffffffff,6.0,0.0,0.0
826107fffffffff,1472.0,66.0,0.0
826117fffffffff,240.0,4.0,0.0
82611ffffffffff,942.0,16.0,0.0
82618ffffffffff,3145.0,0.0,0.0
82619ffffffffff,216.0,0.0,0.0
8261affffffffff,139.0,0.0,0.0
826337fffffffff,34.0,0.0,0.0
82640ffffffffff,222.0,0.0,0.0
826417fffffffff,113.0,0.0,41.0
826427fffffffff,46.0,0.0,3.0
826437fffffffff,280.0,0.0,93.0
826487fffffffff,1822.0,0.0,810.0
82648ffffffffff,93.0,0.0,10.0
826497fffffffff,1082.0,0.0,404.0
82649ffffffffff,132.0,0.0,9.0
8264a7fffffffff,3153.0,0.0,1451.0
8264affffffffff,8.0,0.0,0.0
8264b7fffffffff,851.0,0.0,245.0
8264e7fffffffff,2.0,0.0,0.0
826507fffffffff,499.0,0.0,18.0
82650ffffffffff,45.0,0.0,0.0
826517fffffffff,2.0,0.0,0.0
82651ffffffffff,375.0,0.0,95.0
826527fffffffff,985.0,0.0,3.0
82652ffffffffff,12.0,0.0,0.0
826557fffffffff,14.0,0.0,0.0
826587fffffffff,1427.0,0.0,0.0
82658ffffffffff,2796.0,0.0,1371.0
826597fffffffff,192.0,0.0,3.0
82659ffffffffff,864.0,0.0,341.0
8265a7fffffffff,11.0,0.0,0.0
8265affffffffff,4.0,0.0,0.0
8265b7fffffffff,421.0,0.0,8.0
826727fffffffff,396.0,0.0,0.0
826737fffffffff,119.0,0.0,0.0
826807fffffffff,12.0,0.0,0.0
826817fffffffff,363.0,0.0,4.0
82681ffffffffff,175.0,0.0,2.0
82682ffffffffff,229.0,0.0,18.0
