cell_id,Icterus pyrrhopterus,Icterus pyrrhopterus tibialis,Icterus pyrrhopterus [pyrrhopterus Group]
828007fffffffff,1.0,1.0,0.0
828017fffffffff,6.0,6.0,0.0
828037fffffffff,1.0,1.0,0.0
828187fffffffff,2.0,2.0,0.0
82818ffffffffff,6.0,6.0,0.0
828b27fffffffff,6.0,0.0,4.0
828b2ffffffffff,1.0,0.0,0.0
828b77fffffffff,2.0,2.0,0.0
82a81ffffffffff,3.0,0.0,0.0
82a847fffffffff,2.0,0.0,0.0
82a8a7fffffffff,2.0,0.0,0.0
82a8affffffffff,5.0,2.0,3.0
82a8d7fffffffff,1.0,0.0,1.0
82a947fffffffff,4.0,0.0,4.0
82a957fffffffff,2.0,0.0,2.0
82a967fffffffff,100.0,0.0,4.0
82a96ffffffffff,58.0,0.0,0.0
82b24ffffffffff,477.0,0.0,0.0
82b25ffffffffff,5.0,0.0,0.0
82b267fffffffff,3.0,0.0,0.0
82b26ffffffffff,205.0,0.0,0.0
82b277fffffffff,5.0,0.0,0.0
82b2effffffffff,39.0,0.0,0.0
82b35ffffffffff,2.0,0.0,0.0
82b367fffffffff,7.0,0.0,3.0
82c2c7fffffffff,1.0,0.0,1.0
82c2cffffffffff,191.0,0.0,2.0
82c2d7fffffffff,1.0,0.0,0.0
82c2e7fffffffff,10.0,0.0,9.0
82c2effffffffff,17.0,0.0,3.0
82c2f7fffffffff,6.0,0.0,0.0
