cell_id,Larus michahellis,Larus michahellis atlantis,Larus michahellis michahellis
82075ffffffffff,5.0,0.0,0.0
82099ffffffffff,3.0,0.0,0.0
821807fffffffff,6.0,1.0,2.0
821827fffffffff,7.0,6.0,0.0
82182ffffffffff,19.0,2.0,3.0
82184ffffffffff,110.0,0.0,5.0
82185ffffffffff,185.0,0.0,3.0
821867fffffffff,1.0,0.0,0.0
82186ffffffffff,2.0,0.0,0.0
821877fffffffff,18.0,1.0,0.0
821947fffffffff,25.0,0.0,9.0
82194ffffffffff,30.0,0.0,29.0
821957fffffffff,26.0,0.0,9.0
82195ffffffffff,3.0,0.0,0.0
821977fffffffff,6.0,0.0,0.0
821aa7fffffffff,48.0,0.0,0.0
821e07fffffffff,17.0,0.0,1.0
821e0ffffffffff,15.0,0.0,0.0
821e17fffffffff,4.0,0.0,4.0
821e1ffffffffff,9.0,0.0,4.0
821e27fffffffff,36.0,0.0,0.0
821e2ffffffffff,6.0,0.0,0.0
821e37fffffffff,16.0,0.0,2.0
821e57fffffffff,2.0,0.0,0.0
821ea7fffffffff,31.0,0.0,5.0
821eaffffffffff,1.0,0.0,1.0
821eb7fffffffff,2.0,0.0,0.0
821ec7fffffffff,16.0,0.0,0.0
821ecffffffffff,21.0,0.0,0.0
821ed7fffffffff,4.0,0.0,4.0
821eeffffffffff,5.0,0.0,0.0
821f07fffffffff,2.0,0.0,0.0
821f0ffffffffff,4.0,0.0,0.0
821f1ffffffffff,4.0,0.0,0.0
821f2ffffffffff,2.0,0.0,2.0
821f37fffffffff,3.0,0.0,1.0
821f57fffffffff,4.0,0.0,0.0
821f5ffffffffff,2.0,0.0,0.0
821f87fffffffff,9.0,0.0,0.0
821f8ffffffffff,33.0,0.0,3.0
821f97fffffffff,1.0,0.0,0.0
821f9ffffffffff,8.0,0.0,5.0
821fa7fffffffff,1.0,0.0,0.0
821faffffffffff,3.0,0.0,0.0
821fb7fffffffff,2.0,0.0,0.0
822aaffffffffff,8.0,0.0,0.0
822b17fffffffff,1.0,0.0,0.0
822c0ffffffffff,2.0,0.0,2.0
822c17fffffffff,6.0,0.0,0.0
822c27fffffffff,64.0,0.0,64.0
822c2ffffffffff,9.0,0.0,0.0
822caffffffffff,1.0,0.0,0.0
822d0ffffffffff,1.0,0.0,0.0
822d1ffffffffff,1.0,0.0,0.0
822d2ffffffffff,3.0,0.0,0.0
822d37fffffffff,2.0,0.0,0.0
822da7fffffffff,4.0,0.0,0.0
822daffffffffff,6.0,0.0,1.0
822db7fffffffff,8.0,0.0,0.0
823427fffffffff,2.0,2.0,0.0
823467fffffffff,3.0,0.0,0.0
82351ffffffffff,32.0,32.0,0.0
8235affffffffff,5.0,5.0,0.0
823827fffffffff,5.0,0.0,4.0
82382ffffffffff,17.0,0.0,0.0
823867fffffffff,23.0,0.0,0.0
823877fffffffff,41.0,0.0,0.0
823907fffffffff,106.0,0.0,0.0
82390ffffffffff,46.0,0.0,0.0
823917fffffffff,57.0,0.0,3.0
82391ffffffffff,11.0,0.0,4.0
823927fffffffff,56.0,0.0,3.0
82392ffffffffff,170.0,0.0,7.0
823937fffffffff,38.0,0.0,0.0
823947fffffffff,31.0,0.0,16.0
82394ffffffffff,3.0,0.0,3.0
823957fffffffff,48.0,0.0,37.0
82395ffffffffff,6.0,0.0,0.0
82396ffffffffff,1.0,0.0,1.0
823977fffffffff,368.0,0.0,127.0
823987fffffffff,2.0,0.0,0.0
8239affffffffff,17.0,0.0,3.0
823e6ffffffffff,18.0,0.0,2.0
823f4ffffffffff,1.0,0.0,0.0
823f67fffffffff,16.0,0.0,0.0
824897fffffffff,2.0,0.0,0.0
8254affffffffff,13.0,0.0,0.0
8254f7fffffffff,3.0,0.0,0.0
