cell_id,Schiffornis turdina,Schiffornis turdina amazonum,Schiffornis turdina [turdina Group]
836641fffffffff,108.0,23.0,0.0
836643fffffffff,2.0,0.0,0.0
836648fffffffff,4.0,0.0,0.0
836651fffffffff,1.0,0.0,0.0
83665afffffffff,88.0,22.0,0.0
83665bfffffffff,43.0,3.0,0.0
83665efffffffff,1.0,0.0,0.0
83666afffffffff,4.0,0.0,0.0
83666bfffffffff,2.0,0.0,0.0
83666efffffffff,17.0,0.0,0.0
8366c2fffffffff,19.0,5.0,0.0
8366c3fffffffff,7.0,4.0,0.0
8366c5fffffffff,3.0,0.0,0.0
8366cdfffffffff,1.0,0.0,0.0
8366cefffffffff,7.0,5.0,0.0
8366d1fffffffff,2.0,2.0,0.0
8366d8fffffffff,25.0,5.0,0.0
8366dbfffffffff,1.0,0.0,0.0
8366dcfffffffff,9.0,2.0,0.0
8366ddfffffffff,2.0,0.0,0.0
8366defffffffff,1.0,0.0,0.0
8366e3fffffffff,5.0,5.0,0.0
8366eafffffffff,2.0,2.0,0.0
8366ecfffffffff,3.0,0.0,0.0
8366eefffffffff,12.0,0.0,0.0
838046fffffffff,50.0,1.0,16.0
838061fffffffff,2.0,0.0,2.0
838065fffffffff,3.0,0.0,1.0
838066fffffffff,2.0,0.0,0.0
838071fffffffff,5.0,0.0,2.0
838072fffffffff,2.0,0.0,0.0
838074fffffffff,10.0,0.0,0.0
838075fffffffff,5.0,1.0,0.0
838116fffffffff,5.0,0.0,2.0
838130fffffffff,8.0,0.0,0.0
838132fffffffff,77.0,0.0,30.0
838133fffffffff,4.0,0.0,0.0
838134fffffffff,16.0,0.0,9.0
838136fffffffff,6.0,0.0,0.0
838142fffffffff,6.0,0.0,0.0
838143fffffffff,8.0,0.0,0.0
838144fffffffff,3.0,0.0,0.0
838145fffffffff,7.0,0.0,0.0
83814afffffffff,33.0,1.0,12.0
83814dfffffffff,21.0,0.0,12.0
83814efffffffff,27.0,4.0,6.0
838159fffffffff,10.0,0.0,0.0
83815afffffffff,2.0,0.0,0.0
83815cfffffffff,15.0,0.0,7.0
83815dfffffffff,32.0,0.0,19.0
838163fffffffff,32.0,0.0,0.0
838185fffffffff,200.0,0.0,92.0
838a00fffffffff,13.0,11.0,0.0
838a01fffffffff,5.0,3.0,0.0
838a04fffffffff,4.0,0.0,0.0
838a05fffffffff,16.0,6.0,5.0
838a06fffffffff,2.0,0.0,0.0
838a10fffffffff,49.0,6.0,0.0
838a15fffffffff,32.0,3.0,1.0
838a1afffffffff,11.0,3.0,0.0
838a21fffffffff,8.0,1.0,0.0
838a23fffffffff,2.0,0.0,0.0
838a24fffffffff,15.0,0.0,0.0
838a2cfffffffff,3.0,2.0,0.0
838a31fffffffff,54.0,9.0,9.0
838a33fffffffff,18.0,0.0,0.0
838a34fffffffff,1.0,0.0,0.0
838a45fffffffff,25.0,2.0,0.0
838a48fffffffff,3.0,0.0,0.0
838a5afffffffff,2.0,0.0,0.0
838a63fffffffff,33.0,0.0,0.0
838a69fffffffff,4.0,0.0,0.0
838a6dfffffffff,38.0,0.0,0.0
838a80fffffffff,13.0,3.0,1.0
838a81fffffffff,15.0,1.0,0.0
838a82fffffffff,2.0,0.0,0.0
838a83fffffffff,1.0,0.0,0.0
838a92fffffffff,4.0,0.0,0.0
838a9cfffffffff,3.0,0.0,0.0
838a9dfffffffff,1.0,1.0,0.0
838aa5fffffffff,1.0,0.0,0.0
838aa8fffffffff,19.0,0.0,0.0
838aaafffffffff,36.0,1.0,0.0
838aacfffffffff,6.0,0.0,0.0
838aadfffffffff,10.0,0.0,0.0
838ab2fffffffff,1.0,0.0,1.0
838ae2fffffffff,1.0,0.0,0.0
838af0fffffffff,5.0,2.0,0.0
838af2fffffffff,10.0,2.0,0.0
838af4fffffffff,27.0,23.0,0.0
838af6fffffffff,4.0,0.0,0.0
838b1afffffffff,3.0,0.0,0.0
838b1dfffffffff,6.0,0.0,0.0
838b21fffffffff,2.0,0.0,1.0
838b22fffffffff,6.0,0.0,4.0
838b23fffffffff,6.0,0.0,1.0
838b2cfffffffff,14.0,0.0,0.0
838b40fffffffff,13.0,1.0,0.0
838b44fffffffff,34.0,1.0,0.0
838b46fffffffff,6.0,0.0,0.0
838b52fffffffff,2.0,0.0,0.0
838b53fffffffff,1.0,0.0,0.0
838b56fffffffff,4.0,0.0,0.0
838b61fffffffff,7.0,0.0,0.0
838b63fffffffff,45.0,7.0,0.0
838b6cfffffffff,2.0,0.0,0.0
838b6efffffffff,18.0,0.0,0.0
838b71fffffffff,60.0,7.0,0.0
838b74fffffffff,52.0,0.0,1.0
838b75fffffffff,7.0,0.0,0.0
838b82fffffffff,4.0,0.0,0.0
838b83fffffffff,1.0,0.0,0.0
838b84fffffffff,18.0,3.0,0.0
838b88fffffffff,12.0,4.0,0.0
838b8afffffffff,1.0,0.0,0.0
838b8dfffffffff,1.0,0.0,0.0
838b8efffffffff,1.0,0.0,0.0
838b96fffffffff,9.0,0.0,0.0
838b99fffffffff,60.0,1.0,5.0
838b9dfffffffff,430.0,94.0,0.0
838badfffffffff,2.0,0.0,0.0
838e64fffffffff,2.0,0.0,0.0
838f46fffffffff,4.0,2.0,0.0
838f48fffffffff,19.0,4.0,0.0
838f65fffffffff,107.0,0.0,0.0
838f6bfffffffff,5.0,1.0,0.0
838f6efffffffff,2.0,2.0,0.0
838f71fffffffff,2.0,0.0,0.0
838f73fffffffff,1.0,0.0,0.0
83a596fffffffff,261.0,0.0,90.0
83a85bfffffffff,3.0,0.0,0.0
83a883fffffffff,8.0,0.0,5.0
83a884fffffffff,2.0,0.0,2.0
83a891fffffffff,175.0,0.0,60.0
83a89efffffffff,1.0,0.0,0.0
83a8a1fffffffff,2.0,0.0,2.0
83a8a2fffffffff,82.0,0.0,32.0
83a8a3fffffffff,25.0,0.0,12.0
83a8b1fffffffff,4.0,0.0,2.0
83a8c9fffffffff,7.0,0.0,0.0
83b324fffffffff,10.0,0.0,0.0
