cell_id,Centropus phasianinus,Centropus phasianinus mui,Centropus phasianinus spilopterus,Centropus phasianinus [phasianinus Group]
8472901ffffffff,10.0,0.0,10.0,0.0
8472905ffffffff,33.0,0.0,33.0,0.0
847290dffffffff,5.0,0.0,5.0,0.0
8472d23ffffffff,1.0,0.0,0.0,0.0
8472db3ffffffff,11.0,0.0,0.0,0.0
8472dbbffffffff,4.0,0.0,0.0,0.0
8472f35ffffffff,32.0,0.0,0.0,14.0
8494187ffffffff,22.0,0.0,0.0,0.0
84941a1ffffffff,3.0,0.0,0.0,0.0
84941bdffffffff,33.0,0.0,0.0,6.0
84942d3ffffffff,15.0,6.0,0.0,0.0
849442bffffffff,1.0,0.0,0.0,0.0
84944a1ffffffff,2.0,0.0,0.0,0.0
84944bdffffffff,2.0,0.0,0.0,0.0
8494501ffffffff,2.0,0.0,0.0,0.0
8494503ffffffff,18.0,0.0,0.0,0.0
8494507ffffffff,9.0,0.0,0.0,0.0
849450bffffffff,4.0,0.0,0.0,3.0
8494511ffffffff,194.0,0.0,0.0,41.0
8494515ffffffff,51.0,0.0,0.0,5.0
8494517ffffffff,56.0,0.0,0.0,10.0
849451dffffffff,667.0,0.0,0.0,73.0
8494531ffffffff,4.0,0.0,0.0,0.0
8494533ffffffff,4.0,0.0,0.0,0.0
8494535ffffffff,11.0,0.0,0.0,0.0
8494537ffffffff,15.0,0.0,0.0,0.0
8494539ffffffff,36.0,0.0,0.0,8.0
849453bffffffff,14.0,0.0,0.0,2.0
8494551ffffffff,6.0,0.0,0.0,0.0
8494559ffffffff,8.0,0.0,0.0,0.0
849458dffffffff,5.0,0.0,0.0,0.0
8494593ffffffff,1.0,0.0,0.0,0.0
8494597ffffffff,2.0,0.0,0.0,0.0
84945a5ffffffff,29.0,0.0,0.0,4.0
84945a7ffffffff,6.0,0.0,0.0,0.0
84945adffffffff,5.0,0.0,0.0,0.0
84945c3ffffffff,53.0,0.0,0.0,12.0
84945c5ffffffff,24.0,0.0,0.0,4.0
84945c7ffffffff,119.0,0.0,0.0,25.0
84945cdffffffff,2.0,0.0,0.0,2.0
84945e1ffffffff,6.0,0.0,0.0,0.0
84945e3ffffffff,33.0,0.0,0.0,6.0
84945e5ffffffff,42.0,0.0,0.0,10.0
84945ebffffffff,159.0,0.0,0.0,37.0
8494801ffffffff,32.0,0.0,0.0,0.0
