cell_id,Cercomacroides tyrannina,Cercomacroides tyrannina tyrannina/crepera,Cercomacroides tyrannina saturatior/vicina
834505fffffffff,28.0,0.0,0.0
834520fffffffff,29.0,0.0,0.0
834521fffffffff,1084.0,2.0,0.0
834522fffffffff,240.0,0.0,0.0
834523fffffffff,968.0,11.0,0.0
834524fffffffff,1.0,0.0,0.0
834525fffffffff,200.0,0.0,0.0
834526fffffffff,244.0,0.0,0.0
834528fffffffff,136.0,0.0,0.0
83452afffffffff,84.0,4.0,0.0
83452bfffffffff,3.0,0.0,0.0
83452cfffffffff,240.0,4.0,0.0
83452dfffffffff,485.0,12.0,0.0
83452efffffffff,3905.0,64.0,0.0
834530fffffffff,38.0,0.0,0.0
834531fffffffff,2.0,0.0,0.0
834532fffffffff,143.0,0.0,0.0
834534fffffffff,79.0,0.0,0.0
834535fffffffff,59.0,0.0,0.0
834536fffffffff,156.0,0.0,0.0
835f00fffffffff,6.0,0.0,0.0
835f01fffffffff,14.0,0.0,0.0
835f02fffffffff,6.0,0.0,0.0
835f03fffffffff,164.0,0.0,0.0
835f06fffffffff,2.0,0.0,0.0
835f08fffffffff,2.0,0.0,0.0
835f09fffffffff,6.0,0.0,0.0
835f0dfffffffff,7.0,0.0,0.0
835f10fffffffff,4.0,0.0,0.0
835f12fffffffff,4.0,0.0,0.0
835f14fffffffff,18.0,0.0,0.0
835f1cfffffffff,14.0,0.0,0.0
835f29fffffffff,40.0,0.0,0.0
835f2bfffffffff,492.0,0.0,0.0
835f40fffffffff,21.0,0.0,0.0
835f42fffffffff,30.0,0.0,0.0
835f44fffffffff,1.0,0.0,0.0
835f46fffffffff,2.0,0.0,0.0
835f50fffffffff,14.0,0.0,0.0
835f54fffffffff,21.0,0.0,0.0
835f56fffffffff,3.0,0.0,0.0
835f5dfffffffff,1.0,0.0,0.0
835f68fffffffff,46.0,0.0,0.0
835f71fffffffff,21.0,0.0,0.0
835f75fffffffff,46.0,0.0,0.0
836608fffffffff,49.0,0.0,0.0
83660afffffffff,8.0,0.0,0.0
83660bfffffffff,1.0,0.0,0.0
83660cfffffffff,39.0,0.0,0.0
83660dfffffffff,33.0,0.0,0.0
836610fffffffff,413.0,0.0,0.0
836611fffffffff,24.0,0.0,0.0
836612fffffffff,14.0,0.0,0.0
836613fffffffff,225.0,0.0,0.0
836616fffffffff,135.0,0.0,0.0
836618fffffffff,7.0,0.0,0.0
836619fffffffff,418.0,0.0,0.0
83661afffffffff,62.0,0.0,0.0
83661bfffffffff,25.0,0.0,0.0
83661cfffffffff,31.0,0.0,0.0
83661dfffffffff,52.0,0.0,0.0
83661efffffffff,8.0,0.0,0.0
836629fffffffff,2.0,0.0,0.0
83662bfffffffff,6.0,0.0,0.0
83662dfffffffff,10.0,0.0,0.0
83662efffffffff,8.0,0.0,0.0
836641fffffffff,178.0,0.0,0.0
836644fffffffff,1.0,0.0,0.0
836645fffffffff,5.0,0.0,0.0
836648fffffffff,14.0,0.0,0.0
83664efffffffff,1.0,0.0,0.0
836650fffffffff,1.0,0.0,0.0
836652fffffffff,12.0,0.0,0.0
836653fffffffff,2.0,0.0,0.0
836654fffffffff,2.0,0.0,0.0
836656fffffffff,24.0,0.0,0.0
83665afffffffff,240.0,0.0,0.0
83665bfffffffff,143.0,0.0,0.0
83665efffffffff,3.0,0.0,0.0
836660fffffffff,2.0,0.0,0.0
836663fffffffff,18.0,0.0,0.0
83666afffffffff,5.0,0.0,0.0
83666cfffffffff,1.0,0.0,0.0
83666efffffffff,5.0,0.0,0.0
836674fffffffff,1.0,0.0,0.0
8366a0fffffffff,198.0,0.0,0.0
8366a3fffffffff,6.0,0.0,0.0
8366a5fffffffff,4627.0,0.0,0.0
8366a6fffffffff,22.0,0.0,0.0
8366b0fffffffff,114.0,0.0,0.0
8366b4fffffffff,1535.0,0.0,0.0
8366b5fffffffff,458.0,0.0,0.0
8366b6fffffffff,4.0,0.0,0.0
8366c0fffffffff,304.0,0.0,0.0
8366c1fffffffff,1.0,0.0,0.0
8366c2fffffffff,201.0,0.0,0.0
8366c3fffffffff,4.0,0.0,0.0
8366c5fffffffff,24.0,0.0,0.0
8366cdfffffffff,1.0,0.0,0.0
8366cefffffffff,32.0,0.0,0.0
8366d0fffffffff,247.0,0.0,0.0
8366d1fffffffff,12.0,0.0,0.0
8366d2fffffffff,76.0,0.0,0.0
8366d3fffffffff,161.0,0.0,0.0
8366d5fffffffff,19.0,0.0,0.0
8366e0fffffffff,196.0,0.0,0.0
8366e1fffffffff,24.0,0.0,0.0
8366e2fffffffff,39.0,0.0,0.0
8366e3fffffffff,119.0,0.0,0.0
8366e4fffffffff,229.0,3.0,0.0
8366e5fffffffff,1307.0,0.0,0.0
8366e6fffffffff,67.0,0.0,0.0
8366e8fffffffff,5.0,0.0,0.0
8366e9fffffffff,14.0,0.0,0.0
8366eafffffffff,18.0,0.0,0.0
8366ecfffffffff,204.0,0.0,0.0
8366eefffffffff,199.0,0.0,0.0
8366f0fffffffff,128.0,0.0,0.0
8366f1fffffffff,14.0,0.0,0.0
8366f3fffffffff,23.0,0.0,0.0
8366f5fffffffff,31.0,0.0,0.0
83675afffffffff,1.0,0.0,0.0
836790fffffffff,42.0,0.0,0.0
836791fffffffff,1.0,0.0,0.0
836792fffffffff,12.0,0.0,0.0
836793fffffffff,11.0,0.0,0.0
836794fffffffff,37.0,0.0,0.0
836796fffffffff,78.0,0.0,0.0
83679afffffffff,819.0,0.0,0.0
83679bfffffffff,135.0,0.0,0.0
8367b2fffffffff,2.0,0.0,0.0
836d20fffffffff,69.0,0.0,0.0
836d21fffffffff,57.0,12.0,0.0
836d22fffffffff,3.0,0.0,0.0
836d2cfffffffff,558.0,78.0,0.0
836d2dfffffffff,183.0,70.0,0.0
836d30fffffffff,39.0,5.0,0.0
836d31fffffffff,23.0,0.0,0.0
836d36fffffffff,2.0,0.0,0.0
836d60fffffffff,2.0,0.0,0.0
836d61fffffffff,298.0,0.0,0.0
836d64fffffffff,129.0,0.0,0.0
836d65fffffffff,649.0,0.0,0.0
836d68fffffffff,416.0,0.0,0.0
836d69fffffffff,5862.0,0.0,0.0
836d6bfffffffff,30.0,0.0,0.0
836d6cfffffffff,19.0,0.0,0.0
836d6dfffffffff,982.0,0.0,0.0
836d6efffffffff,22.0,0.0,0.0
838068fffffffff,1.0,0.0,0.0
83806afffffffff,13.0,0.0,0.0
83806bfffffffff,19.0,0.0,1.0
838a4bfffffffff,7.0,0.0,0.0
838a5afffffffff,3.0,0.0,0.0
838ad8fffffffff,2.0,0.0,0.0
838adcfffffffff,49.0,0.0,0.0
838af0fffffffff,59.0,0.0,0.0
838af2fffffffff,65.0,0.0,0.0
838af4fffffffff,16.0,0.0,0.0
838af6fffffffff,200.0,0.0,0.0
838f29fffffffff,14.0,0.0,0.0
838f2afffffffff,17.0,0.0,0.0
838f2bfffffffff,8.0,0.0,0.0
838f2cfffffffff,13.0,0.0,0.0
