cell_id,Poliocrania exsul,Poliocrania exsul [exsul Group],Poliocrania exsul maculifer/cassini
834532fffffffff,9.0,0.0,0.0
834534fffffffff,3.0,0.0,0.0
834536fffffffff,12.0,0.0,0.0
836602fffffffff,2.0,0.0,0.0
836603fffffffff,7.0,0.0,0.0
836604fffffffff,2.0,0.0,0.0
836608fffffffff,31.0,0.0,0.0
83660afffffffff,692.0,0.0,7.0
83660efffffffff,44.0,0.0,0.0
836610fffffffff,668.0,0.0,0.0
836611fffffffff,75.0,0.0,0.0
836612fffffffff,51.0,0.0,0.0
836613fffffffff,978.0,0.0,0.0
836616fffffffff,841.0,0.0,0.0
836619fffffffff,896.0,0.0,0.0
83661afffffffff,511.0,0.0,5.0
83661bfffffffff,85.0,0.0,0.0
83661cfffffffff,169.0,0.0,0.0
83661dfffffffff,12.0,0.0,0.0
83661efffffffff,440.0,0.0,0.0
8366a0fffffffff,1065.0,0.0,0.0
8366a2fffffffff,26.0,0.0,0.0
8366a3fffffffff,118.0,0.0,0.0
8366a5fffffffff,4446.0,0.0,0.0
8366a6fffffffff,927.0,0.0,0.0
8366a9fffffffff,10.0,0.0,0.0
8366adfffffffff,1.0,0.0,0.0
8366b0fffffffff,3561.0,0.0,0.0
8366b1fffffffff,34.0,0.0,0.0
8366b4fffffffff,2189.0,0.0,0.0
8366b5fffffffff,1384.0,0.0,0.0
8366b6fffffffff,522.0,0.0,0.0
8366d0fffffffff,500.0,0.0,33.0
8366d2fffffffff,251.0,0.0,21.0
8366d3fffffffff,1994.0,0.0,140.0
8366d4fffffffff,5.0,0.0,0.0
8366d5fffffffff,35.0,0.0,0.0
8366e4fffffffff,4.0,0.0,0.0
8366e6fffffffff,3.0,0.0,0.0
8366f0fffffffff,1547.0,0.0,30.0
8366f1fffffffff,2.0,0.0,0.0
8366f3fffffffff,158.0,0.0,7.0
8366f5fffffffff,20.0,0.0,0.0
83678bfffffffff,2.0,0.0,0.0
836793fffffffff,6.0,0.0,0.0
836794fffffffff,3.0,0.0,0.0
836796fffffffff,8.0,0.0,0.0
83679afffffffff,2222.0,0.0,0.0
83679bfffffffff,1446.0,0.0,0.0
836d68fffffffff,536.0,0.0,0.0
836d69fffffffff,7035.0,0.0,0.0
836d6dfffffffff,469.0,0.0,0.0
838f0dfffffffff,486.0,0.0,0.0
838f29fffffffff,78.0,0.0,0.0
838f2bfffffffff,46.0,0.0,0.0
838f2cfffffffff,262.0,0.0,0.0
838f2dfffffffff,2.0,0.0,0.0
838f76fffffffff,1.0,0.0,0.0
