cell_id,Xenodacnis parina,Xenodacnis parina petersi/bella,Xenodacnis parina parina
8366dafffffffff,4.0,0.0,0.0
838b61fffffffff,415.0,0.0,0.0
838b65fffffffff,5.0,0.0,0.0
838b6cfffffffff,167.0,0.0,0.0
838e61fffffffff,6.0,0.0,0.0
838e65fffffffff,42.0,0.0,0.0
838e66fffffffff,1.0,0.0,0.0
838e68fffffffff,3.0,0.0,0.0
838e69fffffffff,11.0,0.0,0.0
838e6cfffffffff,4.0,0.0,0.0
838e6dfffffffff,147.0,0.0,0.0
838f29fffffffff,5.0,0.0,0.0
838f51fffffffff,16.0,0.0,0.0
838f58fffffffff,266.0,16.0,0.0
838f59fffffffff,58.0,2.0,0.0
838f5bfffffffff,2.0,0.0,0.0
838f5cfffffffff,9.0,0.0,0.0
838f5dfffffffff,5.0,0.0,0.0
838f5efffffffff,1.0,0.0,0.0
838f76fffffffff,488.0,50.0,0.0
83b334fffffffff,1.0,0.0,0.0
83b335fffffffff,57.0,0.0,0.0
