cell_id,Zimmerius viridiflavus,Zimmerius viridiflavus flavidifrons,Zimmerius viridiflavus viridiflavus,Zimmerius viridiflavus [undescribed form]
848b69bffffffff,1.0,0.0,0.0,0.0
848e641ffffffff,207.0,0.0,0.0,0.0
848e643ffffffff,74.0,0.0,0.0,0.0
848e649ffffffff,134.0,0.0,0.0,0.0
848e64bffffffff,154.0,0.0,0.0,0.0
848e651ffffffff,12.0,0.0,0.0,0.0
848e655ffffffff,1.0,0.0,0.0,0.0
848e659ffffffff,3.0,0.0,0.0,0.0
848e65dffffffff,3.0,0.0,0.0,0.0
848f099ffffffff,7.0,5.0,0.0,0.0
848f0d1ffffffff,25.0,18.0,0.0,0.0
848f0d3ffffffff,291.0,192.0,0.0,0.0
848f0d9ffffffff,5.0,0.0,0.0,0.0
848f0dbffffffff,203.0,132.0,0.0,0.0
848f401ffffffff,146.0,0.0,1.0,43.0
848f405ffffffff,1.0,0.0,0.0,0.0
848f407ffffffff,3.0,0.0,0.0,0.0
848f421ffffffff,73.0,0.0,0.0,0.0
848f425ffffffff,15.0,0.0,0.0,0.0
848f427ffffffff,4.0,0.0,0.0,0.0
848f429ffffffff,14.0,0.0,0.0,0.0
848f42dffffffff,8.0,0.0,0.0,6.0
848f431ffffffff,3.0,0.0,0.0,2.0
848f439ffffffff,193.0,0.0,2.0,15.0
848f461ffffffff,11.0,0.0,0.0,2.0
848f463ffffffff,81.0,0.0,3.0,19.0
848f465ffffffff,161.0,0.0,2.0,38.0
848f467ffffffff,60.0,0.0,0.0,0.0
848f46bffffffff,8.0,0.0,0.0,3.0
848f487ffffffff,6.0,0.0,0.0,0.0
848f4a5ffffffff,63.0,0.0,6.0,0.0
848f4a7ffffffff,5.0,0.0,0.0,0.0
848f4adffffffff,86.0,0.0,0.0,0.0
848f4e5ffffffff,14.0,0.0,0.0,0.0
848f555ffffffff,2.0,0.0,0.0,0.0
848f559ffffffff,12.0,0.0,0.0,2.0
848f55bffffffff,2.0,0.0,0.0,0.0
848f59bffffffff,2.0,0.0,0.0,0.0
848f5d7ffffffff,12.0,0.0,0.0,0.0
848f5d9ffffffff,11.0,0.0,0.0,0.0
848f5ddffffffff,54.0,0.0,0.0,0.0
848f721ffffffff,10.0,0.0,0.0,0.0
848f725ffffffff,3.0,3.0,0.0,0.0
848f72dffffffff,5.0,0.0,0.0,0.0
848f733ffffffff,940.0,0.0,9.0,257.0
848f737ffffffff,22.0,0.0,0.0,0.0
