cell_id,Colaptes campestris,Colaptes campestris campestris,Colaptes campestris campestroides,Colaptes campestris campestris x campestroides
845f223ffffffff,5.0,0.0,0.0,0.0
845f227ffffffff,15.0,0.0,0.0,0.0
8480009ffffffff,1.0,0.0,0.0,0.0
8480025ffffffff,2.0,0.0,0.0,0.0
8480101ffffffff,6.0,0.0,0.0,0.0
8480107ffffffff,2.0,0.0,0.0,0.0
848011bffffffff,13.0,0.0,0.0,0.0
8480147ffffffff,6.0,5.0,0.0,0.0
8480165ffffffff,8.0,0.0,0.0,0.0
848016bffffffff,12.0,0.0,0.0,0.0
848016dffffffff,2.0,0.0,0.0,0.0
84802cdffffffff,2.0,0.0,0.0,0.0
8480301ffffffff,11.0,0.0,0.0,0.0
8480309ffffffff,5.0,0.0,0.0,0.0
8480345ffffffff,2.0,0.0,0.0,0.0
8480359ffffffff,4.0,0.0,0.0,0.0
8481003ffffffff,2.0,0.0,0.0,0.0
8481005ffffffff,73.0,4.0,0.0,0.0
8481021ffffffff,1.0,0.0,0.0,0.0
8481029ffffffff,3.0,1.0,0.0,0.0
8481063ffffffff,33.0,10.0,0.0,0.0
8481069ffffffff,2.0,1.0,0.0,0.0
848106bffffffff,7.0,0.0,0.0,0.0
8481099ffffffff,17.0,3.0,0.0,0.0
84810e1ffffffff,3.0,3.0,0.0,0.0
8481105ffffffff,2.0,0.0,0.0,0.0
8481125ffffffff,9.0,2.0,0.0,0.0
848112dffffffff,1.0,0.0,0.0,0.0
848114bffffffff,1.0,0.0,0.0,0.0
84811a1ffffffff,6.0,0.0,0.0,0.0
84811c5ffffffff,2.0,0.0,0.0,0.0
84811c9ffffffff,2.0,0.0,0.0,0.0
8481211ffffffff,3.0,0.0,0.0,0.0
8481215ffffffff,3.0,3.0,0.0,0.0
8481241ffffffff,2.0,0.0,0.0,0.0
8481245ffffffff,12.0,2.0,0.0,0.0
848124bffffffff,3.0,0.0,0.0,0.0
848124dffffffff,75.0,12.0,0.0,0.0
84812abffffffff,1.0,0.0,0.0,0.0
84812c9ffffffff,3.0,1.0,0.0,0.0
84812cbffffffff,4.0,0.0,0.0,0.0
84812d1ffffffff,12.0,5.0,0.0,0.0
84812d3ffffffff,2.0,2.0,0.0,0.0
84812d7ffffffff,8.0,4.0,0.0,0.0
84812d9ffffffff,1.0,0.0,0.0,0.0
8481303ffffffff,11.0,0.0,0.0,0.0
848130dffffffff,3.0,3.0,0.0,0.0
848131dffffffff,3.0,0.0,0.0,0.0
8481321ffffffff,5.0,0.0,0.0,0.0
8481327ffffffff,2.0,0.0,0.0,0.0
848132dffffffff,1.0,0.0,0.0,0.0
8481331ffffffff,10.0,1.0,0.0,0.0
8481337ffffffff,4.0,3.0,0.0,0.0
