cell_id,Trogon surrucura,Trogon surrucura aurantius,Trogon surrucura surrucura
8481029ffffffff,3.0,3.0,0.0
84a8107ffffffff,2.0,2.0,0.0
84a8125ffffffff,7.0,7.0,0.0
84a8805ffffffff,3.0,3.0,0.0
84a8811ffffffff,2.0,0.0,0.0
84a881bffffffff,3.0,3.0,0.0
84a882dffffffff,2.0,2.0,0.0
84a8a13ffffffff,3.0,3.0,0.0
84a92cbffffffff,59.0,0.0,2.0
84a94ddffffffff,3.0,0.0,0.0
84a9531ffffffff,9.0,0.0,8.0
84a953bffffffff,4.0,0.0,4.0
84a95dbffffffff,6.0,0.0,0.0
84a9613ffffffff,1.0,0.0,0.0
84a9617ffffffff,14.0,0.0,0.0
84a9653ffffffff,17.0,0.0,0.0
