cell_id,Phylloscopus poliocephalus,Phylloscopus poliocephalus suaramerdu,Phylloscopus poliocephalus emilsalimi,Phylloscopus poliocephalus henrietta,Phylloscopus poliocephalus waterstradti,Phylloscopus poliocephalus everetti,Phylloscopus poliocephalus ceramensis,Phylloscopus poliocephalus avicola,Phylloscopus poliocephalus [poliocephalus Group],Phylloscopus poliocephalus [matthiae Group]
8272d7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8272dffffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
827397fffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
827797fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
82779ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829567fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82956ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829c87fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
829c8ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829c9ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829caffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829cd7fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
