cell_id,Ducula aenea,Ducula aenea [aenea Group],Ducula aenea nuchalis,Ducula aenea paulina
833c19fffffffff,12.0,0.0,0.0,0.0
833c52fffffffff,2.0,0.0,0.0,0.0
833c58fffffffff,3.0,0.0,0.0,0.0
833c5afffffffff,4.0,0.0,0.0,0.0
833c83fffffffff,14.0,0.0,0.0,0.0
833c92fffffffff,15.0,0.0,0.0,0.0
833c96fffffffff,4.0,0.0,0.0,0.0
833cb6fffffffff,11.0,0.0,0.0,0.0
833cc2fffffffff,1.0,0.0,0.0,0.0
833ce4fffffffff,11.0,0.0,0.0,0.0
833cecfffffffff,25.0,5.0,0.0,0.0
833cedfffffffff,1.0,0.0,0.0,0.0
83404cfffffffff,1.0,0.0,0.0,0.0
836002fffffffff,4.0,0.0,0.0,0.0
836006fffffffff,33.0,0.0,0.0,0.0
836011fffffffff,2.0,0.0,0.0,0.0
836013fffffffff,1.0,0.0,0.0,0.0
836014fffffffff,27.0,0.0,0.0,0.0
836015fffffffff,7.0,0.0,0.0,0.0
83601efffffffff,10.0,0.0,0.0,0.0
836022fffffffff,3.0,0.0,0.0,0.0
836031fffffffff,239.0,6.0,0.0,0.0
836032fffffffff,56.0,0.0,0.0,0.0
836033fffffffff,121.0,0.0,0.0,0.0
836035fffffffff,7.0,2.0,0.0,0.0
83608bfffffffff,18.0,0.0,0.0,0.0
836094fffffffff,23.0,0.0,0.0,0.0
8360a4fffffffff,15.0,0.0,0.0,0.0
8360a6fffffffff,209.0,0.0,0.0,0.0
8360a9fffffffff,58.0,8.0,0.0,0.0
8360b2fffffffff,12.0,0.0,0.0,0.0
8360b3fffffffff,9.0,0.0,0.0,0.0
8360b4fffffffff,11.0,0.0,0.0,0.0
836102fffffffff,1.0,1.0,0.0,0.0
836188fffffffff,128.0,0.0,0.0,0.0
83619afffffffff,9.0,0.0,0.0,0.0
83640afffffffff,4.0,4.0,0.0,0.0
83641bfffffffff,2.0,0.0,0.0,0.0
836431fffffffff,1.0,0.0,0.0,0.0
83648cfffffffff,1.0,0.0,0.0,0.0
8364a3fffffffff,4.0,0.0,0.0,0.0
8364e4fffffffff,2.0,2.0,0.0,0.0
836500fffffffff,11.0,0.0,0.0,0.0
836502fffffffff,2.0,0.0,0.0,0.0
836518fffffffff,1.0,0.0,0.0,0.0
83651dfffffffff,7.0,0.0,0.0,0.0
836520fffffffff,3.0,0.0,0.0,0.0
836526fffffffff,61.0,0.0,0.0,0.0
836581fffffffff,4.0,0.0,0.0,0.0
83658afffffffff,2.0,0.0,0.0,0.0
836598fffffffff,4.0,0.0,0.0,0.0
83659dfffffffff,16.0,0.0,0.0,0.0
836818fffffffff,2.0,0.0,0.0,0.0
836828fffffffff,3.0,0.0,0.0,0.0
836844fffffffff,3.0,0.0,0.0,0.0
83684efffffffff,2.0,2.0,0.0,0.0
8368c8fffffffff,6.0,0.0,0.0,2.0
8368cefffffffff,4.0,2.0,0.0,0.0
836943fffffffff,5.0,5.0,0.0,0.0
