cell_id,Ramphastos tucanus,Ramphastos tucanus tucanus,Ramphastos tucanus cuvieri/inca
835f4bfffffffff,2.0,0.0,0.0
836619fffffffff,3.0,0.0,0.0
836641fffffffff,8.0,0.0,8.0
8366c2fffffffff,7.0,0.0,0.0
8366d1fffffffff,5.0,0.0,0.0
8366dafffffffff,7.0,0.0,7.0
8366dcfffffffff,6.0,0.0,0.0
8366defffffffff,10.0,0.0,6.0
83814afffffffff,1.0,1.0,0.0
838a05fffffffff,1.0,0.0,0.0
838a4efffffffff,1.0,0.0,0.0
838af2fffffffff,1.0,1.0,0.0
838af6fffffffff,4.0,4.0,0.0
838b44fffffffff,3.0,0.0,3.0
838b5cfffffffff,6.0,0.0,6.0
838b61fffffffff,9.0,0.0,9.0
838b69fffffffff,4.0,0.0,0.0
838b9dfffffffff,1.0,0.0,1.0
838f72fffffffff,1.0,0.0,0.0
