cell_id,Arremon flavirostris,Arremon flavirostris polionotus,Arremon flavirostris flavirostris
828127fffffffff,124.0,0.0,21.0
82812ffffffffff,8.0,0.0,0.0
828167fffffffff,1.0,0.0,0.0
828b27fffffffff,7.0,0.0,0.0
828b37fffffffff,9.0,0.0,0.0
828ba7fffffffff,3.0,0.0,0.0
828bb7fffffffff,285.0,35.0,0.0
82a807fffffffff,10.0,0.0,0.0
82a80ffffffffff,34.0,0.0,0.0
82a817fffffffff,32.0,0.0,0.0
82a81ffffffffff,1464.0,3.0,6.0
82a827fffffffff,2.0,0.0,0.0
82a82ffffffffff,25.0,4.0,0.0
82a837fffffffff,1.0,0.0,0.0
82a847fffffffff,147.0,5.0,0.0
82a84ffffffffff,3.0,0.0,0.0
82a857fffffffff,14.0,0.0,0.0
82a85ffffffffff,197.0,7.0,0.0
82a867fffffffff,72.0,0.0,0.0
82a877fffffffff,9.0,1.0,0.0
82a887fffffffff,69.0,0.0,26.0
82a88ffffffffff,88.0,0.0,15.0
82a8affffffffff,137.0,0.0,34.0
82a8c7fffffffff,19.0,0.0,0.0
82a8d7fffffffff,206.0,0.0,57.0
82a8dffffffffff,66.0,0.0,5.0
82a8effffffffff,2.0,0.0,0.0
82a8f7fffffffff,39.0,0.0,2.0
82a947fffffffff,443.0,0.0,0.0
82a94ffffffffff,267.0,0.0,0.0
82a957fffffffff,734.0,23.0,0.0
82a95ffffffffff,63.0,0.0,0.0
82a967fffffffff,97.0,0.0,0.0
82a96ffffffffff,444.0,0.0,0.0
82b26ffffffffff,18.0,0.0,0.0
82b34ffffffffff,5.0,0.0,0.0
82b36ffffffffff,2.0,0.0,0.0
82c2cffffffffff,17.0,0.0,0.0
