cell_id,Geophaps plumifera,Geophaps plumifera ferruginea,Geophaps plumifera plumifera/leucogaster
84945e5ffffffff,1.0,0.0,0.0
8494893ffffffff,3.0,0.0,0.0
84948e5ffffffff,3.0,0.0,0.0
84948edffffffff,12.0,7.0,0.0
8494923ffffffff,6.0,0.0,0.0
8494925ffffffff,2.0,0.0,0.0
8494c17ffffffff,4.0,0.0,0.0
8494c49ffffffff,38.0,0.0,7.0
8494c4bffffffff,3.0,0.0,0.0
8494c4dffffffff,2.0,0.0,0.0
8494c53ffffffff,2.0,0.0,0.0
8494c5bffffffff,2.0,0.0,0.0
8494c61ffffffff,5.0,0.0,0.0
8494c69ffffffff,2.0,0.0,0.0
8494c6dffffffff,10.0,0.0,0.0
8494c97ffffffff,1.0,0.0,0.0
8494cc9ffffffff,5.0,0.0,0.0
8494d01ffffffff,1.0,0.0,0.0
8494d43ffffffff,4.0,0.0,0.0
8494d45ffffffff,3.0,0.0,0.0
8494d51ffffffff,2.0,0.0,0.0
8494d5dffffffff,24.0,0.0,0.0
8494e21ffffffff,24.0,0.0,1.0
8494e23ffffffff,1.0,0.0,0.0
8494e27ffffffff,1.0,0.0,0.0
8494e29ffffffff,17.0,0.0,0.0
8494e2bffffffff,9.0,0.0,2.0
8494e2dffffffff,9.0,0.0,0.0
8494e31ffffffff,1.0,0.0,0.0
8494e35ffffffff,12.0,0.0,0.0
8494e85ffffffff,4.0,0.0,0.0
8494ea1ffffffff,5.0,0.0,0.0
8494ea3ffffffff,2.0,0.0,0.0
8494eb5ffffffff,9.0,0.0,0.0
8494ee1ffffffff,5.0,0.0,0.0
8494ee7ffffffff,15.0,0.0,0.0
8494f13ffffffff,1.0,0.0,0.0
8494f21ffffffff,25.0,0.0,0.0
8494f29ffffffff,1.0,0.0,0.0
8494f51ffffffff,1.0,0.0,0.0
8494f53ffffffff,5.0,0.0,2.0
8494f63ffffffff,3.0,0.0,2.0
8494f65ffffffff,7.0,0.0,2.0
8494f67ffffffff,1.0,0.0,0.0
849c2cbffffffff,3.0,0.0,0.0
849c2ddffffffff,15.0,0.0,0.0
849c417ffffffff,5.0,0.0,0.0
849c419ffffffff,1.0,0.0,0.0
849c443ffffffff,2.0,0.0,0.0
849c487ffffffff,2.0,0.0,0.0
849c4a3ffffffff,3.0,0.0,0.0
849c4bdffffffff,2.0,0.0,0.0
849c4e5ffffffff,1.0,0.0,0.0
849c605ffffffff,12.0,0.0,0.0
849c60dffffffff,8.0,0.0,0.0
849c641ffffffff,2.0,0.0,0.0
849c643ffffffff,1.0,0.0,0.0
849c647ffffffff,5.0,0.0,0.0
849c649ffffffff,38.0,0.0,0.0
849c64bffffffff,3.0,0.0,0.0
849c693ffffffff,9.0,0.0,0.0
849c69bffffffff,3.0,0.0,0.0
849d401ffffffff,2.0,0.0,0.0
849d407ffffffff,4.0,0.0,0.0
849d40dffffffff,3.0,0.0,0.0
849d419ffffffff,4.0,0.0,0.0
849d41bffffffff,9.0,0.0,0.0
849d41dffffffff,3.0,0.0,0.0
849d433ffffffff,2.0,0.0,0.0
849d441ffffffff,6.0,0.0,0.0
849d443ffffffff,101.0,0.0,0.0
849d445ffffffff,3.0,0.0,0.0
849d447ffffffff,71.0,0.0,0.0
849d449ffffffff,1.0,0.0,0.0
849d44bffffffff,52.0,0.0,0.0
849d451ffffffff,3.0,0.0,0.0
849d455ffffffff,2.0,0.0,0.0
849d459ffffffff,9.0,0.0,0.0
849d45bffffffff,12.0,0.0,0.0
849d45dffffffff,1.0,0.0,0.0
849d46bffffffff,117.0,0.0,0.0
849d481ffffffff,3.0,0.0,0.0
849d48dffffffff,12.0,0.0,0.0
849d495ffffffff,2.0,0.0,0.0
849d4a1ffffffff,254.0,0.0,0.0
849d4a3ffffffff,21.0,0.0,0.0
849d4a7ffffffff,10.0,0.0,0.0
849d4a9ffffffff,2.0,0.0,0.0
849d4abffffffff,17.0,0.0,0.0
849d4adffffffff,17.0,0.0,0.0
849d4c1ffffffff,7.0,0.0,0.0
849d4c7ffffffff,3.0,0.0,0.0
849d4c9ffffffff,13.0,0.0,0.0
849d4e7ffffffff,2.0,0.0,0.0
849d583ffffffff,2.0,0.0,0.0
849d58bffffffff,1.0,0.0,0.0
849d595ffffffff,4.0,0.0,0.0
849d599ffffffff,1.0,0.0,0.0
849d5d3ffffffff,1.0,0.0,0.0
849d5d5ffffffff,2.0,0.0,0.0
849d5d9ffffffff,8.0,0.0,0.0
849d5dbffffffff,36.0,0.0,0.0
849d5ddffffffff,2.0,0.0,0.0
849d601ffffffff,17.0,0.0,0.0
849d60bffffffff,5.0,0.0,0.0
849d619ffffffff,2.0,0.0,0.0
849d61bffffffff,3.0,0.0,0.0
849d61dffffffff,6.0,0.0,0.0
849d625ffffffff,1.0,0.0,0.0
849d62bffffffff,3.0,0.0,0.0
849d637ffffffff,10.0,0.0,0.0
849d63dffffffff,14.0,0.0,0.0
849d655ffffffff,6.0,0.0,0.0
849d657ffffffff,7.0,0.0,0.0
849d65dffffffff,2.0,0.0,0.0
849d695ffffffff,2.0,0.0,0.0
849d6a1ffffffff,2.0,0.0,0.0
849d6a3ffffffff,2.0,0.0,0.0
849d6a7ffffffff,6.0,0.0,0.0
849d6a9ffffffff,4.0,0.0,0.0
849d6b5ffffffff,5.0,0.0,0.0
849d6dbffffffff,14.0,0.0,0.0
849d6e5ffffffff,1.0,0.0,0.0
849d6e7ffffffff,17.0,0.0,0.0
84a6103ffffffff,2.0,2.0,0.0
84a611dffffffff,2.0,0.0,0.0
84a6129ffffffff,21.0,0.0,0.0
84a612dffffffff,5.0,0.0,0.0
84a6141ffffffff,1.0,0.0,0.0
84a6167ffffffff,16.0,0.0,0.0
84a6309ffffffff,1.0,0.0,0.0
84a630dffffffff,1.0,0.0,0.0
84a631dffffffff,8.0,0.0,0.0
84a6a43ffffffff,4.0,0.0,0.0
84a6a4bffffffff,2.0,0.0,0.0
84a6a4dffffffff,14.0,0.0,0.0
84a6a59ffffffff,2.0,0.0,0.0
84a6a5dffffffff,11.0,0.0,0.0
84a6a61ffffffff,45.0,4.0,0.0
84a6a63ffffffff,5.0,2.0,0.0
84a6a65ffffffff,2.0,0.0,0.0
84a6a69ffffffff,3.0,0.0,0.0
