cell_id,Chloris sinica,Chloris sinica [sinica Group],Chloris sinica kittlitzi
8414813ffffffff,5.0,0.0,0.0
84148c5ffffffff,2.0,0.0,0.0
8414963ffffffff,2.0,0.0,0.0
84149adffffffff,20.0,0.0,0.0
84149e7ffffffff,2.0,0.0,0.0
8414a65ffffffff,1.0,0.0,0.0
8414a8dffffffff,2.0,0.0,0.0
8414ae5ffffffff,54.0,0.0,0.0
8414aedffffffff,2.0,0.0,0.0
8414c81ffffffff,1.0,0.0,0.0
8414c87ffffffff,4.0,0.0,0.0
8414d65ffffffff,2.0,0.0,0.0
84158e5ffffffff,2.0,0.0,0.0
841598bffffffff,8.0,1.0,0.0
841599dffffffff,2.0,1.0,0.0
8415b07ffffffff,2.0,0.0,0.0
8416161ffffffff,25.0,0.0,0.0
8416163ffffffff,6.0,0.0,0.0
8416165ffffffff,1.0,0.0,0.0
8416167ffffffff,2.0,0.0,0.0
841616bffffffff,1.0,0.0,0.0
8416a0bffffffff,1.0,0.0,0.0
8416a5bffffffff,1.0,0.0,0.0
84171a7ffffffff,20.0,0.0,0.0
8417427ffffffff,12.0,0.0,0.0
8417509ffffffff,8.0,0.0,0.0
841756bffffffff,11.0,0.0,0.0
84178b3ffffffff,2.0,0.0,0.0
84178b7ffffffff,1.0,0.0,0.0
84244c1ffffffff,1.0,0.0,0.0
8424567ffffffff,2.0,0.0,0.0
84245a7ffffffff,1.0,0.0,0.0
842460dffffffff,3.0,0.0,0.0
842462bffffffff,3.0,0.0,0.0
8424663ffffffff,2.0,0.0,0.0
8424837ffffffff,2.0,0.0,0.0
8424883ffffffff,2.0,0.0,0.0
8424895ffffffff,1.0,0.0,0.0
84248a3ffffffff,11.0,0.0,0.0
84248a7ffffffff,3.0,0.0,0.0
84248b1ffffffff,29.0,0.0,0.0
84248b3ffffffff,2.0,0.0,0.0
84248b9ffffffff,64.0,0.0,0.0
84248bbffffffff,18.0,0.0,0.0
84248c1ffffffff,7.0,0.0,0.0
84248cbffffffff,1.0,0.0,0.0
84249d9ffffffff,2.0,0.0,0.0
84249dbffffffff,4.0,0.0,0.0
8424ab5ffffffff,4.0,0.0,0.0
8424aedffffffff,1.0,0.0,0.0
8424c05ffffffff,7.0,0.0,0.0
8424c0dffffffff,4.0,0.0,0.0
8424c63ffffffff,19.0,0.0,0.0
8424cddffffffff,2.0,0.0,0.0
8424d05ffffffff,3.0,0.0,0.0
8424d19ffffffff,3.0,0.0,0.0
8424d23ffffffff,6.0,0.0,0.0
8424d2bffffffff,3.0,0.0,0.0
8424d6dffffffff,19.0,0.0,0.0
8424de3ffffffff,2.0,0.0,0.0
8424de7ffffffff,2.0,0.0,0.0
84255a7ffffffff,2.0,0.0,0.0
842e08dffffffff,2.0,0.0,0.0
842e0a1ffffffff,1.0,0.0,0.0
842e0a9ffffffff,1.0,0.0,0.0
842e0abffffffff,1.0,0.0,0.0
842e0adffffffff,4.0,0.0,0.0
842e0c9ffffffff,15.0,0.0,0.0
842e0d7ffffffff,97.0,0.0,0.0
842e0e7ffffffff,3.0,0.0,0.0
842e123ffffffff,2.0,0.0,0.0
842e127ffffffff,6.0,0.0,0.0
842e135ffffffff,14.0,1.0,0.0
842e137ffffffff,9.0,0.0,0.0
842e187ffffffff,3.0,0.0,0.0
842e191ffffffff,10.0,0.0,0.0
842e1a3ffffffff,5.0,0.0,0.0
842e1a5ffffffff,15.0,0.0,0.0
842e1a7ffffffff,7.0,0.0,0.0
842e1b1ffffffff,16.0,0.0,0.0
842e1b5ffffffff,52.0,1.0,0.0
842e1b7ffffffff,7.0,0.0,0.0
842e1b9ffffffff,8.0,0.0,0.0
842e1bbffffffff,4.0,0.0,0.0
842e1bdffffffff,12.0,0.0,0.0
842e1e5ffffffff,1.0,0.0,0.0
842e1e7ffffffff,7.0,0.0,0.0
842e293ffffffff,1.0,0.0,0.0
842e297ffffffff,2.0,0.0,0.0
842e299ffffffff,24.0,0.0,0.0
842e29bffffffff,7.0,0.0,0.0
842e2b5ffffffff,5.0,0.0,0.0
842e2b7ffffffff,2.0,0.0,0.0
842e2bbffffffff,1.0,0.0,0.0
842e2dbffffffff,9.0,0.0,0.0
842e449ffffffff,23.0,0.0,0.0
842e44dffffffff,17.0,0.0,0.0
842e46dffffffff,8.0,0.0,0.0
842e497ffffffff,2.0,0.0,0.0
842e601ffffffff,11.0,0.0,0.0
842e605ffffffff,11.0,0.0,0.0
842e607ffffffff,5.0,0.0,0.0
842e609ffffffff,8.0,0.0,0.0
842e60bffffffff,46.0,0.0,0.0
842e60dffffffff,2.0,0.0,0.0
842e611ffffffff,116.0,0.0,0.0
842e613ffffffff,4.0,0.0,0.0
842e615ffffffff,126.0,0.0,0.0
842e617ffffffff,4.0,0.0,0.0
842e619ffffffff,88.0,0.0,0.0
842e61bffffffff,3.0,0.0,0.0
842e61dffffffff,2.0,0.0,0.0
842e625ffffffff,4.0,0.0,0.0
842e627ffffffff,7.0,0.0,0.0
842e62dffffffff,10.0,0.0,0.0
842e631ffffffff,8.0,0.0,0.0
842e633ffffffff,2.0,0.0,0.0
842e639ffffffff,30.0,0.0,0.0
842e63bffffffff,1.0,0.0,0.0
842e63dffffffff,2.0,0.0,0.0
842e645ffffffff,2.0,0.0,0.0
842e655ffffffff,2.0,0.0,0.0
842e661ffffffff,4.0,0.0,0.0
842e665ffffffff,2.0,0.0,0.0
842e667ffffffff,2.0,0.0,0.0
842e669ffffffff,6.0,0.0,0.0
842e681ffffffff,2.0,0.0,0.0
842e687ffffffff,21.0,0.0,0.0
842e689ffffffff,459.0,0.0,0.0
842e68bffffffff,5.0,0.0,0.0
842e68dffffffff,3.0,0.0,0.0
842e699ffffffff,2.0,0.0,0.0
842e69bffffffff,5.0,0.0,0.0
