cell_id,Chalcites minutillus,Chalcites minutillus [minutillus Group],Chalcites minutillus [poecilurus Group],Chalcites minutillus rufomerus/salvadorii
826507fffffffff,10.0,0.0,0.0,0.0
82650ffffffffff,1.0,0.0,0.0,0.0
82651ffffffffff,72.0,0.0,0.0,0.0
826527fffffffff,40.0,0.0,0.0,0.0
826587fffffffff,1.0,0.0,0.0,0.0
826817fffffffff,8.0,0.0,0.0,0.0
82681ffffffffff,4.0,0.0,0.0,0.0
82682ffffffffff,4.0,0.0,0.0,0.0
826847fffffffff,2.0,0.0,0.0,0.0
829457fffffffff,1.0,0.0,0.0,0.0
829487fffffffff,2.0,2.0,0.0,0.0
8294effffffffff,2.0,2.0,0.0,0.0
82956ffffffffff,5.0,0.0,0.0,0.0
829c07fffffffff,1.0,0.0,0.0,0.0
829c0ffffffffff,1.0,1.0,0.0,0.0
829c27fffffffff,9.0,3.0,4.0,0.0
829cd7fffffffff,4.0,0.0,0.0,0.0
82be8ffffffffff,7.0,0.0,0.0,0.0
82beaffffffffff,5.0,0.0,0.0,0.0
82bef7fffffffff,7.0,0.0,0.0,0.0
