cell_id,Lonchura atricapilla,Lonchura atricapilla [atricapilla Group],Lonchura atricapilla formosana
823c17fffffffff,2.0,0.0,0.0
823c1ffffffffff,19.0,0.0,0.0
823c57fffffffff,5.0,0.0,0.0
823c5ffffffffff,185.0,0.0,0.0
823cc7fffffffff,53.0,0.0,0.0
823ccffffffffff,12.0,2.0,0.0
823cd7fffffffff,2.0,0.0,0.0
823cdffffffffff,2.0,0.0,0.0
823ce7fffffffff,90.0,0.0,0.0
823ceffffffffff,83.0,0.0,0.0
823cf7fffffffff,555.0,7.0,0.0
82404ffffffffff,35.0,0.0,0.0
82406ffffffffff,1.0,0.0,0.0
824167fffffffff,2.0,0.0,0.0
82416ffffffffff,15.0,0.0,0.0
8245b7fffffffff,17.0,0.0,0.0
82464ffffffffff,3913.0,0.0,0.0
824a97fffffffff,7.0,0.0,0.0
824b87fffffffff,146.0,0.0,0.0
824b97fffffffff,14.0,0.0,0.0
824b9ffffffffff,34.0,0.0,0.0
824ba7fffffffff,4128.0,0.0,0.0
824bb7fffffffff,147.0,0.0,0.0
825d17fffffffff,346.0,0.0,0.0
825e47fffffffff,3.0,0.0,0.0
826427fffffffff,2.0,0.0,0.0
826487fffffffff,5.0,0.0,0.0
82648ffffffffff,45.0,2.0,0.0
82649ffffffffff,7.0,0.0,0.0
8264a7fffffffff,388.0,166.0,0.0
8264affffffffff,4.0,0.0,0.0
8264b7fffffffff,88.0,10.0,0.0
826507fffffffff,146.0,0.0,0.0
82650ffffffffff,3.0,0.0,0.0
82651ffffffffff,142.0,51.0,0.0
826527fffffffff,485.0,0.0,0.0
82652ffffffffff,2.0,0.0,0.0
826587fffffffff,249.0,0.0,0.0
82658ffffffffff,945.0,281.0,0.0
826597fffffffff,3.0,0.0,0.0
82659ffffffffff,241.0,25.0,0.0
8265a7fffffffff,4.0,0.0,0.0
8265b7fffffffff,8.0,0.0,0.0
826737fffffffff,14.0,0.0,0.0
826807fffffffff,16.0,1.0,0.0
826817fffffffff,754.0,56.0,0.0
82681ffffffffff,637.0,43.0,0.0
82682ffffffffff,214.0,8.0,0.0
826847fffffffff,198.0,14.0,0.0
82684ffffffffff,82.0,6.0,0.0
826857fffffffff,11.0,0.0,0.0
82685ffffffffff,417.0,9.0,0.0
826867fffffffff,59.0,10.0,0.0
82686ffffffffff,2.0,0.0,0.0
826877fffffffff,32.0,2.0,0.0
82688ffffffffff,2.0,0.0,0.0
826897fffffffff,3.0,0.0,0.0
8268a7fffffffff,38.0,0.0,0.0
8268b7fffffffff,1.0,0.0,0.0
8268c7fffffffff,40.0,4.0,0.0
8268cffffffffff,264.0,38.0,0.0
8268d7fffffffff,146.0,63.0,0.0
8268dffffffffff,2.0,0.0,0.0
8268e7fffffffff,4.0,0.0,0.0
826947fffffffff,1445.0,10.0,5.0
82694ffffffffff,552.0,10.0,0.0
82695ffffffffff,63.0,0.0,0.0
82696ffffffffff,100.0,0.0,0.0
82731ffffffffff,151.0,0.0,0.0
827397fffffffff,34.0,0.0,0.0
828c97fffffffff,36.0,0.0,0.0
829507fffffffff,69.0,11.0,0.0
829527fffffffff,12.0,6.0,0.0
82952ffffffffff,2.0,0.0,0.0
829547fffffffff,42.0,0.0,0.0
82956ffffffffff,6.0,0.0,0.0
829e07fffffffff,56.0,0.0,0.0
829e17fffffffff,14.0,0.0,0.0
