cell_id,Sialia sialis,Sialia sialis sialis/bermudensis,Sialia sialis [guatemalae Group]
830e80fffffffff,1.0,0.0,0.0
830ec9fffffffff,2.0,0.0,0.0
830eccfffffffff,7.0,0.0,0.0
830ecdfffffffff,2.0,2.0,0.0
831251fffffffff,2.0,0.0,0.0
831253fffffffff,1.0,0.0,0.0
831254fffffffff,2.0,0.0,0.0
831259fffffffff,5.0,0.0,0.0
8312c1fffffffff,9.0,0.0,0.0
8312c9fffffffff,1.0,0.0,0.0
8312ecfffffffff,37.0,2.0,0.0
832601fffffffff,2.0,0.0,0.0
832603fffffffff,8.0,8.0,0.0
832604fffffffff,6.0,0.0,0.0
832609fffffffff,4.0,0.0,0.0
83260afffffffff,10.0,7.0,0.0
83260bfffffffff,5.0,3.0,0.0
83260efffffffff,17.0,17.0,0.0
832611fffffffff,4.0,0.0,0.0
832612fffffffff,4.0,0.0,0.0
832613fffffffff,1.0,0.0,0.0
832616fffffffff,2.0,0.0,0.0
832621fffffffff,8.0,0.0,0.0
832623fffffffff,9.0,0.0,0.0
832624fffffffff,2.0,0.0,0.0
832626fffffffff,4.0,0.0,0.0
83262cfffffffff,11.0,0.0,0.0
83262dfffffffff,2.0,0.0,0.0
832635fffffffff,4.0,0.0,0.0
832636fffffffff,4.0,0.0,0.0
832640fffffffff,4.0,0.0,0.0
832641fffffffff,6.0,0.0,0.0
832642fffffffff,3.0,0.0,0.0
832643fffffffff,1.0,0.0,0.0
832644fffffffff,3.0,0.0,0.0
832645fffffffff,1.0,0.0,0.0
832646fffffffff,16.0,0.0,0.0
832648fffffffff,15.0,5.0,0.0
832649fffffffff,6.0,4.0,0.0
83264afffffffff,20.0,9.0,0.0
83264bfffffffff,7.0,4.0,0.0
83264cfffffffff,17.0,12.0,0.0
83264dfffffffff,17.0,4.0,0.0
83264efffffffff,15.0,3.0,0.0
832651fffffffff,1.0,0.0,0.0
832652fffffffff,1.0,0.0,0.0
832653fffffffff,4.0,0.0,0.0
832654fffffffff,25.0,0.0,0.0
832655fffffffff,21.0,0.0,0.0
832656fffffffff,36.0,0.0,0.0
