cell_id,Cinnyris osea,Cinnyris osea decorsei,Cinnyris osea osea
832da2fffffffff,27.0,0.0,0.0
832db0fffffffff,5411.0,0.0,1148.0
832db1fffffffff,1123.0,0.0,235.0
832db2fffffffff,2237.0,0.0,484.0
832db3fffffffff,53.0,0.0,6.0
832db5fffffffff,2.0,0.0,0.0
832db6fffffffff,675.0,0.0,108.0
833e5cfffffffff,1.0,0.0,0.0
833e65fffffffff,1.0,0.0,0.0
833e68fffffffff,2582.0,0.0,340.0
833e6afffffffff,18.0,0.0,0.0
833e6cfffffffff,1767.0,0.0,335.0
833e6dfffffffff,39.0,0.0,0.0
835202fffffffff,151.0,0.0,0.0
835206fffffffff,120.0,0.0,0.0
835211fffffffff,2.0,0.0,0.0
835215fffffffff,22.0,0.0,0.0
83521bfffffffff,2.0,0.0,0.0
83521cfffffffff,15.0,0.0,0.0
835230fffffffff,21.0,0.0,0.0
835233fffffffff,4.0,0.0,0.0
835234fffffffff,12.0,0.0,0.0
83524dfffffffff,31.0,0.0,2.0
835313fffffffff,2.0,0.0,0.0
835332fffffffff,2.0,0.0,0.0
835336fffffffff,4.0,0.0,0.0
836330fffffffff,2.0,0.0,0.0
836332fffffffff,217.0,0.0,39.0
