cell_id,Pterorhinus chinensis,Pterorhinus chinensis [chinensis Group],Pterorhinus chinensis monachus
844ba1dffffffff,3.0,0.0,0.0
844ba29ffffffff,1.0,0.0,0.0
846520dffffffff,5.0,0.0,0.0
8465263ffffffff,3.0,0.0,0.0
8495a4dffffffff,2.0,0.0,0.0
