cell_id,Niltava grandis,Niltava grandis [grandis Group],Niltava grandis decorata
823c07fffffffff,29.0,0.0,0.0
823c0ffffffffff,277.0,0.0,0.0
823c1ffffffffff,384.0,0.0,0.0
823c37fffffffff,10.0,0.0,0.0
823c57fffffffff,470.0,0.0,0.0
823c5ffffffffff,489.0,0.0,0.0
823cc7fffffffff,16.0,0.0,0.0
823cdffffffffff,32.0,0.0,0.0
823ce7fffffffff,283.0,0.0,0.0
823ceffffffffff,214.0,0.0,0.0
82402ffffffffff,2.0,0.0,0.0
824047fffffffff,2.0,0.0,0.0
82404ffffffffff,562.0,3.0,0.0
82405ffffffffff,12.0,0.0,0.0
824067fffffffff,16.0,0.0,0.0
82406ffffffffff,43.0,0.0,0.0
824077fffffffff,1.0,0.0,0.0
824147fffffffff,7.0,0.0,0.0
82414ffffffffff,26.0,0.0,0.0
82415ffffffffff,32.0,0.0,0.0
826487fffffffff,657.0,4.0,0.0
826497fffffffff,514.0,2.0,0.0
82649ffffffffff,8.0,0.0,0.0
8264a7fffffffff,4.0,0.0,0.0
8264b7fffffffff,23.0,0.0,0.0
826507fffffffff,506.0,0.0,0.0
82650ffffffffff,11.0,0.0,0.0
826557fffffffff,40.0,0.0,0.0
826587fffffffff,16.0,0.0,0.0
8265b7fffffffff,280.0,0.0,4.0
826937fffffffff,23.0,0.0,0.0
828cd7fffffffff,54.0,1.0,0.0
