cell_id,Megascops watsonii,Megascops watsonii watsonii,Megascops watsonii usta
835f01fffffffff,2.0,0.0,0.0
835f03fffffffff,23.0,1.0,0.0
835f08fffffffff,2.0,0.0,0.0
835f09fffffffff,3.0,0.0,0.0
835f10fffffffff,6.0,0.0,0.0
835f11fffffffff,2.0,0.0,0.0
835f12fffffffff,2.0,0.0,0.0
835f13fffffffff,1.0,0.0,0.0
835f14fffffffff,3.0,0.0,0.0
835f15fffffffff,2.0,0.0,0.0
835f2bfffffffff,216.0,0.0,0.0
835f2dfffffffff,2.0,0.0,0.0
835f40fffffffff,3.0,0.0,0.0
835f46fffffffff,1.0,0.0,0.0
835f68fffffffff,11.0,0.0,0.0
835f71fffffffff,2.0,0.0,0.0
836641fffffffff,21.0,0.0,0.0
836651fffffffff,3.0,0.0,0.0
83665afffffffff,22.0,0.0,0.0
83665bfffffffff,3.0,0.0,0.0
83666bfffffffff,1.0,0.0,0.0
83666efffffffff,10.0,0.0,0.0
8366c0fffffffff,1.0,0.0,0.0
8366c1fffffffff,5.0,0.0,0.0
8366c2fffffffff,80.0,0.0,0.0
8366c5fffffffff,39.0,0.0,0.0
8366c9fffffffff,2.0,0.0,0.0
8366cefffffffff,50.0,0.0,0.0
8366d8fffffffff,105.0,11.0,0.0
8366dafffffffff,1.0,0.0,0.0
8366dbfffffffff,20.0,2.0,0.0
8366dcfffffffff,735.0,83.0,0.0
8366ddfffffffff,79.0,22.0,0.0
8366defffffffff,68.0,7.0,0.0
8366e0fffffffff,2.0,0.0,0.0
8366e3fffffffff,13.0,0.0,0.0
8366e8fffffffff,8.0,0.0,0.0
8366e9fffffffff,14.0,0.0,0.0
8366eafffffffff,2.0,0.0,0.0
8366ecfffffffff,19.0,0.0,0.0
8366eefffffffff,31.0,0.0,0.0
838046fffffffff,3.0,0.0,2.0
838061fffffffff,4.0,0.0,4.0
838065fffffffff,8.0,0.0,8.0
838068fffffffff,1.0,0.0,0.0
83806afffffffff,2.0,0.0,0.0
83806bfffffffff,2.0,0.0,0.0
838074fffffffff,4.0,0.0,4.0
838075fffffffff,1.0,0.0,1.0
838143fffffffff,1.0,0.0,1.0
838144fffffffff,2.0,0.0,2.0
838145fffffffff,17.0,0.0,17.0
83814afffffffff,26.0,0.0,19.0
83814bfffffffff,1.0,0.0,1.0
83814dfffffffff,23.0,4.0,17.0
83814efffffffff,26.0,0.0,20.0
838158fffffffff,2.0,0.0,2.0
83815afffffffff,1.0,0.0,0.0
83815cfffffffff,2.0,0.0,2.0
83815dfffffffff,24.0,0.0,20.0
83815efffffffff,1.0,0.0,1.0
838163fffffffff,43.0,0.0,43.0
838a00fffffffff,6.0,0.0,5.0
838a01fffffffff,7.0,0.0,7.0
838a04fffffffff,4.0,0.0,4.0
838a05fffffffff,24.0,0.0,19.0
838a10fffffffff,26.0,0.0,2.0
838a13fffffffff,2.0,0.0,0.0
838a14fffffffff,4.0,0.0,0.0
838a15fffffffff,3.0,0.0,2.0
838a1afffffffff,10.0,0.0,10.0
838a21fffffffff,6.0,0.0,4.0
838a23fffffffff,3.0,0.0,3.0
838a24fffffffff,18.0,0.0,18.0
838a31fffffffff,17.0,0.0,17.0
838a33fffffffff,12.0,0.0,8.0
838a45fffffffff,74.0,0.0,0.0
838a4bfffffffff,4.0,0.0,0.0
838a4cfffffffff,1.0,0.0,0.0
838a4dfffffffff,6.0,0.0,0.0
838a63fffffffff,24.0,2.0,2.0
838a68fffffffff,6.0,0.0,0.0
838a69fffffffff,131.0,0.0,0.0
838a6dfffffffff,131.0,0.0,0.0
838a73fffffffff,3.0,0.0,3.0
838a80fffffffff,9.0,0.0,7.0
838a82fffffffff,2.0,0.0,0.0
838a90fffffffff,2.0,0.0,2.0
838a92fffffffff,3.0,0.0,0.0
838a9cfffffffff,13.0,0.0,13.0
838aa8fffffffff,16.0,0.0,0.0
838aa9fffffffff,6.0,0.0,4.0
838aaafffffffff,17.0,0.0,0.0
838aacfffffffff,2.0,0.0,0.0
838ad1fffffffff,4.0,0.0,0.0
838adcfffffffff,15.0,0.0,0.0
838ae5fffffffff,5.0,0.0,0.0
838af0fffffffff,21.0,0.0,5.0
838af2fffffffff,42.0,6.0,0.0
838af4fffffffff,6.0,2.0,0.0
838af6fffffffff,112.0,24.0,1.0
838b00fffffffff,2.0,0.0,0.0
838b0cfffffffff,1.0,0.0,1.0
838b11fffffffff,3.0,0.0,0.0
838b21fffffffff,2.0,0.0,0.0
838b22fffffffff,37.0,0.0,6.0
838b26fffffffff,1.0,0.0,0.0
838b2cfffffffff,3.0,0.0,0.0
838b2efffffffff,12.0,0.0,0.0
838b31fffffffff,16.0,0.0,2.0
838b40fffffffff,38.0,0.0,2.0
838b42fffffffff,9.0,0.0,2.0
838b44fffffffff,288.0,0.0,41.0
838b45fffffffff,11.0,0.0,0.0
838b46fffffffff,25.0,0.0,0.0
838b48fffffffff,3.0,0.0,1.0
838b4efffffffff,9.0,0.0,9.0
838b51fffffffff,26.0,0.0,16.0
838b52fffffffff,6.0,0.0,1.0
838b53fffffffff,4.0,0.0,2.0
838b55fffffffff,1.0,0.0,1.0
838b56fffffffff,5.0,0.0,0.0
838b5cfffffffff,8.0,0.0,1.0
838b5dfffffffff,4.0,0.0,4.0
838b61fffffffff,628.0,0.0,31.0
838b62fffffffff,43.0,0.0,4.0
838b63fffffffff,393.0,0.0,26.0
838b68fffffffff,6.0,0.0,0.0
838b69fffffffff,38.0,0.0,0.0
838b6cfffffffff,2.0,0.0,0.0
838b6efffffffff,142.0,0.0,3.0
838b70fffffffff,1.0,0.0,1.0
838b71fffffffff,353.0,0.0,16.0
838b74fffffffff,32.0,0.0,7.0
838b75fffffffff,7.0,0.0,5.0
838b76fffffffff,1.0,0.0,0.0
838b82fffffffff,5.0,0.0,4.0
838b83fffffffff,1.0,0.0,1.0
838b84fffffffff,55.0,0.0,35.0
838b88fffffffff,18.0,0.0,3.0
838b8afffffffff,2.0,0.0,2.0
838b96fffffffff,1.0,0.0,1.0
838b99fffffffff,67.0,0.0,27.0
838b9dfffffffff,259.0,0.0,43.0
838ba0fffffffff,12.0,0.0,8.0
838ba4fffffffff,2.0,0.0,0.0
838ba6fffffffff,3.0,0.0,0.0
838e65fffffffff,1.0,0.0,0.0
838f40fffffffff,39.0,0.0,0.0
838f43fffffffff,1.0,0.0,0.0
838f44fffffffff,11.0,0.0,0.0
838f46fffffffff,14.0,0.0,0.0
838f48fffffffff,47.0,0.0,0.0
838f4afffffffff,2.0,0.0,0.0
838f4bfffffffff,1.0,0.0,0.0
838f60fffffffff,1.0,0.0,0.0
838f61fffffffff,2.0,0.0,0.0
838f63fffffffff,3.0,0.0,0.0
838f65fffffffff,7.0,0.0,0.0
838f6afffffffff,1.0,0.0,0.0
838f6bfffffffff,8.0,0.0,2.0
838f6efffffffff,5.0,0.0,0.0
838f71fffffffff,6.0,0.0,0.0
838f74fffffffff,18.0,0.0,0.0
83a859fffffffff,4.0,0.0,1.0
83a8c9fffffffff,2.0,0.0,2.0
