cell_id,Chaetura spinicaudus,Chaetura spinicaudus aetherodroma,Chaetura spinicaudus spinicaudus,Chaetura spinicaudus aethalea
825f4ffffffffff,1.0,0.0,0.0,0.0
826617fffffffff,22.0,0.0,0.0,0.0
82661ffffffffff,4.0,0.0,0.0,0.0
8266a7fffffffff,76.0,0.0,0.0,0.0
8266d7fffffffff,6.0,0.0,0.0,0.0
8266e7fffffffff,5.0,0.0,0.0,0.0
828187fffffffff,4.0,0.0,0.0,0.0
828a07fffffffff,1.0,0.0,0.0,1.0
828aaffffffffff,2.0,0.0,0.0,0.0
828b8ffffffffff,1.0,0.0,0.0,0.0
828f0ffffffffff,1.0,0.0,0.0,0.0
828f2ffffffffff,3.0,0.0,0.0,0.0
