cell_id,Pteruthius xanthochlorus,Pteruthius xanthochlorus xanthochlorus/occidentalis,Pteruthius xanthochlorus pallidus/hybrida
82209ffffffffff,1.0,0.0,0.0
823c07fffffffff,74.0,0.0,0.0
823c0ffffffffff,295.0,13.0,0.0
823c1ffffffffff,70.0,0.0,0.0
823c37fffffffff,13.0,0.0,0.0
823c47fffffffff,7.0,1.0,0.0
823c57fffffffff,386.0,0.0,0.0
823c5ffffffffff,136.0,0.0,0.0
823cc7fffffffff,15.0,0.0,0.0
823cdffffffffff,66.0,0.0,16.0
823ce7fffffffff,69.0,9.0,0.0
823ceffffffffff,23.0,0.0,0.0
823d17fffffffff,68.0,0.0,0.0
823d1ffffffffff,185.0,0.0,0.0
823daffffffffff,75.0,0.0,0.0
82400ffffffffff,1.0,0.0,0.0
824047fffffffff,23.0,0.0,3.0
82404ffffffffff,20.0,0.0,2.0
82405ffffffffff,11.0,0.0,1.0
824067fffffffff,1.0,0.0,0.0
82408ffffffffff,9.0,0.0,0.0
8240c7fffffffff,43.0,0.0,0.0
8240e7fffffffff,13.0,0.0,0.0
8240effffffffff,43.0,0.0,0.0
824187fffffffff,2.0,0.0,0.0
824197fffffffff,5.0,0.0,0.0
82419ffffffffff,1.0,0.0,0.0
8241b7fffffffff,6.0,0.0,0.0
826937fffffffff,3.0,0.0,1.0
