cell_id,Megascops guatemalae,Megascops guatemalae [guatemalae Group],Megascops guatemalae vermiculatus
84450adffffffff,7.0,0.0,0.0
8445233ffffffff,2.0,0.0,0.0
844525bffffffff,24.0,14.0,0.0
8445281ffffffff,1.0,1.0,0.0
84452a1ffffffff,2.0,0.0,0.0
84452a9ffffffff,11.0,5.0,0.0
84452adffffffff,5.0,0.0,0.0
84452c7ffffffff,7.0,0.0,0.0
84452e1ffffffff,20.0,3.0,0.0
84452e3ffffffff,19.0,0.0,0.0
84452ebffffffff,2.0,0.0,0.0
8449969ffffffff,1.0,0.0,0.0
84499cdffffffff,1.0,0.0,0.0
8449b0bffffffff,3.0,0.0,0.0
8449b53ffffffff,2.0,0.0,0.0
8466b49ffffffff,7.0,0.0,0.0
8467961ffffffff,5.0,0.0,0.0
84679a5ffffffff,10.0,1.0,6.0
84679a7ffffffff,1.0,0.0,0.0
846d21bffffffff,2.0,2.0,0.0
846d2d1ffffffff,12.0,0.0,0.0
846d2d3ffffffff,9.0,9.0,0.0
846d2d7ffffffff,2.0,2.0,0.0
846d30dffffffff,2.0,2.0,0.0
846d337ffffffff,3.0,0.0,0.0
846d33dffffffff,1.0,0.0,0.0
846d36dffffffff,1.0,1.0,0.0
846d645ffffffff,1.0,0.0,0.0
846d691ffffffff,7.0,0.0,4.0
846d69dffffffff,37.0,0.0,0.0
846d6bbffffffff,1.0,0.0,0.0
846d6d3ffffffff,2.0,0.0,0.0
