cell_id,Contopus pertinax,Contopus pertinax pertinax,Contopus pertinax minor
822837fffffffff,1.0,0.0,0.0
822917fffffffff,5.0,0.0,0.0
82291ffffffffff,2.0,0.0,0.0
822987fffffffff,3.0,0.0,0.0
8229a7fffffffff,344.0,2.0,0.0
8229affffffffff,1.0,0.0,0.0
8229b7fffffffff,36.0,0.0,0.0
82446ffffffffff,335.0,0.0,0.0
824527fffffffff,4.0,0.0,0.0
824817fffffffff,2.0,0.0,0.0
824837fffffffff,13.0,2.0,0.0
82485ffffffffff,4.0,0.0,0.0
82488ffffffffff,2.0,0.0,0.0
824897fffffffff,140.0,0.0,0.0
82489ffffffffff,7.0,0.0,0.0
8248b7fffffffff,143.0,0.0,0.0
8248c7fffffffff,23.0,0.0,0.0
8248cffffffffff,47.0,0.0,0.0
8248dffffffffff,51.0,0.0,0.0
8248e7fffffffff,2.0,0.0,0.0
8248effffffffff,873.0,5.0,0.0
8248f7fffffffff,2.0,0.0,0.0
824987fffffffff,6.0,1.0,0.0
82498ffffffffff,1.0,0.0,0.0
824997fffffffff,45.0,13.0,0.0
82499ffffffffff,2.0,2.0,0.0
8249affffffffff,2.0,0.0,0.0
8249b7fffffffff,22.0,7.0,0.0
826797fffffffff,13.0,0.0,0.0
826d17fffffffff,2.0,2.0,0.0
826d27fffffffff,6.0,0.0,0.0
826d2ffffffffff,5.0,0.0,0.0
826d37fffffffff,15.0,0.0,0.0
826d67fffffffff,1.0,0.0,0.0
