cell_id,Hypsipetes ganeesa,Hypsipetes ganeesa ganeesa,Hypsipetes ganeesa humii
8342dbfffffffff,3.0,0.0,0.0
836002fffffffff,148.0,0.0,0.0
836006fffffffff,1070.0,0.0,0.0
836010fffffffff,4.0,0.0,0.0
836011fffffffff,596.0,0.0,0.0
836013fffffffff,35.0,0.0,0.0
836015fffffffff,790.0,0.0,0.0
83601efffffffff,49.0,0.0,0.0
836022fffffffff,24.0,0.0,0.0
836026fffffffff,677.0,0.0,0.0
836030fffffffff,356.0,0.0,0.0
836031fffffffff,4868.0,0.0,0.0
836033fffffffff,1322.0,0.0,0.0
836035fffffffff,1536.0,0.0,0.0
836088fffffffff,179.0,0.0,0.0
83608afffffffff,92.0,0.0,0.0
83608bfffffffff,99.0,0.0,0.0
83608cfffffffff,5.0,0.0,0.0
83608dfffffffff,33.0,0.0,0.0
83608efffffffff,1.0,0.0,0.0
8360a9fffffffff,461.0,0.0,0.0
8360abfffffffff,13.0,0.0,0.0
8360adfffffffff,88.0,0.0,0.0
836100fffffffff,2.0,0.0,2.0
836102fffffffff,1653.0,0.0,595.0
836103fffffffff,51.0,0.0,20.0
836111fffffffff,89.0,0.0,32.0
836115fffffffff,16.0,0.0,2.0
83611cfffffffff,36.0,0.0,6.0
