cell_id,Podargus ocellatus,Podargus ocellatus [ocellatus Group],Podargus ocellatus plumiferus
8372a2fffffffff,9.0,0.0,0.0
8372d2fffffffff,26.0,1.0,0.0
8372d9fffffffff,7.0,1.0,0.0
8372dbfffffffff,1.0,0.0,0.0
8372dcfffffffff,1.0,1.0,0.0
8372defffffffff,1.0,0.0,0.0
8372f2fffffffff,94.0,1.0,0.0
8372f3fffffffff,1.0,0.0,0.0
837398fffffffff,6.0,0.0,0.0
83739afffffffff,124.0,13.0,0.0
83739bfffffffff,36.0,11.0,0.0
839c0afffffffff,2.0,0.0,0.0
839c19fffffffff,212.0,19.0,0.0
839c85fffffffff,6.0,0.0,0.0
839c8bfffffffff,1.0,0.0,0.0
839c8efffffffff,1.0,0.0,0.0
839c99fffffffff,3.0,0.0,0.0
839c9dfffffffff,11.0,0.0,0.0
839caafffffffff,7.0,2.0,0.0
839caefffffffff,6.0,2.0,0.0
839cb5fffffffff,13.0,0.0,0.0
839cc2fffffffff,1.0,1.0,0.0
839cd2fffffffff,5.0,1.0,0.0
839cd3fffffffff,64.0,6.0,0.0
839cf5fffffffff,22.0,0.0,0.0
839d25fffffffff,3.0,0.0,0.0
83be88fffffffff,25.0,0.0,0.0
83be89fffffffff,18.0,0.0,0.0
83be8dfffffffff,177.0,0.0,1.0
83beabfffffffff,50.0,0.0,1.0
83bef6fffffffff,129.0,0.0,8.0
