cell_id,Euplectes capensis,Euplectes capensis phoenicomerus,Euplectes capensis xanthomelas,Euplectes capensis [capensis Group]
83529bfffffffff,3.0,0.0,0.0,0.0
836adefffffffff,2.0,0.0,0.0,2.0
837a40fffffffff,2.0,0.0,0.0,0.0
837a41fffffffff,17.0,0.0,0.0,0.0
837a45fffffffff,2.0,0.0,0.0,2.0
837a48fffffffff,24.0,0.0,0.0,0.0
837a60fffffffff,6.0,0.0,0.0,0.0
837a63fffffffff,3.0,0.0,0.0,0.0
837a68fffffffff,4.0,0.0,0.0,2.0
837a6afffffffff,4.0,0.0,0.0,4.0
837a6bfffffffff,4.0,0.0,0.0,0.0
839719fffffffff,1.0,0.0,0.0,1.0
83ad12fffffffff,2.0,0.0,0.0,0.0
83bcc3fffffffff,27.0,0.0,0.0,7.0
