cell_id,Dendrexetastes rufigula,Dendrexetastes rufigula devillei,Dendrexetastes rufigula rufigula,Dendrexetastes rufigula paraensis/moniliger
835f01fffffffff,4.0,0.0,0.0,0.0
835f02fffffffff,3.0,0.0,0.0,0.0
835f03fffffffff,48.0,0.0,0.0,0.0
835f0efffffffff,1.0,0.0,0.0,0.0
835f10fffffffff,10.0,0.0,1.0,0.0
835f11fffffffff,1.0,0.0,0.0,0.0
835f13fffffffff,2.0,0.0,0.0,0.0
835f14fffffffff,11.0,0.0,0.0,0.0
835f16fffffffff,3.0,0.0,0.0,0.0
835f1cfffffffff,22.0,0.0,0.0,0.0
835f29fffffffff,1.0,0.0,0.0,0.0
835f2bfffffffff,104.0,0.0,0.0,0.0
835f40fffffffff,4.0,0.0,1.0,0.0
835f42fffffffff,11.0,0.0,0.0,0.0
83665afffffffff,3.0,0.0,0.0,0.0
8366c0fffffffff,19.0,0.0,0.0,0.0
8366c1fffffffff,10.0,0.0,0.0,0.0
8366c2fffffffff,273.0,0.0,0.0,0.0
8366c3fffffffff,3.0,0.0,0.0,0.0
8366cefffffffff,19.0,0.0,0.0,0.0
8366d1fffffffff,7.0,0.0,0.0,0.0
8366d8fffffffff,43.0,2.0,0.0,0.0
8366dbfffffffff,9.0,0.0,0.0,0.0
8366dcfffffffff,536.0,52.0,0.0,0.0
8366ddfffffffff,39.0,2.0,0.0,0.0
8366defffffffff,89.0,7.0,0.0,0.0
8366eafffffffff,2.0,0.0,0.0,0.0
8366ecfffffffff,6.0,0.0,0.0,0.0
8366eefffffffff,13.0,0.0,0.0,0.0
83804dfffffffff,1.0,0.0,0.0,0.0
838061fffffffff,4.0,0.0,0.0,0.0
838065fffffffff,14.0,0.0,0.0,0.0
838066fffffffff,2.0,0.0,0.0,0.0
838068fffffffff,1.0,0.0,0.0,0.0
83806afffffffff,3.0,0.0,0.0,0.0
83806bfffffffff,13.0,0.0,0.0,0.0
838148fffffffff,1.0,0.0,0.0,0.0
83814afffffffff,56.0,0.0,0.0,0.0
83814dfffffffff,9.0,0.0,0.0,0.0
83814efffffffff,32.0,0.0,0.0,0.0
