cell_id,Mionectes oleagineus,Mionectes oleagineus assimilis,Mionectes oleagineus parcus,Mionectes oleagineus pacificus,Mionectes oleagineus [oleagineus Group]
824507fffffffff,11.0,0.0,0.0,0.0,0.0
82450ffffffffff,37.0,0.0,0.0,0.0,0.0
824527fffffffff,2964.0,0.0,0.0,0.0,0.0
82452ffffffffff,5781.0,0.0,0.0,0.0,0.0
824537fffffffff,879.0,0.0,0.0,0.0,0.0
824997fffffffff,214.0,0.0,0.0,0.0,0.0
825f07fffffffff,37.0,0.0,0.0,0.0,0.0
825f0ffffffffff,15.0,0.0,0.0,0.0,0.0
825f17fffffffff,19.0,0.0,0.0,0.0,0.0
825f1ffffffffff,2.0,0.0,0.0,0.0,0.0
825f2ffffffffff,136.0,0.0,0.0,0.0,0.0
825f47fffffffff,21.0,0.0,0.0,0.0,0.0
825f4ffffffffff,20.0,0.0,0.0,0.0,0.0
825f57fffffffff,3.0,0.0,0.0,0.0,0.0
825f5ffffffffff,1072.0,0.0,0.0,0.0,0.0
825f6ffffffffff,7.0,0.0,0.0,0.0,0.0
825f77fffffffff,30.0,0.0,0.0,0.0,0.0
826607fffffffff,57.0,0.0,0.0,0.0,0.0
82660ffffffffff,985.0,0.0,0.0,0.0,0.0
826617fffffffff,871.0,0.0,0.0,0.0,0.0
82661ffffffffff,3200.0,0.0,0.0,0.0,0.0
826627fffffffff,1108.0,0.0,0.0,0.0,0.0
82662ffffffffff,78.0,0.0,0.0,0.0,0.0
826637fffffffff,3.0,0.0,0.0,0.0,0.0
826647fffffffff,111.0,0.0,0.0,0.0,0.0
82664ffffffffff,6.0,0.0,0.0,0.0,0.0
826657fffffffff,86.0,0.0,0.0,0.0,0.0
82665ffffffffff,363.0,0.0,0.0,0.0,0.0
82666ffffffffff,12.0,0.0,0.0,0.0,0.0
826687fffffffff,13.0,0.0,0.0,0.0,0.0
8266a7fffffffff,2912.0,0.0,0.0,0.0,0.0
8266b7fffffffff,5357.0,0.0,0.0,0.0,0.0
8266c7fffffffff,645.0,0.0,0.0,0.0,0.0
8266cffffffffff,66.0,0.0,0.0,0.0,0.0
8266d7fffffffff,556.0,0.0,0.0,0.0,0.0
8266dffffffffff,386.0,0.0,0.0,0.0,0.0
8266e7fffffffff,3573.0,0.0,0.0,0.0,0.0
8266effffffffff,470.0,0.0,0.0,0.0,0.0
8266f7fffffffff,759.0,0.0,0.0,0.0,0.0
826747fffffffff,1.0,0.0,0.0,0.0,0.0
82674ffffffffff,57.0,0.0,0.0,0.0,0.0
826757fffffffff,5.0,0.0,0.0,0.0,0.0
82675ffffffffff,30.0,0.0,0.0,0.0,0.0
826797fffffffff,182.0,0.0,0.0,0.0,0.0
82679ffffffffff,979.0,0.0,0.0,0.0,0.0
826d07fffffffff,55.0,0.0,0.0,0.0,0.0
826d17fffffffff,28.0,0.0,0.0,0.0,0.0
826d27fffffffff,184.0,0.0,0.0,0.0,0.0
826d2ffffffffff,1344.0,0.0,0.0,0.0,0.0
826d37fffffffff,249.0,0.0,0.0,0.0,0.0
826d67fffffffff,1109.0,0.0,0.0,0.0,0.0
826d6ffffffffff,7448.0,0.0,0.0,0.0,0.0
826d77fffffffff,29.0,0.0,0.0,0.0,0.0
82800ffffffffff,1.0,0.0,0.0,0.0,0.0
828047fffffffff,21.0,0.0,0.0,0.0,0.0
82804ffffffffff,10.0,0.0,0.0,0.0,0.0
828067fffffffff,12.0,0.0,0.0,0.0,0.0
