cell_id,Polioptila albiloris,Polioptila albiloris vanrossemi,Polioptila albiloris albiloris
844522dffffffff,6.0,0.0,0.0
8445249ffffffff,91.0,0.0,0.0
844524bffffffff,5.0,0.0,0.0
844524dffffffff,18.0,0.0,0.0
8445251ffffffff,133.0,0.0,0.0
8445257ffffffff,2.0,0.0,0.0
8445259ffffffff,3.0,0.0,0.0
844525bffffffff,444.0,0.0,0.0
8445261ffffffff,4.0,0.0,0.0
8445265ffffffff,2.0,0.0,0.0
8445269ffffffff,96.0,0.0,0.0
844526dffffffff,9.0,0.0,0.0
8445309ffffffff,3.0,0.0,0.0
8445343ffffffff,2.0,0.0,0.0
844534bffffffff,3.0,0.0,0.0
8445353ffffffff,334.0,0.0,0.0
8445355ffffffff,5.0,0.0,0.0
8445357ffffffff,6.0,0.0,0.0
844535dffffffff,4.0,0.0,0.0
8449809ffffffff,2.0,0.0,0.0
8449843ffffffff,2.0,0.0,0.0
8449855ffffffff,1.0,0.0,0.0
8449863ffffffff,2.0,0.0,0.0
8449865ffffffff,1.0,0.0,0.0
8449869ffffffff,2.0,0.0,0.0
844986dffffffff,3.0,0.0,0.0
8449941ffffffff,6.0,0.0,0.0
8449959ffffffff,5.0,0.0,0.0
8449a23ffffffff,2.0,0.0,0.0
8449a2bffffffff,20.0,0.0,0.0
8449a3dffffffff,6.0,0.0,0.0
8449b05ffffffff,1.0,0.0,0.0
8449b15ffffffff,2.0,0.0,0.0
8449b21ffffffff,3.0,0.0,0.0
8449b23ffffffff,2.0,0.0,0.0
8449b29ffffffff,1.0,0.0,0.0
8449b2bffffffff,3.0,0.0,0.0
8449b31ffffffff,2.0,0.0,0.0
8449b33ffffffff,66.0,0.0,0.0
8449b35ffffffff,5.0,0.0,0.0
8449b37ffffffff,2.0,0.0,0.0
8449b3dffffffff,4.0,0.0,0.0
8449b47ffffffff,2.0,0.0,0.0
8449b53ffffffff,3.0,0.0,0.0
8449b55ffffffff,2.0,0.0,0.0
8449b57ffffffff,1.0,0.0,0.0
8449b65ffffffff,1.0,0.0,0.0
8449b69ffffffff,2.0,0.0,0.0
846d041ffffffff,4.0,0.0,0.0
846d043ffffffff,8.0,0.0,0.0
846d045ffffffff,7.0,0.0,0.0
846d049ffffffff,160.0,0.0,0.0
846d04bffffffff,217.0,0.0,0.0
846d04dffffffff,84.0,0.0,0.0
846d05dffffffff,2.0,0.0,0.0
846d069ffffffff,59.0,0.0,0.0
846d06dffffffff,125.0,0.0,0.0
846d141ffffffff,6.0,0.0,0.0
846d145ffffffff,1.0,0.0,0.0
846d14bffffffff,1.0,0.0,0.0
846d159ffffffff,781.0,0.0,0.0
846d15dffffffff,56.0,0.0,0.0
846d223ffffffff,3.0,0.0,0.0
846d231ffffffff,171.0,0.0,0.0
846d235ffffffff,8.0,0.0,0.0
846d239ffffffff,140.0,0.0,0.0
846d23dffffffff,32.0,0.0,0.0
846d291ffffffff,1.0,0.0,0.0
846d297ffffffff,6.0,0.0,0.0
846d299ffffffff,81.0,0.0,0.0
846d2e3ffffffff,9.0,0.0,0.0
846d2ebffffffff,105.0,0.0,0.0
846d2edffffffff,2.0,0.0,0.0
846d311ffffffff,18.0,0.0,0.0
846d313ffffffff,644.0,0.0,0.0
846d315ffffffff,3.0,0.0,0.0
846d317ffffffff,218.0,0.0,0.0
846d331ffffffff,5.0,0.0,0.0
846d333ffffffff,51.0,0.0,0.0
846d337ffffffff,3.0,0.0,0.0
846d339ffffffff,34.0,0.0,0.0
846d33bffffffff,28.0,0.0,0.0
846d33dffffffff,206.0,0.0,0.0
846d365ffffffff,78.0,0.0,0.0
